caid,anomaly_score,iforest_flag,is_true_fraud
CA-MA-00000032,-0.27668411917252866,0,0
CA-CA-00000070,-0.2768391343147425,0,0
CA-WA-00000115,-0.27686733240204076,0,0
CA-FL-00000297,-0.2771786382919136,0,0
CA-IL-00000149,-0.27721721789795617,0,0
CA-TX-00000238,-0.27766121946358063,0,0
CA-TX-00000165,-0.27785601102907076,0,0
CA-NY-00000060,-0.27792070590245577,0,0
CA-NC-00000263,-0.2782730442003792,0,0
CA-CA-00000239,-0.27828567782541985,0,0
CA-TX-00000119,-0.27861186718528197,0,0
CA-GA-00000161,-0.27885196366697185,0,0
CA-CA-00000277,-0.27931721763487827,0,0
CA-NY-00000179,-0.27934765869754485,0,0
CA-CA-00000072,-0.2794635546819642,0,0
CA-CA-00000005,-0.2795506059268208,0,0
CA-CO-00000047,-0.2797898495953641,0,0
CA-FL-00000144,-0.28004713469836306,0,0
CA-WA-00000085,-0.28062782559888866,0,0
CA-CO-00000271,-0.2809361023862413,0,0
CA-NC-00000023,-0.28115523001809306,0,0
CA-FL-00000028,-0.28117210416902,0,0
CA-NY-00000066,-0.28153491720179186,0,0
CA-TX-00000080,-0.2815650032421867,0,0
CA-VA-00000007,-0.2816002545618874,0,0
CA-FL-00000040,-0.282057509733831,0,0
CA-CA-00000185,-0.2821259820137791,0,0
CA-GA-00000150,-0.28220966477801046,0,0
CA-AZ-00000195,-0.2825651879296266,0,0
CA-TX-00000153,-0.2827796924774351,0,0
CA-TX-00000158,-0.283529416546797,0,0
CA-CO-00000117,-0.2835429666525111,0,0
CA-PA-00000069,-0.2836823126868768,0,0
CA-FL-00000071,-0.2843282159405477,0,0
CA-AZ-00000159,-0.2846693321032176,0,0
CA-NC-00000043,-0.2852947431647121,0,0
CA-OH-00000203,-0.28546025045786216,0,0
CA-TX-00000174,-0.28591474825486735,0,0
CA-TX-00000022,-0.2862852389262502,0,0
CA-CA-00000236,-0.2874145912467554,0,0
CA-AZ-00000235,-0.2876539653448962,0,0
CA-NV-00000156,-0.28807260502471305,0,0
CA-NC-00000049,-0.28858216755076216,0,0
CA-CA-00000246,-0.28866125152833183,0,0
CA-NC-00000110,-0.2889802916208243,0,0
CA-AZ-00000013,-0.2895601392525643,0,0
CA-TX-00000250,-0.2899111306993833,0,0
CA-FL-00000251,-0.29005950165861605,0,0
CA-FL-00000074,-0.2901830258030512,0,0
CA-NC-00000116,-0.2902283631997199,0,0
CA-CA-00000051,-0.2903983248102779,0,0
CA-FL-00000249,-0.29061851389106647,0,0
CA-CA-00000120,-0.29165872607334475,0,0
CA-CA-00000245,-0.2917991829391028,0,0
CA-FL-00000152,-0.29248219247202295,0,0
CA-CO-00000283,-0.29316756566512736,0,0
CA-TX-00000003,-0.2940397881026325,0,0
CA-IL-00000171,-0.2941479078192197,0,0
CA-CA-00000041,-0.29448967099800377,0,0
CA-TX-00000269,-0.2950971596411775,0,0
CA-FL-00000127,-0.29513399449914934,0,0
CA-CA-00000211,-0.2951360042790531,0,0
CA-AZ-00000234,-0.29526222826932186,0,0
CA-FL-00000034,-0.2956780170904909,0,0
CA-TX-00000216,-0.295772357856955,0,0
CA-CA-00000212,-0.2964850749862838,0,0
CA-VA-00000262,-0.2966045834773619,0,0
CA-FL-00000190,-0.29676159586667217,0,0
CA-FL-00000012,-0.2968076069940034,0,0
CA-NV-00000267,-0.29682852471371896,0,0
CA-IL-00000288,-0.2971679271530654,0,0
CA-FL-00000031,-0.29721890491749653,0,0
CA-NC-00000121,-0.29727288229022003,0,0
CA-GA-00000201,-0.2974923257203696,0,0
CA-FL-00000231,-0.2977371422339968,0,0
CA-TX-00000232,-0.29782551308702543,0,0
CA-TX-00000102,-0.29786088627799345,0,0
CA-VA-00000088,-0.29800646420531085,0,0
CA-FL-00000160,-0.298051042667728,0,0
CA-AZ-00000276,-0.2984532679835853,0,0
CA-CA-00000193,-0.29867765745874086,0,0
CA-FL-00000292,-0.2987120579248204,0,0
CA-CA-00000017,-0.2987248482771607,0,0
CA-AZ-00000170,-0.2988281892288776,0,0
CA-OH-00000059,-0.2988703844596372,0,0
CA-NV-00000067,-0.2994324813326584,0,0
CA-FL-00000207,-0.29952113562143173,0,0
CA-AZ-00000054,-0.29956336607505696,0,0
CA-FL-00000136,-0.29963634982429777,0,0
CA-NV-00000056,-0.2999169637345223,0,0
CA-IL-00000300,-0.30007372258692033,0,0
CA-CO-00000166,-0.3001352703442195,0,0
CA-FL-00000100,-0.3001546260112293,0,0
CA-FL-00000057,-0.3002288479354181,0,0
CA-AZ-00000148,-0.3002312161564871,0,0
CA-WA-00000214,-0.30023649896958526,0,0
CA-CA-00000188,-0.3011125460040149,0,0
CA-CA-00000230,-0.3013612515763616,0,0
CA-GA-00000181,-0.3014817684144851,0,0
CA-IL-00000019,-0.30157000961006797,0,0
CA-WA-00000006,-0.3016406654778579,0,0
CA-VA-00000065,-0.301719878053532,0,0
CA-TX-00000229,-0.3017383989313451,0,0
CA-GA-00000275,-0.3019799591944252,0,0
CA-FL-00000220,-0.30198992123619783,0,0
CA-TX-00000154,-0.30242731936573547,0,0
CA-CA-00000077,-0.3031306106192284,0,0
CA-TX-00000011,-0.3031428772128061,0,0
CA-FL-00000293,-0.30334139393048376,0,0
CA-FL-00000199,-0.303359544738706,0,0
CA-AZ-00000254,-0.3036558171159393,0,0
CA-TX-00000094,-0.3038083650733959,0,0
CA-AZ-00000037,-0.303819210107573,0,0
CA-FL-00000138,-0.3038945069903117,0,0
CA-IL-00000287,-0.3040822300489453,0,0
CA-WA-00000248,-0.3041236197957498,0,0
CA-TX-00000213,-0.30421544124631394,0,0
CA-GA-00000217,-0.30423400310044635,0,0
CA-IL-00000122,-0.3046409494693767,0,0
CA-NV-00000001,-0.3048753102180151,0,0
CA-VA-00000257,-0.3048787500292468,0,0
CA-TX-00000004,-0.3050314656501479,0,0
CA-FL-00000093,-0.3050380068798784,0,0
CA-FL-00000204,-0.30504300632532394,0,0
CA-CA-00000186,-0.30521012491770705,0,0
CA-TX-00000021,-0.30523983305942437,0,0
CA-NY-00000015,-0.30525514048364294,0,0
CA-IL-00000168,-0.3056152549168238,0,0
CA-AZ-00000109,-0.30573365662810165,0,0
CA-VA-00000205,-0.3061259901600105,0,0
CA-OH-00000260,-0.3062394723213353,0,0
CA-CA-00000284,-0.306289549353302,0,0
CA-CA-00000187,-0.3067092165896151,0,0
CA-CA-00000209,-0.3067855691789174,0,0
CA-NV-00000105,-0.3069165303630001,0,0
CA-CO-00000033,-0.30694011681776373,0,0
CA-WA-00000141,-0.3071776260790642,0,0
CA-NC-00000210,-0.30736548700330196,0,0
CA-WA-00000087,-0.30749639102262355,0,0
CA-FL-00000068,-0.30754648945817503,0,0
CA-NV-00000177,-0.30759277688592657,0,0
CA-IL-00000142,-0.3076519537084273,0,0
CA-VA-00000062,-0.3077211116095418,0,0
CA-AZ-00000084,-0.30788678527261326,0,0
CA-NC-00000061,-0.30839739769095975,0,0
CA-CA-00000247,-0.3085370933879034,0,0
CA-CA-00000078,-0.30857199801237883,0,0
CA-CA-00000202,-0.30886544000521415,0,0
CA-FL-00000163,-0.30889289739220394,0,0
CA-AZ-00000076,-0.3088965981956708,0,0
CA-AZ-00000294,-0.3090544847373364,0,0
CA-NY-00000095,-0.3090989496128791,0,0
CA-CA-00000145,-0.30937764638470877,0,0
CA-AZ-00000052,-0.30938897157746775,0,0
CA-CA-00000107,-0.3094094461307345,0,0
CA-CA-00000083,-0.3096960069798293,0,0
CA-MA-00000140,-0.30970044907802663,0,0
CA-NV-00000155,-0.3099221087763297,0,0
CA-WA-00000035,-0.30996056476591427,0,0
CA-NY-00000008,-0.3099776166057763,0,0
CA-TX-00000125,-0.30998901134878,0,0
CA-NC-00000092,-0.31024875562726434,0,0
CA-CA-00000240,-0.3102735633455474,0,0
CA-FL-00000073,-0.31028526018929314,0,0
CA-FL-00000108,-0.3107870876383481,0,0
CA-AZ-00000223,-0.31101452524943984,0,0
CA-IL-00000244,-0.31105863305630194,0,0
CA-PA-00000162,-0.3111785392206383,0,0
CA-CA-00000180,-0.3112539316832128,0,0
CA-OH-00000139,-0.3120859329284645,0,0
CA-TX-00000299,-0.3125088596773939,0,0
