caid,vendor_hhi,outflow_count,outflow_total,occupied_pct,collection_rate,collection_gap,reserve_volatility,reserve_max_drop
CA-FL-00000040,0.0,0,0.0,0.9804,0.9978,-0.0174,0.0513,-3.07
CA-CA-00000041,0.0,0,0.0,0.95,0.9791,-0.0291,0.0843,-3.0
CA-NY-00000042,0.0,0,0.0,0.92,1.0029,-0.0829,0.0183,-0.07
CA-NC-00000043,0.0,0,0.0,0.9024,0.9826,-0.0802,0.0586,-3.34
CA-FL-00000044,0.0,0,0.0,0.9167,1.0007,-0.084,0.3023,-3.21
CA-CA-00000045,0.0,0,0.0,0.8667,1.0023,-0.1356,0.0409,-3.31
CA-CA-00000046,0.0,0,0.0,1.0,0.9488,0.0512,0.2585,-4.25
CA-CO-00000047,0.0,0,0.0,0.9062,1.0022,-0.0959,0.1028,-4.38
CA-CA-00000048,0.0,0,0.0,0.9667,0.9973,-0.0307,0.3352,-6.1
CA-NC-00000049,0.0,0,0.0,0.9643,0.9987,-0.0345,0.0637,-0.81
CA-FL-00000050,0.0,0,0.0,1.0,0.994,0.006,0.0556,-3.98
CA-CA-00000051,0.0,0,0.0,0.8929,0.995,-0.1022,0.1086,-2.7
CA-AZ-00000052,0.0,0,0.0,0.9412,1.0012,-0.06,0.0432,-1.99
CA-CA-00000053,0.0,0,0.0,0.9259,0.5808,0.3451,0.0602,-2.77
CA-AZ-00000054,0.0,0,0.0,0.9667,0.9978,-0.0312,0.0425,-2.56
CA-NY-00000055,0.0,0,0.0,0.9667,0.9798,-0.0132,0.1164,-2.39
CA-NV-00000056,0.0,0,0.0,0.95,0.9838,-0.0338,0.0512,-2.97
CA-FL-00000057,0.0,0,0.0,0.9167,0.9864,-0.0698,0.0794,-2.12
CA-CA-00000058,0.0,0,0.0,0.8333,1.0015,-0.1682,0.0314,-0.9
CA-OH-00000059,0.0,0,0.0,0.9643,0.9878,-0.0235,0.052,-2.68
CA-NY-00000060,0.0,0,0.0,0.8833,0.9914,-0.1081,0.0295,-1.9
CA-NC-00000061,0.0,0,0.0,0.9355,1.0013,-0.0658,0.0476,-1.54
CA-VA-00000062,0.0,0,0.0,0.9231,0.989,-0.0659,0.0746,-2.75
CA-VA-00000063,0.0,0,0.0,0.85,1.0013,-0.1513,0.1248,-4.5
CA-GA-00000064,0.0,0,0.0,0.8947,1.0057,-0.111,0.1078,-3.64
CA-VA-00000065,0.0,0,0.0,0.9167,1.0023,-0.0856,0.0291,-2.61
CA-NY-00000066,0.0,0,0.0,0.9167,0.9996,-0.0829,0.0777,-5.03
CA-NV-00000067,0.0,0,0.0,0.9048,1.0004,-0.0956,0.0493,-2.05
CA-FL-00000068,0.0,0,0.0,0.95,0.9918,-0.0418,0.052,-1.83
CA-PA-00000069,0.0,0,0.0,0.9298,0.9805,-0.0507,0.1283,-2.1
CA-CA-00000070,0.0,0,0.0,0.8929,0.9874,-0.0945,0.0228,-1.49
CA-FL-00000071,0.0,0,0.0,0.9649,0.9933,-0.0284,0.0224,-0.82
CA-CA-00000072,0.0,0,0.0,0.9,0.9779,-0.0779,inf,-1.95
CA-FL-00000073,0.0,0,0.0,0.9302,0.9988,-0.0685,0.0504,-2.76
CA-FL-00000074,0.0,0,0.0,0.9,0.9851,-0.0851,0.0464,-3.29
CA-CA-00000075,0.0,0,0.0,0.8,0.9658,-0.1658,0.099,-2.97
CA-AZ-00000076,0.0,0,0.0,0.9333,1.0009,-0.0676,0.0721,-1.89
CA-CA-00000077,0.0,0,0.0,0.9574,0.9951,-0.0377,0.0352,-3.23
CA-CA-00000078,0.0,0,0.0,0.9167,0.998,-0.0814,0.0521,-2.59
CA-FL-00000079,0.0,0,0.0,0.9787,0.9917,-0.013,0.1762,-3.97
CA-TX-00000080,0.0,0,0.0,0.9091,0.986,-0.0769,0.1869,-2.85
CA-PA-00000081,0.0,0,0.0,0.8684,1.003,-0.1345,0.1179,-5.12
CA-NY-00000082,0.0,0,0.0,0.8947,0.9977,-0.103,0.0102,-0.32
CA-CA-00000083,0.0,0,0.0,0.95,0.9985,-0.0485,0.0474,-1.72
CA-AZ-00000084,0.0,0,0.0,0.9355,1.0021,-0.0666,0.0384,-3.33
CA-WA-00000085,0.0,0,0.0,0.92,1.011,-0.091,0.0699,-3.17
CA-FL-00000086,0.0,0,0.0,0.871,0.9938,-0.1229,0.0276,-1.46
CA-WA-00000087,0.0,0,0.0,0.95,0.9984,-0.0484,0.0364,-1.42
CA-VA-00000088,0.0,0,0.0,0.9643,0.9979,-0.0336,0.0311,-1.39
CA-OH-00000089,0.0,0,0.0,0.9333,0.9854,-0.0521,0.1557,-5.3
CA-TX-00000090,0.0,0,0.0,0.85,0.9974,-0.1474,0.0351,-0.58
CA-NC-00000091,0.0,0,0.0,0.9787,1.0035,-0.0248,0.0692,-4.68
CA-NC-00000092,0.0,0,0.0,0.95,0.9984,-0.0484,0.0394,-2.61
CA-FL-00000093,0.0,0,0.0,0.9259,0.9875,-0.0615,0.0525,-2.29
CA-TX-00000094,0.0,0,0.0,0.9429,1.0002,-0.0573,0.0859,-3.95
CA-NY-00000095,0.0,0,0.0,0.9394,0.9908,-0.0514,0.0805,-2.49
CA-NV-00000096,0.0,0,0.0,1.0,0.999,0.001,0.0637,-0.79
CA-CA-00000097,0.0,0,0.0,0.8704,0.9647,-0.0944,0.4727,-3.99
CA-WA-00000098,0.0,0,0.0,0.9434,0.9676,-0.0242,0.293,-3.71
CA-FL-00000099,0.0,0,0.0,0.9545,0.9962,-0.0417,0.2573,-4.05
CA-FL-00000100,0.0,0,0.0,0.9459,1.0065,-0.0605,0.0419,-2.11
CA-TX-00000101,0.0,0,0.0,0.875,0.9804,-0.1054,0.038,-1.75
CA-TX-00000102,0.0,0,0.0,0.9091,0.9936,-0.0845,0.0385,-1.55
CA-TX-00000103,0.0,0,0.0,0.9429,0.9991,-0.0563,0.0223,-0.06
CA-CO-00000104,0.0,0,0.0,1.0,0.9999,0.0001,0.0344,-2.66
CA-NV-00000105,0.0,0,0.0,0.9231,0.9975,-0.0744,0.0525,-1.75
CA-NY-00000106,0.0,0,0.0,0.8475,0.9953,-0.1478,0.0187,0.16
CA-CA-00000107,0.0,0,0.0,0.9333,0.9978,-0.0645,0.0775,-3.25
CA-FL-00000108,0.0,0,0.0,0.94,0.9916,-0.0516,0.0603,-2.62
CA-AZ-00000109,0.0,0,0.0,0.9245,0.9936,-0.0691,0.0925,-3.1
CA-NC-00000110,0.0,0,0.0,0.9048,1.0023,-0.0975,0.0271,-1.63
CA-NV-00000111,0.0,0,0.0,1.0,1.0011,-0.0011,0.0759,-4.22
CA-NC-00000112,0.0,0,0.0,0.9535,0.9762,-0.0228,0.2173,-5.25
CA-FL-00000113,0.0,0,0.0,0.8696,1.0004,-0.1308,0.0518,-2.6
CA-TX-00000114,0.0,0,0.0,0.9833,0.9799,0.0034,0.0907,-3.12
CA-WA-00000115,0.0,0,0.0,0.9744,1.0028,-0.0284,0.04,-1.0
CA-NC-00000116,0.0,0,0.0,0.9091,0.9975,-0.0885,0.1442,-3.04
CA-CO-00000117,0.0,0,0.0,0.907,0.9956,-0.0886,0.0935,-4.51
CA-GA-00000118,0.0,0,0.0,0.9474,0.9956,-0.0483,0.751,-57.34
CA-TX-00000119,0.0,0,0.0,0.9333,0.9798,-0.0464,0.0372,-1.19
CA-CA-00000120,0.0,0,0.0,0.9,0.9992,-0.0992,0.0501,-1.27
CA-NC-00000121,0.0,0,0.0,0.9667,0.9943,-0.0277,0.0383,-1.82
CA-IL-00000122,0.0,0,0.0,0.913,0.988,-0.075,0.0709,-2.49
CA-NY-00000123,0.0,0,0.0,1.0,1.0001,-0.0001,0.0564,-0.82
CA-VA-00000124,0.0,0,0.0,0.875,1.0037,-0.1287,0.0389,-1.51
CA-TX-00000125,0.0,0,0.0,0.95,1.0011,-0.0511,0.0399,-2.31
CA-IL-00000126,0.0,0,0.0,0.9333,0.9695,-0.0361,0.1452,-3.06
CA-FL-00000127,0.0,0,0.0,0.9545,0.9849,-0.0303,0.0336,-3.12
CA-IL-00000128,0.0,0,0.0,1.0,0.9896,0.0104,0.0858,-4.99
CA-NV-00000129,0.0,0,0.0,0.8936,0.9983,-0.1047,0.0165,-1.6
CA-NV-00000130,0.0,0,0.0,0.871,0.9922,-0.1212,0.0347,-0.9
CA-FL-00000131,0.0,0,0.0,1.0,1.0043,-0.0043,0.1063,-2.02
CA-VA-00000132,0.0,0,0.0,1.0,1.001,-0.001,0.0621,-0.81
CA-IL-00000133,0.0,0,0.0,0.8571,1.0006,-0.1435,0.0386,-2.65
CA-GA-00000134,0.0,0,0.0,0.9,0.9939,-0.0939,0.1908,-1.99
CA-IL-00000135,0.0,0,0.0,0.8696,0.9737,-0.1041,0.952,-4.27
CA-FL-00000136,0.0,0,0.0,0.9167,1.0007,-0.0841,0.0317,-1.59
CA-CA-00000137,0.0,0,0.0,0.8,0.9645,-0.1645,0.5378,-3.68
CA-FL-00000138,0.0,0,0.0,0.9429,1.0047,-0.0618,0.0839,-2.12
CA-OH-00000139,0.0,0,0.0,0.9333,0.9971,-0.0638,0.0386,-2.72
CA-MA-00000140,0.0,0,0.0,0.9444,0.9953,-0.0509,0.0877,-2.45
CA-WA-00000141,0.0,0,0.0,0.9231,0.9993,-0.0762,0.0384,-2.85
CA-IL-00000142,0.0,0,0.0,0.95,0.9961,-0.0461,0.0872,-2.38
CA-TX-00000143,0.0,0,0.0,0.8571,1.003,-0.1459,0.0708,-2.65
CA-FL-00000144,0.0,0,0.0,0.92,0.998,-0.078,0.0301,-0.3
CA-CA-00000145,0.0,0,0.0,0.9434,0.9911,-0.0477,0.0834,-2.21
CA-TX-00000146,0.0,0,0.0,0.8667,0.9958,-0.1291,0.0276,-1.93
CA-TX-00000147,0.0,0,0.0,0.8333,0.9773,-0.1439,0.0709,-2.59
CA-AZ-00000148,0.0,0,0.0,0.9412,1.0054,-0.0642,0.0363,-1.65
CA-IL-00000149,0.0,0,0.0,0.9333,0.9961,-0.0628,0.1619,-4.99
CA-GA-00000150,0.0,0,0.0,0.9636,0.9969,-0.0333,0.0358,-0.52
CA-CA-00000151,0.0,0,0.0,0.9623,1.0032,-0.0409,0.0185,-0.55
CA-FL-00000152,0.0,0,0.0,0.8929,0.9921,-0.0993,0.0429,-2.6
CA-TX-00000153,0.0,0,0.0,0.963,0.987,-0.024,0.0282,-1.07
CA-TX-00000154,0.0,0,0.0,0.9615,0.9893,-0.0277,0.0652,-2.51
CA-NV-00000155,0.0,0,0.0,0.9444,0.9938,-0.0494,0.0504,-2.56
CA-NV-00000156,0.0,0,0.0,0.963,1.0061,-0.0431,0.0354,-1.89
CA-IL-00000157,0.0,0,0.0,0.95,0.999,-0.049,0.2233,-5.51
CA-TX-00000158,0.0,0,0.0,0.95,0.9934,-0.0434,0.015,-0.65
CA-AZ-00000159,0.0,0,0.0,0.8947,0.9845,-0.0897,0.0455,-2.68
CA-FL-00000160,0.0,0,0.0,0.9667,0.9949,-0.0283,0.0406,-2.01
CA-GA-00000161,0.0,0,0.0,0.9091,1.0021,-0.093,0.1926,-3.53
CA-PA-00000162,0.0,0,0.0,0.9333,0.9952,-0.0618,0.0656,-3.39
CA-FL-00000163,0.0,0,0.0,0.95,0.9918,-0.0418,0.06,-3.03
CA-NV-00000164,0.0,0,0.0,0.88,1.0108,-0.1308,0.0884,-3.44
CA-TX-00000165,0.0,0,0.0,0.95,0.9878,-0.0378,0.0797,-5.16
CA-CO-00000166,0.0,0,0.0,0.9153,0.9971,-0.0818,0.0287,-1.64
CA-FL-00000167,0.0,0,0.0,0.9333,0.9686,-0.0353,0.2631,-4.62
CA-IL-00000168,0.0,0,0.0,0.9333,0.9975,-0.0641,0.0782,-3.78
CA-MA-00000169,0.0,0,0.0,1.0,0.9981,0.0019,0.0385,-1.73
CA-AZ-00000170,0.0,0,0.0,0.9615,0.9921,-0.0305,0.0275,-1.91
CA-IL-00000171,0.0,0,0.0,0.913,0.9881,-0.075,0.0344,-1.05
CA-MA-00000172,0.0,0,0.0,0.96,1.0421,-0.0821,0.4468,-4.04
CA-PA-00000173,0.0,0,0.0,0.9762,1.0317,-0.0555,8.4,-1.14
CA-TX-00000174,0.0,0,0.0,0.8929,1.0001,-0.1072,0.0364,-1.49
CA-IL-00000175,0.0,0,0.0,0.9259,0.9877,-0.0618,0.0255,-0.24
CA-CA-00000176,0.0,0,0.0,0.95,0.9991,-0.0491,0.7482,-56.83
CA-NV-00000177,0.0,0,0.0,0.9333,0.9957,-0.0623,0.0282,-1.86
CA-CO-00000178,0.0,0,0.0,0.9,0.9828,-0.0828,0.2578,-3.73
CA-NY-00000179,0.0,0,0.0,0.973,1.002,-0.029,0.0472,-4.05
CA-CA-00000180,0.0,0,0.0,0.95,0.9973,-0.0473,0.0435,-2.11
CA-GA-00000181,0.0,0,0.0,0.95,1.002,-0.052,0.0747,-4.05
CA-MA-00000182,0.0,0,0.0,0.9167,1.0041,-0.0874,0.024,-0.64
CA-VA-00000183,0.0,0,0.0,0.9048,0.6043,0.3005,0.0355,-2.54
CA-TX-00000184,0.0,0,0.0,0.9833,0.9984,-0.0151,0.0251,-1.24
CA-CA-00000185,0.0,0,0.0,0.8947,0.9929,-0.0982,0.0323,-1.11
CA-CA-00000186,0.0,0,0.0,0.95,0.997,-0.047,0.0489,-1.16
CA-CA-00000187,0.0,0,0.0,0.9167,0.9992,-0.0825,0.0621,-3.33
CA-CA-00000188,0.0,0,0.0,0.9524,0.992,-0.0396,0.0916,-3.76
CA-TX-00000189,0.0,0,0.0,0.8333,0.9846,-0.1512,0.1448,-3.03
CA-FL-00000190,0.0,0,0.0,0.9333,1.0047,-0.0713,0.0538,-4.09
CA-WA-00000191,3637.5,40,627900.82,1.0,1.0031,-0.0031,0.0963,-5.82
CA-CA-00000192,0.0,0,0.0,0.9833,0.9276,0.0558,0.1206,-2.58
CA-CA-00000193,0.0,0,0.0,0.902,0.9913,-0.0893,0.063,-2.88
CA-IL-00000194,0.0,0,0.0,0.8889,0.9964,-0.1075,0.0995,-4.86
CA-AZ-00000195,0.0,0,0.0,0.96,0.998,-0.038,0.0137,-0.72
CA-NC-00000196,0.0,0,0.0,0.8966,1.0009,-0.1044,0.0667,-4.91
CA-TX-00000197,0.0,0,0.0,0.8333,1.0149,-0.1816,0.0605,-2.88
CA-NY-00000198,0.0,0,0.0,0.9388,0.9638,-0.025,0.1018,-1.76
CA-FL-00000199,0.0,0,0.0,0.9348,0.9963,-0.0615,0.0257,-1.34
CA-CA-00000200,0.0,0,0.0,0.95,0.9769,-0.0269,0.0189,-1.24
CA-GA-00000201,0.0,0,0.0,0.9649,0.9922,-0.0273,0.1034,-2.68
CA-CA-00000202,0.0,0,0.0,0.95,0.9972,-0.0472,0.0552,-3.42
CA-OH-00000203,0.0,0,0.0,0.9333,0.9936,-0.0603,0.1837,-3.91
CA-FL-00000204,0.0,0,0.0,0.95,0.9921,-0.0421,0.0747,-3.6
CA-VA-00000205,0.0,0,0.0,0.9412,1.0043,-0.0632,0.0358,-2.27
CA-TX-00000206,0.0,0,0.0,0.8696,1.0017,-0.1322,0.0219,-2.21
CA-FL-00000207,0.0,0,0.0,0.9167,1.0006,-0.084,0.0526,-1.28
CA-CA-00000208,0.0,0,0.0,0.9167,0.9801,-0.0634,0.1869,-3.64
CA-CA-00000209,0.0,0,0.0,0.95,0.9911,-0.0411,0.0521,-1.78
CA-NC-00000210,0.0,0,0.0,0.9167,0.999,-0.0824,0.0586,-2.39
CA-CA-00000211,0.0,0,0.0,0.9167,0.9938,-0.0772,0.0218,-1.32
CA-CA-00000212,0.0,0,0.0,0.9667,1.0026,-0.036,0.0308,-2.67
CA-TX-00000213,0.0,0,0.0,0.9167,0.991,-0.0743,0.0818,-1.99
CA-WA-00000214,0.0,0,0.0,0.9667,0.9999,-0.0333,0.0506,-2.24
CA-VA-00000215,0.0,0,0.0,1.0,1.0018,-0.0018,0.0661,-3.07
CA-TX-00000216,0.0,0,0.0,0.9333,1.0048,-0.0715,0.0307,-1.32
CA-GA-00000217,0.0,0,0.0,0.9615,0.9986,-0.037,0.071,-2.65
CA-CA-00000218,0.0,0,0.0,0.9189,0.9811,-0.0622,0.1854,-3.54
CA-FL-00000219,0.0,0,0.0,0.9032,0.9759,-0.0727,0.3523,-1.73
CA-FL-00000220,0.0,0,0.0,0.9149,0.9928,-0.0779,0.047,-3.79
CA-NV-00000221,0.0,0,0.0,0.85,1.0032,-0.1532,0.0558,-4.23
CA-VA-00000222,0.0,0,0.0,1.0,1.0038,-0.0038,0.0888,-2.76
CA-AZ-00000223,0.0,0,0.0,0.95,0.9995,-0.0495,0.0507,-2.1
CA-GA-00000224,0.0,0,0.0,1.0,0.9986,0.0014,0.2607,-4.99
CA-GA-00000225,0.0,0,0.0,0.875,0.996,-0.121,0.0499,-1.89
CA-CO-00000226,0.0,0,0.0,0.95,1.0216,-0.0716,0.1192,-4.12
CA-CO-00000227,0.0,0,0.0,0.9565,0.9931,-0.0365,0.1578,-5.67
CA-GA-00000228,0.0,0,0.0,0.9524,0.996,-0.0436,0.1098,-5.38
CA-TX-00000229,0.0,0,0.0,0.963,0.9993,-0.0364,0.0329,-2.6
CA-CA-00000230,0.0,0,0.0,0.9167,0.9868,-0.0701,0.0816,-2.0
CA-FL-00000231,0.0,0,0.0,0.9615,1.0011,-0.0396,0.0282,-1.6
CA-TX-00000232,0.0,0,0.0,0.9231,1.0009,-0.0779,0.0913,-3.82
CA-TX-00000233,0.0,0,0.0,0.9783,0.9825,-0.0043,0.0777,-2.63
CA-AZ-00000234,0.0,0,0.0,0.8929,0.9976,-0.1047,0.0614,-2.76
CA-AZ-00000235,0.0,0,0.0,0.9333,0.9983,-0.065,0.0803,-4.91
CA-CA-00000236,0.0,0,0.0,0.9167,0.9891,-0.0724,0.1683,-2.68
CA-CA-00000237,0.0,0,0.0,1.0,1.0096,-0.0096,0.0552,-2.87
CA-TX-00000238,0.0,0,0.0,0.88,0.99,-0.11,0.0421,-3.06
CA-CA-00000239,0.0,0,0.0,0.9643,0.9841,-0.0198,0.0872,-1.55
CA-CA-00000240,0.0,0,0.0,0.95,1.0006,-0.0506,0.0446,-2.34
CA-CO-00000241,0.0,0,0.0,1.0,0.9893,0.0107,0.0665,-2.86
CA-IL-00000242,0.0,0,0.0,0.9268,0.9758,-0.049,0.2276,-2.44
CA-FL-00000243,0.0,0,0.0,0.8667,0.9961,-0.1295,0.1354,-3.53
CA-IL-00000244,0.0,0,0.0,0.9333,0.9995,-0.0662,0.0526,-3.36
CA-CA-00000245,0.0,0,0.0,0.8947,0.9916,-0.0969,0.0469,-1.95
CA-CA-00000246,0.0,0,0.0,0.9714,0.9888,-0.0174,0.0543,-2.49
CA-CA-00000247,0.0,0,0.0,0.9375,1.0019,-0.0644,0.029,-2.24
CA-WA-00000248,0.0,0,0.0,0.9286,0.9965,-0.068,0.0281,-1.77
CA-FL-00000249,0.0,0,0.0,0.9333,1.0011,-0.0677,0.0322,-0.6
CA-TX-00000250,0.0,0,0.0,0.9492,0.9866,-0.0374,0.1525,-2.66
CA-FL-00000251,0.0,0,0.0,0.8889,0.9986,-0.1097,0.0524,-2.67
CA-TX-00000252,0.0,0,0.0,0.9,0.9831,-0.0831,0.2496,-3.26
CA-FL-00000253,0.0,0,0.0,0.9667,0.9973,-0.0306,0.3476,-4.21
CA-AZ-00000254,0.0,0,0.0,0.9167,0.989,-0.0724,0.0346,-2.31
CA-CA-00000255,0.0,0,0.0,1.0,0.9777,0.0223,0.0613,-2.14
CA-FL-00000256,0.0,0,0.0,0.8387,0.9955,-0.1568,0.1488,-4.62
CA-VA-00000257,0.0,0,0.0,0.9167,0.9958,-0.0792,0.0424,-1.65
CA-NY-00000258,0.0,0,0.0,0.8889,0.9907,-0.1019,0.0464,-0.69
CA-TX-00000259,2712.5,40,662793.74,0.8833,0.997,-0.1137,0.0626,-3.59
CA-OH-00000260,0.0,0,0.0,0.9167,0.9957,-0.0791,0.0356,-2.18
CA-IL-00000261,0.0,0,0.0,0.9565,0.9685,-0.012,0.0567,-2.53
CA-VA-00000262,0.0,0,0.0,0.9048,0.9981,-0.0933,0.0279,-1.98
CA-NC-00000263,0.0,0,0.0,0.9,1.0054,-0.1054,0.0757,-1.49
CA-CA-00000264,0.0,0,0.0,0.9524,0.9211,0.0313,0.1033,-2.89
CA-FL-00000265,0.0,0,0.0,0.9189,0.9947,-0.0758,0.2824,-2.07
CA-WA-00000266,0.0,0,0.0,1.0,1.0032,-0.0032,0.0187,-0.19
CA-NV-00000267,0.0,0,0.0,0.9,0.9867,-0.0867,0.0659,-2.78
CA-CA-00000268,0.0,0,0.0,0.875,1.0133,-0.1383,0.3275,-5.82
CA-TX-00000269,0.0,0,0.0,0.9062,0.9902,-0.084,0.0576,-3.79
CA-GA-00000270,0.0,0,0.0,0.9792,0.9986,-0.0195,0.1105,-3.22
CA-CO-00000271,0.0,0,0.0,0.9167,0.9773,-0.0606,0.0506,-3.65
CA-FL-00000272,0.0,0,0.0,1.0,0.9277,0.0723,0.2363,-3.05
CA-AZ-00000273,0.0,0,0.0,0.8833,0.9992,-0.1158,0.2124,-4.2
CA-NV-00000274,0.0,0,0.0,0.9556,0.9769,-0.0213,0.2665,-4.56
CA-GA-00000275,0.0,0,0.0,0.9091,0.9947,-0.0856,0.0679,-3.53
CA-AZ-00000276,0.0,0,0.0,0.95,0.9916,-0.0416,0.055,-4.38
CA-CA-00000277,0.0,0,0.0,0.8824,1.0004,-0.1181,0.0357,-2.84
CA-VA-00000278,0.0,0,0.0,1.0,0.9916,0.0084,0.063,-2.59
CA-NC-00000279,0.0,0,0.0,0.8913,0.9983,-0.107,0.1154,-5.11
CA-TX-00000280,0.0,0,0.0,1.0,0.999,0.001,0.061,-4.36
CA-OH-00000281,0.0,0,0.0,0.8542,0.9979,-0.1437,0.0382,-1.33
CA-CO-00000282,0.0,0,0.0,0.9167,0.9575,-0.0409,0.1659,-3.33
CA-CO-00000283,0.0,0,0.0,0.9167,0.9834,-0.0667,0.0878,-3.18
CA-CA-00000284,0.0,0,0.0,0.9444,1.0035,-0.059,0.0311,-2.18
CA-NY-00000285,0.0,0,0.0,0.9833,0.9883,-0.005,0.3213,-3.65
CA-TX-00000286,0.0,0,0.0,1.0,1.0008,-0.0008,0.0992,-2.14
CA-IL-00000287,0.0,0,0.0,0.95,1.0033,-0.0533,0.0832,-2.0
CA-IL-00000288,0.0,0,0.0,0.9667,0.9967,-0.03,0.0265,-2.29
CA-VA-00000289,0.0,0,0.0,0.9444,0.9847,-0.0402,0.2731,-2.23
CA-FL-00000290,0.0,0,0.0,0.8929,0.9572,-0.0644,0.0565,-2.21
CA-VA-00000291,0.0,0,0.0,0.9737,0.968,0.0057,0.146,-2.42
CA-FL-00000292,0.0,0,0.0,0.9355,1.007,-0.0716,0.0631,-3.34
CA-FL-00000293,0.0,0,0.0,0.931,0.999,-0.068,0.1136,-3.02
CA-AZ-00000294,0.0,0,0.0,0.9333,0.9918,-0.0585,0.0383,-2.52
CA-FL-00000295,0.0,0,0.0,0.9298,0.949,-0.0192,0.2142,-3.69
CA-FL-00000296,0.0,0,0.0,1.0,0.9987,0.0013,0.0589,-2.72
CA-FL-00000297,0.0,0,0.0,0.9667,1.0091,-0.0424,0.0811,-3.17
CA-TX-00000298,0.0,0,0.0,0.8909,1.0033,-0.1124,0.0298,-1.07
CA-TX-00000299,0.0,0,0.0,0.9333,0.997,-0.0636,0.0524,-2.04
CA-IL-00000300,0.0,0,0.0,0.95,0.9971,-0.0471,0.1,-3.89
