caid,association_type,coastal_flag,building_age,avg_funded_pct,last_funded_pct,funding_trend,contribution_ratio,total_open_workorders,critical_deferred_count,avg_deferred_days,open_workorder_cost,target_reserve_failure
CA-TX-00000090,HOA,0,32,44.03,43.93,-0.13,0.05118,12,4,59.3,96894.63,0
CA-NC-00000091,HOA,1,22,64.273,67.98,3.36,0.05251,0,0,0.0,0.0,0
CA-NC-00000092,HOA,0,34,64.667,63.59,-0.31,0.05266,0,0,0.0,0.0,0
CA-FL-00000093,HOA,1,38,61.627,61.85,0.74,0.05406,1,0,55.0,5104.66,0
CA-TX-00000094,HOA,0,10,49.003,50.74,2.115,0.05499,11,7,46.3,97497.1,0
CA-NY-00000095,HOA,0,37,31.03,30.55,-0.205,0.04433,12,3,93.4,92021.51,0
CA-NV-00000096,HOA,0,27,52.56,52.73,-0.07,0.04832,1,1,17.0,7245.43,0
CA-CA-00000097,CONDO,1,5,7.68,6.27,-0.76,0.05811,53,24,74.6,332877.04,1
CA-WA-00000098,CONDO,1,43,13.773,13.39,-0.67,0.05599,35,22,60.0,320349.73,1
CA-FL-00000099,HOA,0,37,15.793,13.64,-2.295,0.05645,9,3,126.2,62269.63,1
CA-FL-00000100,PUD,0,11,49.71,50.34,0.33,0.05146,17,10,43.6,136113.95,0
CA-TX-00000101,HOA,0,6,62.413,61.65,-0.91,0.05059,2,0,52.0,8091.58,0
CA-TX-00000102,CONDO,1,17,39.857,38.75,-1.135,0.05525,18,7,69.6,129322.29,0
CA-TX-00000103,MIXED,1,54,69.187,70.47,1.155,0.05526,2,0,63.5,6319.44,0
CA-CO-00000104,CONDO,0,57,76.997,77.25,0.5,0.04284,1,0,67.0,8587.63,0
CA-NV-00000105,CONDO,0,55,57.557,58.11,0.865,0.04077,1,1,207.0,293.15,0
CA-NY-00000106,HOA,0,13,65.7,66.17,0.57,0.04354,2,2,20.0,19309.31,0
CA-CA-00000107,HOA,1,25,75.973,73.82,-1.605,0.04806,2,1,70.5,15380.92,0
CA-FL-00000108,HOA,1,17,66.49,68.92,1.685,0.06889,3,2,42.3,18621.2,0
CA-AZ-00000109,PUD,0,30,32.193,32.62,-0.455,0.04877,23,12,56.9,163281.53,0
CA-NC-00000110,HOA,0,9,59.23,59.08,-0.52,0.05015,1,0,173.0,12237.65,0
CA-NV-00000111,HOA,0,26,67.687,66.3,-2.095,0.04755,1,0,13.0,5993.14,0
CA-NC-00000112,CONDO,1,22,25.17,24.14,-0.135,0.05671,51,24,56.6,412573.66,1
CA-FL-00000113,HOA,0,20,49.687,50.15,0.65,0.06105,5,4,53.2,32117.42,0
CA-TX-00000114,CONDO,0,41,31.96,30.22,-2.085,0.04452,12,6,121.7,82385.9,0
CA-WA-00000115,PUD,0,44,53.02,54.11,0.595,0.06316,14,3,95.9,93539.6,0
CA-NC-00000116,HOA,1,48,29.997,29.33,0.52,0.05308,4,2,171.0,32752.84,0
CA-CO-00000117,CONDO,0,40,45.897,45.76,-1.23,0.06343,7,5,50.9,36713.83,0
CA-GA-00000118,HOA,0,65,77.117,76.35,-0.275,0.05342,1,1,51.0,14282.07,1
CA-TX-00000119,CONDO,0,16,31.547,30.83,-0.48,0.06191,51,29,77.3,385064.93,0
CA-CA-00000120,CONDO,1,31,63.337,63.43,0.34,0.04093,0,0,0.0,0.0,0
CA-NC-00000121,CONDO,1,21,78.383,76.81,-1.45,0.0658,0,0,0.0,0.0,0
CA-IL-00000122,CONDO,1,42,47.02,46.4,-0.995,0.04859,12,5,57.8,105225.76,0
CA-NY-00000123,CONDO,1,64,76.873,78.16,2.01,0.05511,0,0,0.0,0.0,0
CA-VA-00000124,HOA,0,65,54.887,55.24,0.125,0.07271,3,1,56.7,17216.19,0
CA-TX-00000125,HOA,1,33,56.563,55.53,-0.395,0.05461,0,0,0.0,0.0,0
CA-IL-00000126,HOA,0,17,20.793,18.66,-1.67,0.05012,47,24,73.3,367739.0,1
CA-FL-00000127,HOA,0,13,91.5,92.92,1.4,0.0623,2,1,32.0,16698.02,0
CA-IL-00000128,HOA,0,5,55.07,53.2,-0.31,0.049,15,4,79.7,117015.48,0
CA-NV-00000129,CONDO,0,20,96.55,96.43,-0.06,0.05859,2,2,74.0,14048.59,0
CA-NV-00000130,MIXED,0,46,70.393,71.8,1.05,0.06645,1,1,32.0,9560.5,0
CA-FL-00000131,CONDO,1,25,24.11,22.4,-1.555,0.05224,12,7,64.9,99322.39,1
CA-VA-00000132,MIXED,1,16,78.993,80.2,2.085,0.06232,0,0,0.0,0.0,0
CA-IL-00000133,CONDO,0,62,68.193,68.65,0.74,0.07451,0,0,0.0,0.0,0
CA-GA-00000134,HOA,0,33,17.833,16.98,-0.89,0.04675,14,5,78.4,106857.24,1
CA-IL-00000135,CONDO,0,12,5.977,8.1,2.385,0.06279,44,25,75.4,318102.63,1
CA-FL-00000136,HOA,0,5,76.06,77.57,1.72,0.05106,0,0,0.0,0.0,0
CA-CA-00000137,CONDO,0,30,8.537,8.33,-0.205,0.04604,37,16,47.5,326838.64,1
CA-FL-00000138,HOA,0,16,65.55,63.91,-1.4,0.05989,2,1,90.5,7570.06,0
CA-OH-00000139,CONDO,0,13,70.417,70.81,-0.385,0.05187,2,0,160.5,15001.76,0
CA-MA-00000140,MIXED,0,36,53.53,52.1,-1.16,0.05618,4,2,76.8,32292.78,0
CA-WA-00000141,HOA,0,34,72.903,73.3,-0.415,0.05577,1,1,75.0,5588.2,0
CA-IL-00000142,HOA,0,8,65.087,64.79,0.22,0.05584,2,1,93.0,17801.43,0
CA-TX-00000143,HOA,0,30,42.877,45.53,2.7,0.04771,1,1,33.0,384.47,0
CA-FL-00000144,HOA,0,8,85.933,86.57,0.52,0.04966,3,2,115.7,24351.22,0
CA-CA-00000145,HOA,1,2,42.023,40.43,-1.285,0.04324,12,7,67.2,81745.32,0
CA-TX-00000146,CONDO,0,42,99.96,100.16,-0.145,0.05892,1,0,32.0,13683.39,0
CA-TX-00000147,CONDO,1,32,51.373,51.55,1.01,0.0676,13,5,51.6,76705.25,0
CA-AZ-00000148,MIXED,0,19,80.13,80.07,-0.445,0.04991,3,1,59.7,14380.06,0
CA-IL-00000149,HOA,0,15,28.447,25.84,-1.415,0.05549,11,6,45.5,72824.76,0
CA-GA-00000150,CONDO,0,31,75.417,75.95,1.06,0.05266,1,1,204.0,12326.67,0
CA-CA-00000151,HOA,1,44,77.44,77.23,-0.105,0.04734,1,0,47.0,12164.31,0
CA-FL-00000152,CONDO,0,44,86.937,88.59,2.145,0.07055,0,0,0.0,0.0,0
CA-TX-00000153,MIXED,1,40,85.2,85.61,0.04,0.05931,1,1,38.0,6193.9,0
CA-TX-00000154,HOA,1,8,66.147,68.82,1.905,0.05844,1,1,58.0,8736.86,0
CA-NV-00000155,HOA,0,20,51.153,50.84,0.005,0.05658,11,6,64.8,82449.3,0
CA-NV-00000156,CONDO,0,53,53.463,53.58,0.26,0.05153,13,7,41.3,89881.21,0
CA-IL-00000157,HOA,0,30,23.23,24.68,1.365,0.07841,61,33,81.1,429178.56,1
CA-TX-00000158,CONDO,1,17,73.293,73.91,0.615,0.06381,3,1,68.3,16322.59,0
CA-AZ-00000159,PUD,0,57,78.867,77.41,-1.755,0.06619,3,3,84.3,28690.1,0
CA-FL-00000160,HOA,0,31,49.223,49.57,0.35,0.04482,7,5,86.6,49092.69,0
CA-GA-00000161,HOA,0,40,20.553,19.83,-0.445,0.0442,50,24,68.8,345017.99,1
CA-PA-00000162,CONDO,1,30,49.887,48.26,-0.745,0.05267,11,5,54.5,81831.96,0
CA-FL-00000163,HOA,1,18,46.93,46.9,0.115,0.04633,11,5,65.8,74437.22,0
CA-NV-00000164,HOA,0,20,37.327,35.48,-1.05,0.05582,10,5,90.5,70312.15,0
CA-TX-00000165,PUD,1,62,72.163,74.09,0.155,0.04972,1,0,8.0,10765.69,0
CA-CO-00000166,CONDO,0,28,56.897,57.8,1.01,0.05976,10,3,58.6,65136.32,0
CA-FL-00000167,CONDO,1,30,15.157,14.14,-0.53,0.04486,49,22,75.5,382467.8,1
CA-IL-00000168,HOA,0,27,46.373,44.58,-0.8,0.04731,11,5,118.5,81701.31,0
CA-MA-00000169,HOA,1,15,62.477,62.42,-0.09,0.04638,0,0,0.0,0.0,0
CA-AZ-00000170,HOA,0,20,78.677,79.46,0.11,0.06499,1,0,106.0,4220.34,0
CA-IL-00000171,HOA,0,58,48.21,49.3,0.815,0.07349,1,0,29.0,818.72,0
CA-MA-00000172,PUD,0,40,11.03,11.28,-0.485,0.05799,37,10,65.3,242349.77,1
CA-PA-00000173,HOA,1,3,1.073,1.14,0.47,0.04766,57,32,64.4,450553.32,1
CA-TX-00000174,HOA,1,30,73.283,72.16,-1.01,0.05279,3,2,171.7,12539.47,0
CA-IL-00000175,HOA,0,27,67.347,68.38,1.195,0.05701,0,0,0.0,0.0,0
CA-CA-00000176,MIXED,1,24,75.817,75.96,1.145,0.05109,1,1,173.0,12353.11,1
CA-NV-00000177,HOA,0,64,81.857,82.78,0.455,0.0622,1,1,36.0,6103.69,0
CA-CO-00000178,HOA,0,5,12.953,12.31,-1.415,0.04574,44,20,75.2,303926.6,1
CA-NY-00000179,HOA,1,21,85.853,86.63,1.37,0.0435,0,0,0.0,0.0,0
CA-CA-00000180,PUD,0,10,82.29,83.92,0.695,0.05865,1,1,154.0,7704.36,0
CA-GA-00000181,HOA,0,16,68.717,66.57,-1.515,0.06081,1,0,66.0,14927.18,0
CA-MA-00000182,HOA,1,55,82.613,82.66,0.39,0.06961,5,2,56.8,31484.6,0
CA-VA-00000183,HOA,1,15,86.437,86.21,-0.805,0.04803,3,3,48.3,15239.36,0
CA-TX-00000184,CONDO,0,15,88.863,90.15,1.305,0.05863,1,0,18.0,3095.53,0
CA-CA-00000185,MIXED,0,36,33.78,33.22,-0.285,0.05977,13,7,71.9,98650.22,0
CA-CA-00000186,HOA,0,19,66.91,67.2,1.015,0.05054,1,1,99.0,10960.86,0
CA-CA-00000187,CONDO,0,31,53.633,53.65,-0.24,0.05895,5,3,133.8,37439.77,0
CA-CA-00000188,HOA,1,22,43.213,41.57,-1.12,0.059,20,6,90.1,131196.64,0
CA-TX-00000189,CONDO,1,61,29.117,28.74,-0.19,0.03762,17,7,88.4,107331.55,0
CA-FL-00000190,MIXED,0,44,72.583,69.88,-3.05,0.06928,0,0,0.0,0.0,0
CA-WA-00000191,HOA,0,4,55.61,55.89,-0.05,0.05548,0,0,0.0,0.0,0
CA-CA-00000192,CONDO,1,5,20.387,19.0,-1.685,0.05251,47,27,88.7,363511.21,1
CA-CA-00000193,CONDO,0,30,46.643,46.31,-0.045,0.04923,11,5,58.8,75632.71,0
CA-IL-00000194,HOA,0,4,84.463,85.05,0.635,0.06342,1,1,31.0,13304.68,0
CA-AZ-00000195,PUD,0,53,52.1,52.0,-0.255,0.04466,4,2,96.8,28821.76,0
CA-NC-00000196,CONDO,1,62,71.203,71.58,0.4,0.06228,3,1,48.0,18765.2,0
CA-TX-00000197,HOA,1,3,46.963,46.19,-0.735,0.05847,14,10,78.7,97122.75,0
CA-NY-00000198,CONDO,0,15,17.67,17.12,-0.84,0.06589,48,21,74.9,383541.48,1
CA-FL-00000199,CONDO,0,7,79.257,80.15,0.335,0.03911,0,0,0.0,0.0,0
CA-CA-00000200,CONDO,1,49,79.597,79.26,0.115,0.06361,0,0,0.0,0.0,0
CA-GA-00000201,CONDO,0,45,30.477,30.34,-0.42,0.04918,17,5,88.5,165986.29,0
CA-CA-00000202,HOA,0,9,60.587,58.58,-1.3,0.0663,2,0,86.0,21749.77,0
CA-OH-00000203,CONDO,0,33,21.307,18.43,-2.46,0.04262,52,22,79.8,357699.08,1
CA-FL-00000204,MIXED,0,30,72.247,69.6,-2.885,0.05894,3,2,75.7,17851.18,0
CA-VA-00000205,HOA,1,38,72.59,71.86,0.04,0.05755,1,1,26.0,9958.72,0
CA-TX-00000206,CONDO,1,10,100.33,100.76,0.085,0.04473,3,2,28.3,18794.81,0
CA-FL-00000207,HOA,0,13,64.337,66.19,1.125,0.05595,0,0,0.0,0.0,0
CA-CA-00000208,CONDO,1,20,16.79,15.05,-2.215,0.04902,48,27,82.4,387187.88,1
CA-CA-00000209,CONDO,0,14,34.153,33.48,-0.81,0.06665,15,7,53.3,112039.97,0
CA-NC-00000210,CONDO,1,32,67.783,65.9,-1.63,0.05931,3,2,30.3,19916.09,0
CA-CA-00000211,CONDO,1,11,82.747,82.68,-0.38,0.05188,2,0,58.0,15849.18,0
CA-CA-00000212,HOA,0,51,84.553,85.25,0.505,0.06171,1,1,193.0,6649.01,0
CA-TX-00000213,CONDO,1,63,31.653,32.07,0.505,0.06464,12,4,94.2,80044.25,0
CA-WA-00000214,HOA,1,10,74.267,75.96,0.71,0.0606,2,1,109.0,14440.51,0
CA-VA-00000215,HOA,0,35,51.9,50.8,-0.89,0.05786,3,2,58.7,15168.81,0
CA-TX-00000216,PUD,0,30,89.817,90.02,0.83,0.06215,2,1,118.5,15855.39,0
CA-GA-00000217,HOA,0,57,39.303,38.62,0.065,0.04925,14,6,87.5,94005.03,0
CA-CA-00000218,HOA,0,3,15.96,13.24,-2.925,0.04969,45,23,72.2,310084.3,1
CA-FL-00000219,CONDO,1,28,7.727,6.43,-1.395,0.0633,46,19,55.5,347219.11,1
CA-FL-00000220,HOA,1,58,77.087,78.05,0.74,0.07021,0,0,0.0,0.0,0
CA-NV-00000221,CONDO,0,18,72.61,73.14,0.545,0.06283,1,1,64.0,8045.75,0
CA-VA-00000222,HOA,0,29,28.293,28.69,-0.355,0.06037,14,6,59.0,122024.2,0
CA-AZ-00000223,HOA,0,21,54.623,55.2,0.625,0.04517,2,1,31.5,14445.37,0
CA-GA-00000224,MIXED,0,43,19.48,19.14,-0.29,0.04213,52,24,76.1,404472.09,1
CA-GA-00000225,HOA,0,60,37.08,35.98,-0.705,0.05408,12,5,60.2,103828.55,0
CA-CO-00000226,HOA,0,3,32.913,34.55,1.625,0.06883,58,22,90.3,387032.1,0
CA-CO-00000227,HOA,0,8,37.383,39.04,-0.175,0.05678,6,4,72.0,51125.09,0
CA-GA-00000228,CONDO,0,2,46.71,49.0,2.415,0.06419,11,6,66.7,100967.04,0
CA-TX-00000229,CONDO,0,26,75.443,76.64,0.75,0.04809,0,0,0.0,0.0,0
CA-CA-00000230,CONDO,0,40,24.183,25.61,1.53,0.04309,9,2,39.8,70343.7,1
CA-FL-00000231,HOA,0,41,55.913,55.12,-0.39,0.06234,0,0,0.0,0.0,0
CA-TX-00000232,HOA,1,60,39.157,37.57,-2.145,0.05794,12,7,66.8,88098.76,0
CA-TX-00000233,HOA,0,20,63.68,62.11,-1.04,0.04781,2,2,69.5,16676.55,0
CA-AZ-00000234,CONDO,0,37,78.743,78.47,0.97,0.05211,2,0,28.5,13144.65,0
CA-AZ-00000235,HOA,0,38,66.203,66.79,0.32,0.04489,3,2,52.7,30153.19,0
CA-CA-00000236,PUD,1,26,15.527,15.35,-0.57,0.06023,35,13,75.8,353832.34,1
CA-CA-00000237,PUD,1,35,52.537,53.93,0.68,0.04983,2,2,63.5,6213.49,0
CA-TX-00000238,CONDO,0,42,73.823,75.04,1.0,0.03903,1,0,13.0,9741.06,0
CA-CA-00000239,CONDO,0,9,17.723,17.43,-0.605,0.05451,12,6,66.4,64691.75,1
CA-CA-00000240,CONDO,1,13,70.063,72.23,1.725,0.06637,2,1,86.0,9333.93,0
CA-CO-00000241,PUD,0,44,49.457,48.62,0.175,0.03785,2,1,80.5,2360.01,0
CA-IL-00000242,CONDO,1,26,15.17,15.4,0.655,0.06849,49,18,78.5,399268.4,1
CA-FL-00000243,HOA,0,17,30.407,31.04,0.36,0.07217,14,8,61.9,131802.02,0
CA-IL-00000244,CONDO,0,20,59.357,61.82,2.185,0.0497,1,1,372.0,9209.74,0
CA-CA-00000245,HOA,1,30,77.997,79.91,1.08,0.04647,0,0,0.0,0.0,0
CA-CA-00000246,CONDO,0,55,44.09,43.12,-1.35,0.04435,12,4,74.2,100641.49,0
CA-CA-00000247,HOA,0,33,77.063,77.3,-0.355,0.05163,0,0,0.0,0.0,0
CA-WA-00000248,HOA,0,45,79.647,78.71,-0.52,0.05601,0,0,0.0,0.0,0
CA-FL-00000249,HOA,0,37,76.107,75.82,-0.13,0.05245,0,0,0.0,0.0,0
CA-TX-00000250,HOA,0,31,32.12,31.87,0.955,0.07158,14,4,55.4,121996.96,0
CA-FL-00000251,HOA,1,40,83.083,81.47,-1.085,0.05056,0,0,0.0,0.0,0
CA-TX-00000252,HOA,0,14,15.847,14.4,-0.54,0.04205,60,30,67.6,469798.45,1
CA-FL-00000253,HOA,0,44,10.51,7.2,-3.535,0.06545,49,24,75.6,348350.72,1
CA-AZ-00000254,HOA,0,19,64.71,65.9,1.12,0.06879,2,1,160.5,21247.21,0
CA-CA-00000255,HOA,0,23,33.407,32.5,-1.215,0.05167,10,6,58.5,88957.8,0
CA-FL-00000256,CONDO,1,5,29.963,31.13,0.54,0.03754,6,3,81.2,57844.83,0
CA-VA-00000257,CONDO,1,44,51.353,50.67,-0.2,0.05352,4,3,86.5,39300.38,0
CA-NY-00000258,CONDO,0,26,70.687,70.81,0.53,0.05029,1,0,105.0,14514.07,0
CA-TX-00000259,HOA,0,20,55.05,53.48,-1.085,0.06007,1,1,45.0,9550.63,0
CA-OH-00000260,CONDO,0,6,60.313,60.62,0.05,0.05423,0,0,0.0,0.0,0
CA-IL-00000261,CONDO,0,27,52.213,51.4,-1.21,0.05938,13,5,83.6,101063.91,0
CA-VA-00000262,CONDO,0,30,70.33,70.9,-0.02,0.05525,4,2,43.0,31155.94,0
CA-NC-00000263,PUD,1,19,73.267,74.74,1.295,0.05482,1,1,13.0,4244.24,0
CA-CA-00000264,CONDO,0,18,26.4,25.1,-0.505,0.05285,47,22,83.8,347884.61,1
CA-FL-00000265,PUD,1,31,8.41,7.28,-1.205,0.06649,53,21,69.1,378637.18,1
CA-WA-00000266,PUD,1,54,88.33,89.4,1.21,0.06538,1,1,19.0,4577.36,0
CA-NV-00000267,CONDO,0,30,45.247,46.02,1.295,0.04799,12,6,69.7,89954.54,0
CA-CA-00000268,CONDO,0,55,15.55,11.95,-2.49,0.06923,50,22,77.9,378518.62,1
CA-TX-00000269,CONDO,1,55,68.033,69.07,-0.17,0.05519,3,1,46.3,20034.37,0
CA-GA-00000270,CONDO,0,34,29.963,29.12,-0.18,0.04842,14,4,84.8,94299.06,0
CA-CO-00000271,HOA,0,53,70.363,72.8,2.0,0.04357,1,0,116.0,5595.75,0
