caid,association_type,state,total_units,coastal_flag,avg_delinq_rate_12mo,max_delinq_rate_12mo,last_delinq_rate,delinq_trend_3mo,pct_months_serious_12mo,delinq_trend_12mo,delinq_volatility_12mo,avg_late_stage_rate_12mo,collection_ratio_12mo,lien_rate,attorney_referral_rate,rented_pct,vacant_pct,target_delinquency
CA-CA-00000046,CONDO,CA,27,0,11.111,22.222,7.407,1.8519,0.5833,-1.9136,5.7906,6.1728,0.9517,0.2647,0.1471,0.3333,0.0,1
CA-CO-00000047,CONDO,CO,32,0,6.25,9.375,6.25,1.5625,0.6667,-0.1894,1.9764,3.125,0.9841,0.339,0.1695,0.3125,0.0938,0
CA-CA-00000048,HOA,CA,93,1,11.5,16.667,11.667,-2.5,0.8333,0.4343,2.63,6.6667,0.9454,0.2936,0.1702,0.25,0.0333,1
CA-NC-00000049,CONDO,NC,56,1,2.083,3.571,3.571,0.8929,0.0,0.2551,0.6655,0.5952,0.9908,0.3333,0.0952,0.3571,0.0357,0
CA-FL-00000050,PUD,FL,13,1,7.692,7.692,7.692,0.0,0.1667,0.0,0.0,0.0,0.9855,0.2222,0.0,0.4615,0.0,0
CA-CA-00000051,HOA,CA,56,0,3.571,5.357,3.571,-0.8929,0.25,0.2679,1.458,1.9841,1.0013,0.2769,0.1538,0.2321,0.1071,0
CA-AZ-00000052,PUD,AZ,34,1,5.392,8.824,2.941,-1.4706,0.3333,-0.9244,2.0211,3.9216,0.978,0.2157,0.1569,0.3529,0.0588,0
CA-CA-00000053,HOA,CA,27,0,3.704,3.704,3.704,0.0,0.0,0.0,0.0,0.0,0.5811,0.0769,0.0,0.2963,0.0741,0
CA-AZ-00000054,CONDO,AZ,68,0,2.381,3.333,1.667,-0.8333,0.0,-0.0595,0.8248,1.1905,0.9948,0.3125,0.1562,0.3,0.0333,0
CA-NY-00000055,CONDO,NY,91,0,2.407,5.0,3.333,0.0,0.0,0.3333,1.1416,0.7407,0.9804,0.2203,0.0678,0.3167,0.0333,0
CA-NV-00000056,CONDO,NV,85,0,1.667,1.667,1.667,-0.0,0.0,-0.0,0.0,0.8333,0.9943,0.2105,0.1053,0.25,0.05,0
CA-FL-00000057,CONDO,FL,24,1,4.167,4.167,4.167,-0.0,0.0,0.0,0.0,0.0,0.9885,0.15,0.0,0.2917,0.0833,0
CA-CA-00000058,HOA,CA,36,0,2.778,2.778,2.778,0.0,0.0,0.0,0.0,0.0,1.0018,0.25,0.0,0.1944,0.1667,0
CA-OH-00000059,CONDO,OH,56,0,4.365,5.357,3.571,0.0,0.3333,-0.0595,0.8873,2.5794,0.9792,0.3284,0.194,0.2321,0.0357,0
CA-NY-00000060,CONDO,NY,88,0,1.667,1.667,1.667,-0.0,0.0,0.0,0.0,0.8333,0.9941,0.3333,0.1667,0.25,0.1167,0
CA-NC-00000061,HOA,NC,31,1,5.161,6.452,3.226,-1.6129,0.25,-0.0,1.5803,3.871,1.0008,0.4444,0.3333,0.129,0.0645,0
CA-VA-00000062,HOA,VA,39,1,4.029,7.692,2.564,-0.0,0.25,-0.641,1.8678,2.1978,0.9867,0.2895,0.1579,0.3333,0.0769,0
CA-VA-00000063,HOA,VA,20,1,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.5,0.9837,0.1176,0.0588,0.2,0.15,0
CA-GA-00000064,HOA,GA,19,0,9.023,10.526,10.526,0.0,0.5833,0.188,2.3777,6.015,0.9491,0.3871,0.2581,0.3158,0.1053,1
CA-VA-00000065,HOA,VA,78,0,2.5,3.333,1.667,0.0,0.0,-0.3333,0.8333,0.8333,0.9999,0.2069,0.069,0.2833,0.0833,0
CA-NY-00000066,HOA,NY,115,1,1.875,3.333,1.667,-0.0,0.0,-0.0992,0.5512,1.25,0.9964,0.3103,0.2069,0.2333,0.0833,0
CA-NV-00000067,CONDO,NV,42,0,2.91,4.762,2.381,-0.0,0.0,-0.0397,0.9899,2.381,0.9999,0.4583,0.375,0.2619,0.0952,0
CA-FL-00000068,HOA,FL,90,0,2.222,3.333,3.333,0.8333,0.0,-0.0833,0.7857,0.9259,0.9945,0.2857,0.119,0.3333,0.05,0
CA-PA-00000069,HOA,PA,57,0,5.263,8.772,7.018,-0.8772,0.5,0.5529,2.2191,3.5088,0.9611,0.3614,0.241,0.3509,0.0702,1
CA-CA-00000070,CONDO,CA,28,0,6.746,10.714,7.143,1.7857,0.5,0.2381,2.6322,3.9683,0.975,0.4474,0.2632,0.3214,0.1071,0
CA-FL-00000071,HOA,FL,57,1,1.754,1.754,1.754,-0.0,0.0,-0.0,0.0,0.7018,0.9974,0.2941,0.1176,0.2807,0.0351,0
CA-CA-00000072,HOA,CA,131,0,11.167,18.333,13.333,0.0,0.5833,1.1212,4.5977,5.6667,0.9346,0.3102,0.1574,0.3,0.1,1
CA-FL-00000073,HOA,FL,43,0,4.07,4.651,2.326,-1.1628,0.0,-0.6977,1.007,1.7442,0.9929,0.2593,0.1111,0.3488,0.0698,0
CA-FL-00000074,CONDO,FL,133,1,2.222,3.333,1.667,-0.8333,0.0,-0.0952,0.7857,1.1111,0.9911,0.3333,0.1667,0.2667,0.1,0
CA-CA-00000075,HOA,CA,10,0,10.0,10.0,10.0,0.0,0.4167,-0.0,0.0,4.0,0.9798,0.3571,0.1429,0.2,0.2,0
CA-AZ-00000076,HOA,AZ,79,0,2.917,5.0,5.0,1.6667,0.0,0.2778,1.6137,1.0417,0.988,0.2333,0.0833,0.25,0.0667,0
CA-CA-00000077,CONDO,CA,47,1,2.128,2.128,2.128,-0.0,0.0,0.0,0.0,0.7092,1.0012,0.1579,0.0526,0.3191,0.0426,0
CA-CA-00000078,HOA,CA,36,0,4.63,5.556,5.556,1.3889,0.5,0.0,1.3095,2.4691,0.9787,0.3261,0.1739,0.2778,0.0833,0
CA-FL-00000079,HOA,FL,47,0,3.723,8.511,2.128,-3.1915,0.0833,-0.6383,2.7639,1.5957,0.9908,0.1667,0.0714,0.234,0.0213,0
CA-TX-00000080,CONDO,TX,11,0,12.121,18.182,9.091,-4.5455,0.25,0.0,4.2855,6.0606,1.0071,0.25,0.125,0.0909,0.0909,0
CA-PA-00000081,PUD,PA,38,0,2.961,5.263,2.632,0.0,0.0833,0.1566,0.8703,1.9737,1.0053,0.3913,0.2609,0.2368,0.1316,0
CA-NY-00000082,MIXED,NY,57,1,1.754,1.754,1.754,-0.0,0.0,0.0,0.0,1.0965,0.9936,0.3077,0.1923,0.2807,0.1053,0
CA-CA-00000083,CONDO,CA,125,1,2.778,5.0,1.667,-1.6667,0.0,0.1389,1.1111,1.8519,0.997,0.5556,0.3704,0.3333,0.05,0
CA-AZ-00000084,HOA,AZ,31,0,3.226,3.226,3.226,0.0,0.0,0.0,0.0,1.6129,0.9907,0.2222,0.1111,0.1613,0.0645,0
CA-WA-00000085,HOA,WA,25,0,4.444,8.0,4.0,0.0,0.0833,0.2,1.2571,3.1111,0.9765,0.3846,0.2692,0.28,0.08,0
CA-FL-00000086,MIXED,FL,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978,0.0,0.0,0.2258,0.129,0
CA-WA-00000087,MIXED,WA,84,1,4.167,6.667,1.667,-2.5,0.25,0.1111,2.0069,2.1667,0.9905,0.3049,0.1585,0.3333,0.05,0
CA-VA-00000088,CONDO,VA,56,0,2.296,3.571,1.786,0.0,0.0,-0.1913,0.8067,1.7857,0.9826,0.3913,0.3043,0.3214,0.0357,0
CA-OH-00000089,CONDO,OH,30,0,3.333,3.333,3.333,-0.0,0.0,-0.0,0.0,1.6667,0.9819,0.1905,0.0952,0.2333,0.0667,0
CA-TX-00000090,HOA,TX,64,0,6.833,10.0,5.0,-0.0,0.5,-0.4343,2.1667,3.8333,0.978,0.3388,0.1901,0.25,0.15,0
CA-NC-00000091,HOA,NC,47,1,2.837,4.255,4.255,1.0638,0.0,0.0,1.003,0.7092,0.9884,0.2,0.05,0.2553,0.0213,0
CA-NC-00000092,HOA,NC,88,0,1.667,1.667,1.667,-0.0,0.0,-0.0,0.0,1.0,0.9983,0.4167,0.25,0.3667,0.05,0
CA-FL-00000093,HOA,FL,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0014,0.0,0.0,0.2963,0.0741,0
CA-TX-00000094,HOA,TX,35,0,4.286,5.714,2.857,-1.4286,0.3333,0.068,1.4286,1.7857,0.9856,0.2791,0.1163,0.3143,0.0571,0
CA-NY-00000095,HOA,NY,33,0,4.924,9.091,6.061,1.5152,0.25,0.1082,2.5968,1.8939,0.9834,0.2766,0.1064,0.2727,0.0606,0
CA-NV-00000096,HOA,NV,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9907,0.0,0.0,0.1875,0.0,0
CA-CA-00000097,CONDO,CA,54,1,7.222,18.519,12.963,-0.9259,0.4167,1.4478,5.6444,2.963,0.9483,0.2179,0.0894,0.2407,0.1296,1
CA-WA-00000098,CONDO,WA,53,1,10.189,20.755,15.094,-2.8302,0.6667,1.2579,5.35,6.2264,0.9287,0.3195,0.1953,0.2642,0.0566,1
CA-FL-00000099,HOA,FL,44,0,6.313,9.091,9.091,1.1364,0.5,0.1515,1.4285,4.0404,0.9578,0.4545,0.2909,0.25,0.0455,0
CA-FL-00000100,PUD,FL,37,0,4.505,8.108,2.703,-0.0,0.25,0.0,2.5481,2.7027,0.9828,0.2885,0.1731,0.2162,0.0541,0
CA-TX-00000101,HOA,TX,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0009,0.0,0.0,0.4375,0.125,0
CA-TX-00000102,CONDO,TX,33,1,4.04,6.061,6.061,1.5152,0.0833,0.0,1.4285,1.0101,0.9794,0.16,0.04,0.2424,0.0909,0
CA-TX-00000103,MIXED,TX,35,1,2.857,2.857,2.857,0.0,0.0,-0.0,0.0,1.7143,0.987,0.3571,0.2143,0.3143,0.0571,0
CA-CO-00000104,CONDO,CO,25,0,5.6,8.0,8.0,2.0,0.1667,1.2,1.9596,3.2,0.9677,0.4118,0.2353,0.32,0.0,0
CA-NV-00000105,CONDO,NV,39,0,3.663,5.128,5.128,-0.0,0.25,0.5495,1.2689,2.5641,0.9713,0.4,0.28,0.359,0.0769,0
CA-NY-00000106,HOA,NY,59,0,1.695,1.695,1.695,0.0,0.0,-0.0,0.0,0.8475,0.9991,0.1905,0.0952,0.4068,0.1525,0
CA-CA-00000107,HOA,CA,167,1,1.667,1.667,1.667,-0.0,0.0,-0.0,0.0,0.4167,1.0017,0.2222,0.0556,0.2,0.0667,0
CA-FL-00000108,HOA,FL,50,1,2.5,4.0,2.0,-0.0,0.0,-0.1905,0.866,2.0,0.985,0.4762,0.381,0.22,0.06,0
CA-AZ-00000109,PUD,AZ,53,0,2.426,3.774,1.887,-0.9434,0.0,-0.1348,0.8524,1.0782,1.0001,0.1765,0.0784,0.283,0.0755,0
CA-NC-00000110,HOA,NC,42,0,2.778,4.762,4.762,1.1905,0.0,0.3401,0.8873,1.1905,0.9864,0.3043,0.1304,0.2619,0.0952,0
CA-NV-00000111,HOA,NV,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0011,0.0,0.0,0.3636,0.0,0
CA-NC-00000112,CONDO,NC,43,1,9.07,13.953,4.651,-3.4884,0.6667,-0.0705,3.1971,5.3488,0.989,0.2826,0.1667,0.3256,0.0465,1
CA-FL-00000113,HOA,FL,46,0,3.261,8.696,8.696,3.2609,0.0833,0.4658,2.1739,0.5435,0.9877,0.1714,0.0286,0.2826,0.1304,1
CA-TX-00000114,CONDO,TX,250,0,3.5,6.667,3.333,-1.6667,0.0833,-0.0101,1.5723,1.5,0.9832,0.28,0.12,0.2667,0.0167,0
CA-WA-00000115,PUD,WA,39,0,4.843,7.692,5.128,-0.0,0.5833,0.0,1.4527,2.849,0.9776,0.3542,0.2083,0.2051,0.0256,0
CA-NC-00000116,HOA,NC,55,1,2.727,3.636,1.818,0.0,0.0,-0.2165,0.9091,1.3636,0.9848,0.1765,0.0882,0.3273,0.0909,0
CA-CO-00000117,CONDO,CO,43,0,3.779,4.651,2.326,-1.1628,0.0,-0.1384,1.1259,2.0349,0.9785,0.3023,0.1628,0.3721,0.093,0
CA-GA-00000118,HOA,GA,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0007,0.0,0.0,0.3684,0.0526,0
CA-TX-00000119,CONDO,TX,99,0,9.5,15.0,13.333,3.3333,0.6667,0.798,3.5785,5.5,0.9189,0.2754,0.1594,0.25,0.0667,1
CA-CA-00000120,CONDO,CA,75,1,4.167,5.0,5.0,0.0,0.0,0.0,0.8333,0.8333,0.9866,0.2778,0.0556,0.3,0.1,0
CA-NC-00000121,CONDO,NC,77,1,2.381,5.0,1.667,-1.6667,0.0,0.119,1.2141,1.4286,0.998,0.4167,0.25,0.1667,0.0333,0
CA-IL-00000122,CONDO,IL,23,1,4.348,4.348,4.348,-0.0,0.0,-0.0,0.0,1.087,0.98,0.1739,0.0435,0.2174,0.087,1
CA-NY-00000123,CONDO,NY,119,1,2.222,3.333,3.333,0.8333,0.0,0.0,0.7857,0.0,0.9925,0.2105,0.0,0.3667,0.0,0
CA-VA-00000124,HOA,VA,16,0,6.25,6.25,6.25,-0.0,0.4167,-0.0,0.0,3.75,0.9761,0.4545,0.2727,0.3125,0.125,0
CA-TX-00000125,HOA,TX,67,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.0,0.0,0.25,0.05,0
CA-IL-00000126,HOA,IL,207,0,10.5,16.667,10.0,-3.3333,0.8333,0.3535,3.3375,4.8333,0.9491,0.2917,0.1343,0.25,0.0667,1
CA-FL-00000127,HOA,FL,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891,0.0,0.0,0.3182,0.0455,0
CA-IL-00000128,HOA,IL,30,0,5.0,6.667,3.333,-1.6667,0.3333,0.1587,1.6667,2.0833,1.0027,0.2791,0.1163,0.2667,0.0,0
CA-NV-00000129,CONDO,NV,47,0,2.128,2.128,2.128,-0.0,0.0,0.0,0.0,0.7092,0.9933,0.2727,0.0909,0.2128,0.1064,0
CA-NV-00000130,MIXED,NV,31,0,3.763,6.452,3.226,0.0,0.0833,0.2765,1.2022,2.1505,0.995,0.4118,0.2353,0.3226,0.129,0
CA-FL-00000131,CONDO,FL,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0038,0.0,0.0,0.0667,0.0,0
CA-VA-00000132,MIXED,VA,46,1,2.174,2.174,2.174,-0.0,0.0,-0.0,0.0,1.6304,1.0041,0.25,0.1875,0.3913,0.0,0
CA-IL-00000133,CONDO,IL,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0004,0.0,0.0,0.381,0.1429,0
CA-GA-00000134,HOA,GA,62,0,3.889,8.333,1.667,-0.8333,0.1667,0.0,2.2222,1.4815,0.998,0.3,0.1143,0.3,0.1,0
CA-IL-00000135,CONDO,IL,23,0,11.957,17.391,8.696,-0.0,0.6667,-0.7246,3.605,7.6087,0.9336,0.2857,0.1818,0.2174,0.1304,1
CA-FL-00000136,HOA,FL,132,0,1.667,1.667,1.667,-0.0,0.0,-0.0,0.0,0.4167,0.9947,0.2105,0.0526,0.4667,0.0833,0
CA-CA-00000137,CONDO,CA,25,0,8.0,12.0,4.0,0.0,0.5833,-0.8,2.6667,4.0,0.9871,0.225,0.1125,0.32,0.2,1
CA-FL-00000138,HOA,FL,35,0,3.571,5.714,2.857,-1.4286,0.0833,-0.2857,1.2372,1.4286,1.0059,0.3125,0.125,0.1429,0.0571,0
CA-OH-00000139,CONDO,OH,79,0,1.667,1.667,1.667,-0.0,0.0,0.0,0.0,1.1111,0.9963,0.1667,0.1111,0.3333,0.0667,0
CA-MA-00000140,MIXED,MA,18,0,8.333,11.111,11.111,2.7778,0.3333,-0.0,2.7778,2.7778,0.9614,0.3158,0.1053,0.3333,0.0556,0
CA-WA-00000141,HOA,WA,52,0,2.308,3.846,1.923,0.0,0.0,0.1923,0.7692,0.7692,0.9978,0.25,0.0833,0.2692,0.0769,0
CA-IL-00000142,HOA,IL,111,0,2.619,5.0,1.667,-1.6667,0.0,0.2381,1.2141,1.6667,1.0007,0.3667,0.2333,0.3333,0.05,0
CA-TX-00000143,HOA,TX,14,0,7.143,7.143,7.143,0.0,0.0833,0.0,0.0,0.0,1.0045,0.3333,0.0,0.2857,0.1429,0
CA-FL-00000144,HOA,FL,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942,0.0,0.0,0.34,0.08,0
CA-CA-00000145,HOA,CA,53,1,4.193,7.547,1.887,-2.8302,0.3333,0.3774,2.3156,1.8868,0.9977,0.2667,0.12,0.2642,0.0566,0
CA-TX-00000146,CONDO,TX,77,0,2.0,3.333,1.667,-0.8333,0.0,-0.0,0.6667,1.0,0.9943,0.2069,0.1034,0.2,0.1333,0
CA-TX-00000147,CONDO,TX,18,1,12.963,27.778,22.222,5.5556,0.5,4.4444,8.8812,6.4815,0.9197,0.4,0.2,0.2222,0.1667,1
CA-AZ-00000148,MIXED,AZ,17,0,5.882,5.882,5.882,0.0,0.1667,0.0,0.0,2.9412,0.993,0.25,0.125,0.2941,0.0588,0
CA-IL-00000149,HOA,IL,64,0,3.333,6.667,3.333,0.8333,0.0833,0.1587,1.6667,2.0833,0.9857,0.2667,0.1667,0.4333,0.0667,0
CA-GA-00000150,CONDO,GA,55,0,2.424,3.636,1.818,0.0,0.0,-0.0606,0.8571,1.8182,0.9942,0.5217,0.3913,0.2545,0.0364,0
CA-CA-00000151,HOA,CA,53,1,2.642,3.774,3.774,-0.0,0.0,0.3774,0.9243,1.1321,0.9914,0.2917,0.125,0.3396,0.0377,0
CA-FL-00000152,CONDO,FL,56,0,2.381,3.571,1.786,-0.8929,0.0,0.0,0.8418,0.0,0.992,0.16,0.0,0.3393,0.1071,0
CA-TX-00000153,MIXED,TX,27,1,3.704,3.704,3.704,-0.0,0.0,-0.0,0.0,0.9259,0.9873,0.2857,0.0714,0.2963,0.037,0
CA-TX-00000154,HOA,TX,52,1,3.077,3.846,1.923,-0.9615,0.0,-0.0,0.9421,2.3077,0.9984,0.5333,0.4,0.2115,0.0385,0
CA-NV-00000155,HOA,NV,54,0,3.704,5.556,3.704,0.9259,0.25,-0.1571,1.4344,2.037,0.9906,0.2941,0.1618,0.3519,0.0556,0
CA-NV-00000156,CONDO,NV,27,0,5.291,7.407,3.704,-0.0,0.25,-0.3968,1.8329,2.6455,0.9774,0.2632,0.1316,0.2593,0.037,0
CA-IL-00000157,HOA,IL,165,0,11.667,20.0,10.0,-5.0,0.8333,0.9899,4.2817,6.8333,0.9454,0.3241,0.1898,0.3167,0.05,1
CA-TX-00000158,CONDO,TX,62,1,1.667,1.667,1.667,-0.0,0.0,0.0,0.0,0.8333,1.0009,0.2963,0.1481,0.3833,0.05,0
CA-AZ-00000159,PUD,AZ,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0006,0.0,0.0,0.3158,0.1053,1
CA-FL-00000160,HOA,FL,70,0,5.208,8.333,6.667,0.0,0.25,0.7341,1.9432,2.7083,0.9794,0.3086,0.1605,0.3167,0.0333,0
CA-GA-00000161,HOA,GA,22,0,16.818,40.909,13.636,2.2727,0.75,-1.9008,10.1741,8.6364,0.9598,0.3854,0.1979,0.2273,0.0909,1
CA-PA-00000162,CONDO,PA,77,1,3.333,6.667,1.667,-0.8333,0.0833,0.1616,1.4907,2.1667,0.9911,0.2857,0.1857,0.2167,0.0667,0
CA-FL-00000163,HOA,FL,100,1,6.5,10.0,5.0,-2.5,0.4167,0.6162,3.1136,4.0,0.979,0.3786,0.233,0.2167,0.05,0
CA-NV-00000164,HOA,NV,25,0,7.111,16.0,8.0,2.0,0.3333,0.7333,4.1216,3.5556,0.9821,0.4,0.2,0.4,0.12,0
CA-TX-00000165,PUD,TX,87,1,2.5,3.333,1.667,0.0,0.0,0.0,0.8333,0.0,0.9967,0.1667,0.0,0.2833,0.05,0
