violation_id,caid,unit_id,issue_date,violation_category,cure_deadline,fine_amount,status,resolution_date
VL-PNRDB7R27GO6,CA-TX-00000002,U-EC8RA484NL65,2024-08-07,TRASH,2024-09-06,64.83,CURED,2024-08-24
VL-CFUDQ5LVWZZ3,CA-TX-00000002,U-6RVDH8UZB7KR,2025-04-24,PET,2025-05-24,127.29,OPEN,
VL-XUZGHYY78W03,CA-TX-00000002,U-LULZFY981UDP,2024-08-01,LANDSCAPING,2024-08-31,285.47,HEARING_SCHEDULED,
VL-F17IEIVW6PAY,CA-TX-00000002,U-32CWT04CHSDI,2024-02-15,ARCHITECTURAL,2024-03-16,262.25,CURED,2024-03-24
VL-NYX90GNHMHU0,CA-TX-00000003,U-W6TAQ6ULM9KG,2024-05-23,LANDSCAPING,2024-06-22,74.73,CURED,2024-06-11
VL-S007YXTFK24O,CA-TX-00000003,U-N1X2GDGKXCQ9,2024-12-28,PARKING,2025-01-27,41.84,ESCALATED,
VL-2UH57W3L64AX,CA-TX-00000003,U-QPVA5KW3HGBM,2024-06-30,ARCHITECTURAL,2024-07-30,67.12,ESCALATED,
VL-ND1UP32S4TOL,CA-TX-00000003,U-OPHGFT4MPK5E,2024-02-28,PET,2024-03-29,34.72,FINED,
VL-0ONZB5ACBCE0,CA-TX-00000003,U-9J3GC9HOXDTP,2024-06-27,ARCHITECTURAL,2024-07-27,95.1,FINED,
VL-9RFDI3X06DBK,CA-TX-00000003,U-W6TAQ6ULM9KG,2024-10-22,PARKING,2024-11-21,109.8,CURED,2024-11-03
VL-16D914TC5CKB,CA-TX-00000003,U-JZR25MDF7FR9,2025-01-14,NOISE,2025-02-13,91.7,DISMISSED,2025-02-23
VL-4TBSXOFS00UQ,CA-TX-00000003,U-Y62ZEEQNSN2S,2025-02-16,PET,2025-03-18,50.42,CURED,2025-03-24
VL-MSKDO2BOVNG7,CA-TX-00000003,U-9J3GC9HOXDTP,2024-04-26,PARKING,2024-05-26,117.2,ESCALATED,
VL-F7J5FRFXM3H8,CA-TX-00000004,U-JI1OAHNOX8FK,2025-01-21,NOISE,2025-02-20,318.01,CURED,2025-03-08
VL-0LRONAQ6EWXY,CA-TX-00000004,U-KGMIH6MV4XEK,2025-01-09,NOISE,2025-02-08,232.78,DISMISSED,2025-02-05
VL-IL8YPQ0JPNBR,CA-TX-00000004,U-7K5W1JL6L91F,2025-01-09,ARCHITECTURAL,2025-02-08,161.92,CURED,2025-02-21
VL-6YZVQK5TKMRB,CA-TX-00000004,U-92V4DUSGEHN0,2024-04-23,NOISE,2024-05-23,58.46,CURED,2024-05-18
VL-TXOBXGWN5E2I,CA-TX-00000004,U-0QRAQIK3OMD4,2024-02-15,LANDSCAPING,2024-03-16,68.43,DISMISSED,2024-04-07
VL-446F4UMZU2P6,CA-TX-00000004,U-92V4DUSGEHN0,2024-08-28,NOISE,2024-09-27,52.16,OPEN,
VL-6N23H7JJ3J1Q,CA-TX-00000004,U-JY32HOG585I8,2024-02-02,OTHER,2024-03-03,226.16,DISMISSED,2024-03-24
VL-GPYGDPH5OFM3,CA-TX-00000004,U-OOQ42NBFA37D,2024-02-05,OTHER,2024-03-06,99.55,CURED,2024-03-06
VL-AK9M66DWQ6AF,CA-TX-00000004,U-OJSYT5WSGRX3,2025-06-13,TRASH,2025-07-13,92.31,CURED,2025-07-21
VL-5VT2NX1SYM31,CA-TX-00000004,U-IE3LVO0IPFG8,2024-12-18,ARCHITECTURAL,2025-01-17,223.33,CURED,2025-01-27
VL-4BSSK7M0CKMH,CA-TX-00000004,U-SUOC1Y5AYYOV,2024-09-30,PARKING,2024-10-30,75.19,CURED,2024-10-31
VL-WUOKJWTU2OSV,CA-TX-00000004,U-CBRLQMN44EEW,2024-07-26,PET,2024-08-25,95.72,OPEN,
VL-0GPJNH7W8HTE,CA-TX-00000004,U-B38WXGC7JJY9,2024-05-09,ARCHITECTURAL,2024-06-08,57.08,FINED,
VL-W1GNK4223UCS,CA-TX-00000004,U-IE3LVO0IPFG8,2024-11-13,LANDSCAPING,2024-12-13,138.15,CURED,2024-12-29
VL-BKK0ISCOSC8D,CA-TX-00000004,U-SUOC1Y5AYYOV,2024-12-21,NOISE,2025-01-20,142.43,ESCALATED,
VL-0T0T88C0OG9H,CA-TX-00000004,U-6V1MZB3I4FIE,2025-05-14,LANDSCAPING,2025-06-13,55.52,FINED,
VL-IT8K7RFTKI2A,CA-CA-00000005,U-D4P7PP4BF5L0,2024-11-12,NOISE,2024-12-12,57.54,CURED,2024-12-10
VL-3PERO7CDQ96M,CA-CA-00000005,U-XXDYPVBNHI6H,2024-10-11,LANDSCAPING,2024-11-10,72.07,DISMISSED,2024-11-17
VL-3U544WU7X577,CA-CA-00000005,U-23GGODLUGHT7,2025-03-28,TRASH,2025-04-27,39.19,CURED,2025-05-04
VL-T7V7KBKRT0ZB,CA-CA-00000005,U-QC3XNCHKV9DT,2025-04-12,PET,2025-05-12,57.99,CURED,2025-05-30
VL-I9XHG2PDJIJ3,CA-CA-00000005,U-D1KSIBSMQPNR,2024-01-21,PARKING,2024-02-20,107.2,CURED,2024-03-05
VL-7N3V32DIQKT0,CA-CA-00000005,U-D4P7PP4BF5L0,2024-12-28,ARCHITECTURAL,2025-01-27,19.34,DISMISSED,2025-01-22
VL-MBXPOCNS6C1N,CA-CA-00000005,U-K32OOUXQS1FO,2024-07-18,TRASH,2024-08-17,143.65,CURED,2024-08-26
VL-SVRBVBKG2FPY,CA-CA-00000005,U-I2CLP81L51FL,2024-08-04,PET,2024-09-03,53.79,CURED,2024-09-01
VL-SYM0FMCSAR7F,CA-CA-00000005,U-XXDYPVBNHI6H,2024-05-14,LANDSCAPING,2024-06-13,212.44,DISMISSED,2024-05-25
VL-D32N2L4AHSU0,CA-WA-00000006,U-IB86KTFRL69V,2024-03-24,NOISE,2024-04-23,97.56,FINED,
VL-AFA4QIJQ4SQ3,CA-WA-00000006,U-86GVGT2EEHFU,2025-01-12,ARCHITECTURAL,2025-02-11,43.19,DISMISSED,2025-01-31
VL-F4QZEM3QGQ3C,CA-WA-00000006,U-HJR6EET0DY57,2025-01-28,ARCHITECTURAL,2025-02-27,88.38,CURED,2025-03-03
VL-T4P4MK9H56KF,CA-WA-00000006,U-ZEBU2Y0OY58F,2024-01-06,PET,2024-02-05,43.47,DISMISSED,2024-01-31
VL-V3UYZHQ5ITHZ,CA-WA-00000006,U-5KZ3NWXROG98,2024-08-29,PET,2024-09-28,65.1,CURED,2024-09-21
VL-PHNAYCQFCDE3,CA-VA-00000007,U-8D0MZHRUPFLF,2024-03-16,PET,2024-04-15,52.82,CURED,2024-04-18
VL-36XH90HQ5PHV,CA-VA-00000007,U-GP52F1JOHKK7,2024-06-15,PARKING,2024-07-15,56.2,DISMISSED,2024-08-08
VL-3DJQQOYFYFYB,CA-VA-00000007,U-GP52F1JOHKK7,2025-05-05,ARCHITECTURAL,2025-06-04,109.97,CURED,2025-05-20
VL-T0V4UOV8L2ZI,CA-VA-00000007,U-8D0MZHRUPFLF,2024-07-11,PET,2024-08-10,35.09,HEARING_SCHEDULED,
VL-21C9L9NQJHK1,CA-VA-00000007,U-Y4H1TE48M2Q6,2025-01-14,ARCHITECTURAL,2025-02-13,184.75,ESCALATED,
VL-AGMGPMZWJ9M3,CA-VA-00000007,U-PYO2M2XIPRTT,2025-03-25,PARKING,2025-04-24,142.92,DISMISSED,2025-05-07
VL-N9BEXP3OCKEG,CA-VA-00000007,U-3OKLMC1RBK9R,2024-06-03,LANDSCAPING,2024-07-03,88.03,DISMISSED,2024-07-21
VL-3AP9ZH7EY4BS,CA-VA-00000007,U-GP52F1JOHKK7,2024-06-27,NOISE,2024-07-27,41.58,HEARING_SCHEDULED,
VL-L5E4DDJ64OUU,CA-VA-00000007,U-32UEW9G6SPD2,2024-01-21,PARKING,2024-02-20,147.8,CURED,2024-02-22
VL-QHH73ANWVDD8,CA-NY-00000008,U-8L12QFAF5KCI,2025-02-07,PARKING,2025-03-09,129.62,CURED,2025-03-11
VL-EKG6YO3JUPV4,CA-NY-00000008,U-VNXNPSV8DKMU,2024-01-29,LANDSCAPING,2024-02-28,130.03,CURED,2024-02-29
VL-B6N46BV7AK59,CA-NY-00000008,U-LUEQ4D7D7GDL,2025-06-23,LANDSCAPING,2025-07-23,201.43,ESCALATED,
VL-YVUV8Q8CP1FN,CA-NY-00000008,U-3URMWUECPNCC,2024-05-05,PET,2024-06-04,151.89,CURED,2024-06-21
VL-R4WM00BCG0EK,CA-NY-00000008,U-UNQR8O1KJWV2,2024-06-06,LANDSCAPING,2024-07-06,48.85,CURED,2024-07-28
VL-RXFWSBP0M3NA,CA-NY-00000008,U-6V7S7O4YC3S0,2025-06-18,NOISE,2025-07-18,129.14,FINED,
VL-IVXRHW3GAYQA,CA-NY-00000008,U-3URMWUECPNCC,2024-04-07,TRASH,2024-05-07,39.93,DISMISSED,2024-05-11
VL-4IK94NUNJZ1V,CA-NY-00000008,U-5YRWVTKH861P,2024-02-08,LANDSCAPING,2024-03-09,71.11,DISMISSED,2024-02-27
VL-ZHRY5A3XQ5OT,CA-NY-00000008,U-MQYZ6Y3Z1DE1,2024-08-30,PET,2024-09-29,60.39,FINED,
VL-7UE9BE57AQ22,CA-CA-00000009,U-U1A7BOXFQJ3H,2024-08-15,NOISE,2024-09-14,123.57,ESCALATED,
VL-WZ92W5FB8MSW,CA-CA-00000009,U-0NBW8SJ84TC2,2024-11-12,TRASH,2024-12-12,97.15,CURED,2024-12-22
VL-ZHNKQ486J86V,CA-CA-00000009,U-IZHW0VQPVTRU,2024-06-23,NOISE,2024-07-23,63.57,DISMISSED,2024-07-08
VL-335U0ZWHVKJN,CA-CA-00000009,U-YD5MY3GDILK1,2024-12-26,ARCHITECTURAL,2025-01-25,88.95,CURED,2025-01-13
VL-9WSD45F3YIT1,CA-CA-00000009,U-LQJJBFSA5UZL,2024-02-24,ARCHITECTURAL,2024-03-25,128.04,CURED,2024-03-14
VL-D38U0FS4EON4,CA-AZ-00000010,U-DA9ALL2UNCGW,2024-03-18,NOISE,2024-04-17,243.86,CURED,2024-05-12
VL-IO3VQYWZ4Q93,CA-AZ-00000010,U-2DA5B4L6HFH4,2024-10-08,LANDSCAPING,2024-11-07,34.79,CURED,2024-10-23
VL-F7ZT6120XLRS,CA-AZ-00000010,U-XLSUTOTHLQH7,2025-04-09,PARKING,2025-05-09,131.11,CURED,2025-04-21
VL-GA2BUZ2SUKCH,CA-AZ-00000010,U-NGAY37VG688U,2024-01-03,ARCHITECTURAL,2024-02-02,80.42,CURED,2024-02-17
VL-F4H49X7MNAH6,CA-AZ-00000010,U-CYL3Z2UD79ZT,2024-04-23,PET,2024-05-23,110.12,HEARING_SCHEDULED,
VL-VZAX16CJAZCW,CA-AZ-00000010,U-WCE77GZDPYHZ,2024-04-28,ARCHITECTURAL,2024-05-28,74.28,CURED,2024-06-22
VL-4QCTTHJYEBQN,CA-AZ-00000010,U-XLSUTOTHLQH7,2024-02-12,TRASH,2024-03-13,199.08,DISMISSED,2024-04-02
VL-6MAPEFQDNVHU,CA-AZ-00000010,U-LL6DOWX1H4RM,2025-05-11,ARCHITECTURAL,2025-06-10,126.64,FINED,
VL-UMOLNNT4IPZY,CA-AZ-00000010,U-AE1IGCUIDC00,2024-12-31,ARCHITECTURAL,2025-01-30,64.46,CURED,2025-02-25
VL-0VDKPAKMDZJX,CA-TX-00000011,U-HU03Y53MBWU5,2024-03-05,LANDSCAPING,2024-04-04,25.21,CURED,2024-04-25
VL-7HXPDQK516KG,CA-TX-00000011,U-4F1R9CFWOW73,2024-12-13,LANDSCAPING,2025-01-12,128.08,DISMISSED,2025-02-04
VL-HSVMF8K4QRC6,CA-TX-00000011,U-UJT70Y2RL4N7,2025-05-07,PET,2025-06-06,67.13,DISMISSED,2025-07-05
VL-LUCNO4UPNGB5,CA-TX-00000011,U-JNN41JH6OXQQ,2025-01-28,PET,2025-02-27,138.75,FINED,
VL-HWK2RB7QJKN5,CA-TX-00000011,U-HU03Y53MBWU5,2025-06-08,LANDSCAPING,2025-07-08,10.59,OPEN,
VL-XUYMK1BS6FWE,CA-FL-00000012,U-91MMO1DS3HGW,2025-04-25,OTHER,2025-05-25,55.29,FINED,
VL-2J4MP67765WB,CA-FL-00000012,U-OOUKIW8X17CO,2025-01-07,LANDSCAPING,2025-02-06,53.91,CURED,2025-01-24
VL-RR4ULA4YNC7J,CA-FL-00000012,U-8HUP3FTJ6AC4,2024-02-17,NOISE,2024-03-18,41.11,DISMISSED,2024-04-12
VL-X59FLNQY8SQ2,CA-FL-00000012,U-8HUP3FTJ6AC4,2024-06-30,LANDSCAPING,2024-07-30,60.18,HEARING_SCHEDULED,
VL-VP4F7YP26QQO,CA-FL-00000012,U-8HUP3FTJ6AC4,2024-12-18,NOISE,2025-01-17,639.41,CURED,2025-01-09
VL-D3YTJG3NVZKZ,CA-FL-00000012,U-9AGE9NY3MUB6,2025-01-28,ARCHITECTURAL,2025-02-27,65.62,HEARING_SCHEDULED,
VL-9YK638LL26OV,CA-FL-00000012,U-BQNXPVMSR75R,2024-05-09,PET,2024-06-08,14.37,FINED,
VL-AVHNCHCH816O,CA-FL-00000012,U-VEDQFC1YUZPE,2025-04-12,LANDSCAPING,2025-05-12,82.01,DISMISSED,2025-05-26
VL-QITZJI4CY6RT,CA-AZ-00000013,U-NEO2S9NBLGU0,2024-12-14,ARCHITECTURAL,2025-01-13,61.88,DISMISSED,2025-01-13
VL-2OCSGP4IK32J,CA-AZ-00000013,U-NYC7H81JMBPT,2025-03-02,ARCHITECTURAL,2025-04-01,42.17,DISMISSED,2025-03-26
VL-JUJW2ZCBL58I,CA-AZ-00000013,U-15S58XWBNWJ6,2025-05-21,ARCHITECTURAL,2025-06-20,66.31,DISMISSED,2025-07-19
VL-ZVYIC53NK79N,CA-AZ-00000013,U-XHBQAM97XO48,2025-05-01,PARKING,2025-05-31,101.91,ESCALATED,
VL-73JA4X137ED4,CA-AZ-00000013,U-1OEEA20RWRNB,2024-07-28,LANDSCAPING,2024-08-27,45.08,DISMISSED,2024-08-28
VL-TEB4PKLGZCRP,CA-AZ-00000013,U-FIPZN0THL2C5,2025-05-27,PET,2025-06-26,49.5,CURED,2025-06-14
VL-CAQHN91FN6JF,CA-AZ-00000013,U-TDSDJT3BR4F2,2025-04-16,LANDSCAPING,2025-05-16,127.86,CURED,2025-05-08
VL-H07AJKIJFQHG,CA-AZ-00000013,U-0SHDKKG1R1CQ,2024-01-26,PET,2024-02-25,175.21,ESCALATED,
VL-NIFHP5JVXNTA,CA-AZ-00000013,U-1UN2KTVV0Y9Q,2025-01-06,TRASH,2025-02-05,50.87,DISMISSED,2025-01-27
VL-I767NAVAUUK1,CA-AZ-00000013,U-WEDNYA3S9UCK,2024-04-27,LANDSCAPING,2024-05-27,190.34,CURED,2024-06-19
VL-K9CMRWUK93HB,CA-AZ-00000013,U-Q0E03YIOY5U0,2025-04-14,ARCHITECTURAL,2025-05-14,93.55,HEARING_SCHEDULED,
VL-0Y1QW9J51REW,CA-AZ-00000013,U-9UYG3IBG3HKC,2025-02-08,PARKING,2025-03-10,193.04,CURED,2025-02-25
VL-42O7N4KRZ4PN,CA-AZ-00000013,U-LOXYPHWHM54X,2025-01-22,NOISE,2025-02-21,133.9,CURED,2025-03-22
VL-335F4LHIBMCG,CA-AZ-00000013,U-TDSDJT3BR4F2,2024-01-30,ARCHITECTURAL,2024-02-29,82.95,DISMISSED,2024-02-20
VL-9JD6SK5BSU5X,CA-FL-00000014,U-3IEST9OMUQ0R,2024-02-26,TRASH,2024-03-27,41.06,DISMISSED,2024-03-26
VL-4ZBBVPMPCLKJ,CA-NY-00000015,U-7U61O85VO1TK,2025-04-10,PARKING,2025-05-10,98.03,CURED,2025-05-15
VL-EX8IB9RASU5L,CA-NY-00000015,U-WC05SORHTMT1,2025-04-13,NOISE,2025-05-13,117.0,DISMISSED,2025-05-04
VL-EPIGYA8H1278,CA-IL-00000016,U-UKONDHKBRJIG,2025-03-21,NOISE,2025-04-20,223.95,ESCALATED,
VL-T6N0XIQG16SD,CA-IL-00000016,U-V12BVXEJAXVT,2024-02-07,ARCHITECTURAL,2024-03-08,60.71,CURED,2024-03-05
VL-EQCJ3RTJHS3J,CA-IL-00000016,U-WBEM0TPI70HK,2024-12-21,PARKING,2025-01-20,28.36,DISMISSED,2025-02-13
VL-WJ4K8GICB47B,CA-IL-00000016,U-3JBRRD44NDVD,2024-07-10,PET,2024-08-09,138.01,CURED,2024-08-04
VL-BRHZGX5MSZSE,CA-IL-00000016,U-6F0O7Y4XBBMZ,2025-01-02,NOISE,2025-02-01,165.85,CURED,2025-02-02
VL-4H7VSKRAP73Y,CA-IL-00000016,U-I9C2BVS3K337,2025-02-12,PARKING,2025-03-14,181.16,ESCALATED,
VL-2HBWFWYLL2M7,CA-IL-00000016,U-8RHOEHAPM4YQ,2025-05-04,ARCHITECTURAL,2025-06-03,152.91,HEARING_SCHEDULED,
VL-L6PXMPI1XSX1,CA-IL-00000016,U-S34876KE1Q5M,2024-09-10,OTHER,2024-10-10,77.33,DISMISSED,2024-09-30
VL-2FGPCMUB11X8,CA-CA-00000017,U-KT10R709Q6OH,2024-05-16,PARKING,2024-06-15,67.77,OPEN,
VL-OVRVO0LS3PVM,CA-CA-00000017,U-V92BEEVG429I,2024-05-07,LANDSCAPING,2024-06-06,119.86,ESCALATED,
VL-VVNEHWNE4XW8,CA-CA-00000017,U-JYMJBT35YRWQ,2024-11-25,TRASH,2024-12-25,21.43,CURED,2024-12-13
VL-MH2YXMV746AN,CA-CO-00000018,U-OQ14MAFMAR9L,2025-06-09,PARKING,2025-07-09,77.79,DISMISSED,2025-07-04
VL-1QI1IZ3YGEF2,CA-CO-00000018,U-WGTM16YMBNBO,2025-04-01,PET,2025-05-01,124.44,HEARING_SCHEDULED,
VL-AIVSXFVAZZEB,CA-CO-00000018,U-S2ULK3FUQVU5,2024-06-23,OTHER,2024-07-23,179.91,OPEN,
VL-K58K5JED1JO4,CA-CO-00000018,U-YGWOW7L7J7Y9,2024-05-31,ARCHITECTURAL,2024-06-30,113.94,DISMISSED,2024-06-27
VL-GD9HMF9U4ALB,CA-CO-00000018,U-NFU2HERSNUN4,2024-07-16,PARKING,2024-08-15,99.04,CURED,2024-08-18
VL-HVUS54IX1TS8,CA-CO-00000018,U-URANDDEPTLT0,2024-04-12,PET,2024-05-12,48.91,CURED,2024-05-10
VL-Y181L3HHVLN8,CA-CO-00000018,U-AKC37WMFPTA7,2024-08-22,LANDSCAPING,2024-09-21,57.01,HEARING_SCHEDULED,
VL-CBHDG3NL1DXS,CA-CO-00000018,U-8LBDSG1FBTWT,2024-11-16,OTHER,2024-12-16,62.18,HEARING_SCHEDULED,
VL-TLZZEIZ5MGI3,CA-IL-00000019,U-RIHZ8EEKC8U0,2024-03-18,LANDSCAPING,2024-04-17,102.31,CURED,2024-04-06
VL-8PA1I2PO3WY3,CA-IL-00000019,U-PH6P9JLAILHH,2024-07-29,PET,2024-08-28,115.06,FINED,
VL-5WB152UXM78A,CA-IL-00000019,U-UMUNLBNQANDT,2025-01-31,PET,2025-03-02,139.76,DISMISSED,2025-03-16
VL-0HH5WQ2YGL9J,CA-VA-00000020,U-QV4TL70ZO6RD,2024-12-16,LANDSCAPING,2025-01-15,87.94,OPEN,
VL-4YXQZ5M87UT8,CA-VA-00000020,U-D3EXU7FKC781,2025-04-07,LANDSCAPING,2025-05-07,91.01,CURED,2025-05-03
VL-5E9C3NXMDKGQ,CA-TX-00000021,U-E83MTEBDUD8T,2025-06-22,PARKING,2025-07-22,131.41,CURED,2025-08-04
VL-XEKYH0V8V1G5,CA-TX-00000021,U-4P4JWR3XUXNB,2024-05-28,OTHER,2024-06-27,264.89,CURED,2024-06-07
VL-HJ171E1QD2GB,CA-TX-00000021,U-7N2ELMV5E71G,2024-11-03,ARCHITECTURAL,2024-12-03,39.52,CURED,2024-11-15
VL-MEYKI1X4Y3HW,CA-TX-00000021,U-X43IRGM5DKOY,2024-12-22,TRASH,2025-01-21,93.6,ESCALATED,
VL-JO1N9VKOW399,CA-TX-00000021,U-X99DBK4EPBO0,2024-04-20,TRASH,2024-05-20,263.18,CURED,2024-06-03
VL-L7A2PLTY9D9N,CA-TX-00000021,U-TMPT1UV94C8M,2025-01-22,NOISE,2025-02-21,221.08,CURED,2025-03-05
VL-VD210B7QTJX7,CA-TX-00000021,U-JL2FX35LG49F,2025-02-06,NOISE,2025-03-08,55.5,CURED,2025-03-27
VL-Y54HB2PALI7T,CA-TX-00000021,U-YLEYO3HLI32B,2024-11-17,PARKING,2024-12-17,79.24,CURED,2025-01-02
VL-5ZLZPPLS4ARM,CA-TX-00000021,U-SDWYQTUV27UU,2024-03-25,PARKING,2024-04-24,16.32,DISMISSED,2024-04-23
VL-22WHCHN1POHX,CA-TX-00000022,U-3BUPGRKBZWB1,2024-04-06,TRASH,2024-05-06,115.61,DISMISSED,2024-05-14
VL-OHLJB5QT4OAX,CA-TX-00000022,U-I46N05FL0463,2025-04-30,NOISE,2025-05-30,99.97,CURED,2025-05-18
VL-AP3RTPTG6Q96,CA-TX-00000022,U-35JRJ9R3VP8L,2024-01-01,TRASH,2024-01-31,52.12,CURED,2024-02-24
VL-33AC6H189O1P,CA-TX-00000022,U-1TB0515F9MZ9,2024-06-04,LANDSCAPING,2024-07-04,78.31,CURED,2024-06-17
VL-ZPNSFO5H88YD,CA-TX-00000022,U-HOG8EV2NYNMQ,2024-11-30,ARCHITECTURAL,2024-12-30,44.93,DISMISSED,2025-01-01
VL-9341H1U4OBP2,CA-TX-00000022,U-CVGFGM1TM27O,2024-08-15,ARCHITECTURAL,2024-09-14,110.45,CURED,2024-09-17
VL-HPTAQKFQTP8F,CA-NC-00000023,U-YKE3ZCXU11TO,2024-06-21,PET,2024-07-21,64.7,DISMISSED,2024-07-06
VL-34BDW5W0ZHRN,CA-NC-00000023,U-ZPSCTPN7Y853,2024-03-07,LANDSCAPING,2024-04-06,115.75,DISMISSED,2024-04-18
VL-CJ7K8BM04OEP,CA-NC-00000023,U-75YQL1V2W9Y4,2025-01-03,ARCHITECTURAL,2025-02-02,107.94,CURED,2025-01-16
VL-EX7CYT17JQD7,CA-NC-00000023,U-MGJVC2SMTC0D,2024-07-27,PET,2024-08-26,192.07,CURED,2024-08-20
VL-M27JWQ271A0Y,CA-NC-00000023,U-4ASMZX4NKIO5,2024-09-02,ARCHITECTURAL,2024-10-02,116.21,OPEN,
VL-5YG9ID92GKIQ,CA-NC-00000023,U-GXLOARRXC9MI,2024-01-17,LANDSCAPING,2024-02-16,27.24,CURED,2024-02-04
VL-GPGKKGIG3576,CA-NC-00000023,U-UKQHPZCA8VI5,2024-06-04,ARCHITECTURAL,2024-07-04,53.5,HEARING_SCHEDULED,
VL-2HZGKBBD9ZZ9,CA-FL-00000024,U-H8EA329HF1PW,2024-12-29,LANDSCAPING,2025-01-28,79.83,CURED,2025-01-10
VL-2WNW9STPJPHP,CA-FL-00000024,U-E09JNEFTZ53C,2025-06-20,PET,2025-07-20,117.0,DISMISSED,2025-07-09
VL-34VZ8HGOUAY0,CA-FL-00000024,U-6EQXXCX9KNBZ,2024-11-10,PET,2024-12-10,176.89,CURED,2024-12-16
VL-L4ICFB20F5GT,CA-FL-00000024,U-8OKR7PHNI2ML,2024-02-06,PET,2024-03-07,160.65,HEARING_SCHEDULED,
VL-JWM1JWF4ZYLE,CA-FL-00000024,U-04Z4VCVZPVWL,2024-12-02,NOISE,2025-01-01,87.07,CURED,2024-12-30
VL-Y8GH0I3HN8YS,CA-FL-00000024,U-O1LPPJ1N5T84,2025-03-04,LANDSCAPING,2025-04-03,75.16,DISMISSED,2025-04-27
VL-KFW5XWEVFZOS,CA-FL-00000024,U-O8NQ189Y42DJ,2024-06-09,NOISE,2024-07-09,29.07,ESCALATED,
VL-0TV6D5HMSIT0,CA-FL-00000025,U-EWYB40T3D7XT,2024-12-18,NOISE,2025-01-17,332.56,DISMISSED,2025-01-26
VL-5TNLMC9DYZ3A,CA-FL-00000025,U-WTC908T6RWAR,2024-01-24,NOISE,2024-02-23,102.81,CURED,2024-03-07
VL-KMJKVZN7ICS4,CA-FL-00000025,U-L9TDCC58XZ17,2025-02-28,NOISE,2025-03-30,188.3,FINED,
VL-3N1V459OJTDS,CA-FL-00000025,U-GWJX3BID6V1L,2024-10-30,NOISE,2024-11-29,108.65,CURED,2024-11-22
VL-BLEGCNCXS5IV,CA-FL-00000025,U-OR3A1I10PKAP,2024-12-28,OTHER,2025-01-27,64.22,OPEN,
VL-0UM5P9VIBX3U,CA-FL-00000025,U-U2M6NWMUFGYN,2024-01-23,ARCHITECTURAL,2024-02-22,76.66,CURED,2024-02-21
VL-3KFRVRNDH4ON,CA-FL-00000025,U-L9TDCC58XZ17,2024-12-28,PARKING,2025-01-27,297.62,FINED,
VL-VGDVKUVMVMBE,CA-FL-00000025,U-M11R99ALX8UY,2025-03-13,TRASH,2025-04-12,18.73,CURED,2025-04-07
VL-RGNWRWK765EA,CA-CA-00000026,U-IK6FPG5WDFR8,2024-08-12,TRASH,2024-09-11,115.18,DISMISSED,2024-09-25
VL-XXS4XCDQ9LH8,CA-CA-00000026,U-14OT4FPUH7ZN,2025-04-28,OTHER,2025-05-28,233.68,DISMISSED,2025-05-14
