work_order_id,caid,unit_id,created_date,category,priority,status,estimated_cost,actual_cost,completion_date,deferred_days
WO-QPYRC88XUTPW,CA-TX-00000002,,2024-04-15,LANDSCAPING,HIGH,COMPLETED,5884.05,5094.53,2024-04-16,1
WO-QU1O1FNJJWGP,CA-TX-00000002,,2024-04-19,LANDSCAPING,HIGH,DEFERRED,8515.42,,,262
WO-QCSEQJOFBN6K,CA-TX-00000002,,2024-04-10,PLUMBING,HIGH,COMPLETED,10979.81,8446.09,2024-04-22,12
WO-FBQ12JIDERVD,CA-TX-00000002,,2024-04-16,ROOFING,MEDIUM,OPEN,939.97,,,54
WO-4LE5XPD71FKN,CA-TX-00000002,,2024-05-27,LANDSCAPING,LOW,COMPLETED,7044.68,10807.09,2024-06-08,12
WO-T3RPFX5FTBO4,CA-TX-00000002,,2024-05-04,HVAC,LOW,COMPLETED,14227.43,9680.49,2024-05-13,9
WO-4PCN0S0NYI9C,CA-TX-00000002,,2024-05-17,ELEVATOR,MEDIUM,COMPLETED,14005.92,4476.0,2024-05-28,11
WO-A5K7EB4MRCD2,CA-TX-00000002,,2024-05-26,HVAC,MEDIUM,COMPLETED,344.48,3726.43,2024-05-28,2
WO-C18K0S1PR54X,CA-TX-00000002,,2024-06-10,ELEVATOR,LOW,OPEN,9879.65,,,30
WO-G6WCCUN30V2P,CA-TX-00000002,,2024-06-22,LANDSCAPING,LOW,COMPLETED,6569.17,10315.88,2024-06-30,8
WO-6LQ0OL4AUJ55,CA-TX-00000002,,2024-06-27,LANDSCAPING,MEDIUM,COMPLETED,4877.32,3513.05,2024-07-06,9
WO-52ZRKIATEGXJ,CA-TX-00000002,,2024-06-26,HVAC,MEDIUM,COMPLETED,4470.56,5961.92,2024-07-01,5
WO-XKRAOWQVNJLI,CA-TX-00000002,,2024-07-12,ELECTRICAL,MEDIUM,DEFERRED,2555.26,,,146
WO-73G02BFV2NZ9,CA-TX-00000002,,2024-07-17,PLUMBING,HIGH,OPEN,5959.25,,,210
WO-VBHDOABMN130,CA-TX-00000002,,2024-08-18,ROOFING,HIGH,COMPLETED,14879.43,5709.97,2024-09-03,16
WO-PSC7BMVTFM9J,CA-TX-00000002,,2024-08-14,ELEVATOR,MEDIUM,DEFERRED,9042.91,,,27
WO-1NO0A5PU042Z,CA-TX-00000002,,2024-08-12,STRUCTURAL,HIGH,DEFERRED,2051.65,,,267
WO-AHTLZFP2BPI1,CA-TX-00000002,,2024-09-25,ELECTRICAL,LOW,COMPLETED,3640.64,9781.58,2024-10-14,19
WO-46UW995YN7Z7,CA-TX-00000002,,2024-09-05,LANDSCAPING,MEDIUM,DEFERRED,13451.32,,,41
WO-YKZLS9SBQXNM,CA-TX-00000002,,2024-10-06,PLUMBING,LOW,COMPLETED,12491.56,2646.25,2024-10-08,2
WO-R00A8A3OPAIS,CA-TX-00000002,,2024-10-15,ELECTRICAL,EMERGENCY,COMPLETED,8609.42,580.47,2024-10-18,3
WO-N6AJ24BQXV85,CA-TX-00000002,,2024-10-22,LANDSCAPING,LOW,COMPLETED,8507.34,11915.13,2024-11-11,20
WO-MTRG7X8E2N9N,CA-TX-00000002,,2024-11-25,GENERAL,HIGH,COMPLETED,9278.59,8737.84,2024-11-29,4
WO-IVV4YSN0F2RA,CA-TX-00000002,,2024-11-18,ELECTRICAL,MEDIUM,DEFERRED,13568.9,,,108
WO-J86D1UQXJKFC,CA-TX-00000002,,2024-11-15,HVAC,LOW,COMPLETED,7428.49,3485.17,2024-11-23,8
WO-ODTGB1SZ578C,CA-TX-00000002,,2024-11-10,HVAC,LOW,COMPLETED,13668.84,10512.73,2024-11-13,3
WO-O808WUYD6VBO,CA-TX-00000002,,2024-12-23,LANDSCAPING,MEDIUM,COMPLETED,12831.01,5899.31,2025-01-04,12
WO-QPP1ZODIBBUU,CA-TX-00000002,,2024-12-09,GENERAL,MEDIUM,OPEN,12566.19,,,79
WO-4ZP5TERJCT2H,CA-TX-00000002,,2024-12-21,HVAC,HIGH,COMPLETED,2749.6,781.27,2025-01-09,19
WO-1QFL0WZWDY2H,CA-TX-00000002,,2025-01-05,ELECTRICAL,LOW,COMPLETED,4259.4,8980.62,2025-01-26,21
WO-8TZIVWMM6FYT,CA-TX-00000002,,2025-01-27,LANDSCAPING,EMERGENCY,DEFERRED,9959.42,,,85
WO-7VUEHH9YUWBU,CA-TX-00000002,,2025-03-09,ELECTRICAL,MEDIUM,DEFERRED,5444.85,,,66
WO-UK91Z3TH3X2K,CA-TX-00000002,,2025-03-16,GENERAL,MEDIUM,OPEN,10301.84,,,21
WO-JQDZLTYAR6JY,CA-TX-00000002,,2025-04-24,STRUCTURAL,MEDIUM,COMPLETED,6665.91,4858.14,2025-05-12,18
WO-X2PS6LJNPZXP,CA-TX-00000002,,2025-04-16,ELEVATOR,MEDIUM,COMPLETED,5792.74,6861.65,2025-04-22,6
WO-MFCHBVW6WSUR,CA-TX-00000002,,2025-04-08,STRUCTURAL,LOW,OPEN,3211.78,,,46
WO-UPFA082099G5,CA-TX-00000002,,2025-05-24,HVAC,MEDIUM,COMPLETED,10426.83,11282.49,2025-06-14,21
WO-QRVGJTIJ15UA,CA-TX-00000002,,2025-05-08,HVAC,MEDIUM,COMPLETED,1001.08,4454.52,2025-05-13,5
WO-4F9VKX14HH4U,CA-TX-00000002,,2025-05-10,ELECTRICAL,MEDIUM,COMPLETED,8547.05,3885.45,2025-05-13,3
WO-SY0DRM9HDBBB,CA-TX-00000002,,2025-05-23,HVAC,MEDIUM,COMPLETED,13573.0,4667.62,2025-06-12,20
WO-T9REAVXID54G,CA-TX-00000002,,2025-05-08,PLUMBING,MEDIUM,COMPLETED,12089.53,10612.99,2025-05-29,21
WO-V3U0ZGTXVMJ7,CA-TX-00000002,,2025-06-10,ROOFING,MEDIUM,COMPLETED,12005.51,8268.94,2025-06-14,4
WO-H98A3PJ35EY4,CA-TX-00000002,,2025-06-03,ROOFING,HIGH,COMPLETED,10801.53,11691.52,2025-06-17,14
WO-HP3DR13KO6OL,CA-TX-00000002,,2025-06-12,PLUMBING,MEDIUM,DEFERRED,7625.05,,,37
WO-0EIWESKJSIYP,CA-TX-00000002,,2025-06-23,GENERAL,MEDIUM,COMPLETED,7429.54,7838.34,2025-07-08,15
WO-CVPH2P239QC0,CA-TX-00000002,,2025-06-25,LANDSCAPING,MEDIUM,COMPLETED,3363.34,1568.76,2025-07-16,21
WO-AY9KBC90GAPV,CA-TX-00000003,,2024-01-09,GENERAL,LOW,COMPLETED,2531.07,4185.85,2024-01-16,7
WO-AZVPU4F52GUM,CA-TX-00000003,,2024-02-04,GENERAL,MEDIUM,DEFERRED,6918.62,,,38
WO-BJ16A4EWISXU,CA-TX-00000003,,2024-03-07,STRUCTURAL,LOW,COMPLETED,1616.32,6063.43,2024-03-13,6
WO-6TW3YYY6IGFW,CA-TX-00000003,,2024-06-06,HVAC,MEDIUM,COMPLETED,5436.0,8529.46,2024-06-17,11
WO-Y6NWQD9L4SPI,CA-TX-00000003,,2024-07-27,LANDSCAPING,HIGH,COMPLETED,6799.47,7444.56,2024-08-09,13
WO-CFPJIH993YFL,CA-TX-00000003,,2024-09-22,ELECTRICAL,HIGH,COMPLETED,9254.91,10585.03,2024-10-04,12
WO-WC606R6IUQWS,CA-TX-00000003,,2024-11-20,GENERAL,LOW,COMPLETED,2748.2,5453.31,2024-11-23,3
WO-WFKL7XCPWFBH,CA-TX-00000003,,2024-12-01,ELECTRICAL,MEDIUM,COMPLETED,7558.18,11897.93,2024-12-06,5
WO-5ZIT7F9RCF4B,CA-TX-00000003,,2025-01-19,GENERAL,MEDIUM,COMPLETED,6069.85,4056.1,2025-01-21,2
WO-37GOEEMA8BF4,CA-TX-00000003,,2025-02-22,GENERAL,HIGH,COMPLETED,14759.26,6583.58,2025-03-02,8
WO-756135JOJLQX,CA-TX-00000003,,2025-04-06,HVAC,MEDIUM,COMPLETED,13215.4,8543.3,2025-04-10,4
WO-L82M6V29W32K,CA-TX-00000003,,2025-05-10,GENERAL,HIGH,COMPLETED,976.77,7424.41,2025-05-25,15
WO-C1C426Z7C52J,CA-TX-00000004,,2024-01-04,GENERAL,LOW,OPEN,9558.01,,,15
WO-8IVL2S4VQQUC,CA-TX-00000004,,2024-01-01,STRUCTURAL,MEDIUM,COMPLETED,11540.96,9749.99,2024-01-05,4
WO-G4E9YMP4FBN1,CA-TX-00000004,,2024-02-28,GENERAL,LOW,COMPLETED,8206.57,3818.09,2024-03-07,8
WO-LLMTT6NUNS2P,CA-TX-00000004,,2024-02-21,LANDSCAPING,MEDIUM,COMPLETED,6387.17,4986.22,2024-02-22,1
WO-Q9QPN3NVTGSL,CA-TX-00000004,,2024-03-19,ELEVATOR,LOW,OPEN,11153.47,,,44
WO-FH9JWKH5RSPE,CA-TX-00000004,,2024-03-08,PLUMBING,HIGH,COMPLETED,10404.02,1245.2,2024-03-16,8
WO-8GZIVL9NPSCD,CA-TX-00000004,,2024-04-25,PLUMBING,LOW,COMPLETED,12528.78,10909.67,2024-05-13,18
WO-YZMNH478XXVI,CA-TX-00000004,,2024-04-14,ELECTRICAL,HIGH,COMPLETED,13172.21,2157.3,2024-04-22,8
WO-NZI6MK33LBTK,CA-TX-00000004,,2024-05-27,ROOFING,LOW,DEFERRED,7730.1,,,80
WO-HALIZZUKGILA,CA-TX-00000004,,2024-05-07,PLUMBING,MEDIUM,COMPLETED,8252.39,769.14,2024-05-22,15
WO-RANE009ELY2S,CA-TX-00000004,,2024-06-11,HVAC,MEDIUM,OPEN,7919.6,,,32
WO-ND7I05XVOGZ5,CA-TX-00000004,,2024-06-02,HVAC,MEDIUM,OPEN,11649.02,,,20
WO-C4P3KEYI9T8H,CA-TX-00000004,,2024-06-20,ELECTRICAL,MEDIUM,COMPLETED,9987.02,4828.42,2024-06-24,4
WO-4HTQRDTT6G51,CA-TX-00000004,,2024-06-02,ELEVATOR,HIGH,COMPLETED,5181.01,7482.6,2024-06-05,3
WO-GWPQTX9ERDNU,CA-TX-00000004,,2024-07-23,HVAC,MEDIUM,COMPLETED,14537.9,234.92,2024-08-07,15
WO-ZXUONOHN4QSX,CA-TX-00000004,,2024-08-01,ELEVATOR,MEDIUM,COMPLETED,9969.29,8359.0,2024-08-22,21
WO-M8P0QCRPJL13,CA-TX-00000004,,2024-08-19,GENERAL,LOW,COMPLETED,469.72,9826.18,2024-09-07,19
WO-L9H9G1MLDA10,CA-TX-00000004,,2024-09-02,STRUCTURAL,MEDIUM,DEFERRED,9507.94,,,29
WO-PKIGJ0ONNM95,CA-TX-00000004,,2024-09-12,ROOFING,EMERGENCY,COMPLETED,14941.29,2423.61,2024-09-18,6
WO-IIVF4OW7LC7Z,CA-TX-00000004,,2024-11-21,GENERAL,LOW,COMPLETED,5317.93,948.02,2024-11-28,7
WO-G1GYZBYJJFTT,CA-TX-00000004,,2024-11-11,STRUCTURAL,MEDIUM,COMPLETED,9602.94,11619.04,2024-11-26,15
WO-8J14O6OXTNU8,CA-TX-00000004,,2024-12-01,ROOFING,MEDIUM,COMPLETED,7181.32,6637.41,2024-12-09,8
WO-OC6B3VP1WHCZ,CA-TX-00000004,,2024-12-07,ELECTRICAL,HIGH,COMPLETED,4065.28,9275.24,2024-12-22,15
WO-UE0K58J8VHRA,CA-TX-00000004,,2024-12-12,ELECTRICAL,EMERGENCY,COMPLETED,4839.01,11222.96,2024-12-27,15
WO-1XFCOFQ85ONQ,CA-TX-00000004,,2025-01-19,LANDSCAPING,HIGH,DEFERRED,13653.67,,,34
WO-H4CKOLS3X4Z8,CA-TX-00000004,,2025-01-17,STRUCTURAL,MEDIUM,COMPLETED,1396.76,10695.47,2025-01-30,13
WO-6RK9ZOB9P807,CA-TX-00000004,,2025-01-09,PLUMBING,LOW,COMPLETED,9774.73,923.32,2025-01-18,9
WO-GV17WGFD8IHL,CA-TX-00000004,,2025-02-27,GENERAL,MEDIUM,COMPLETED,11385.31,9131.38,2025-03-04,5
WO-US8QTUF7N959,CA-TX-00000004,,2025-02-06,LANDSCAPING,LOW,COMPLETED,10254.98,8368.48,2025-02-21,15
WO-TS5I36HQ6LUQ,CA-TX-00000004,,2025-03-03,ELECTRICAL,MEDIUM,DEFERRED,6174.29,,,53
WO-JK2IXFV7KWGM,CA-TX-00000004,,2025-04-09,PLUMBING,EMERGENCY,COMPLETED,12858.27,4036.42,2025-04-13,4
WO-175TBTDO7BL8,CA-TX-00000004,,2025-05-12,GENERAL,LOW,COMPLETED,9312.96,8835.73,2025-05-22,10
WO-DOGOVXO3ZJE3,CA-TX-00000004,,2025-05-06,ROOFING,LOW,COMPLETED,1855.52,10182.14,2025-05-19,13
WO-ZI5C1PMIQPTX,CA-TX-00000004,,2025-05-16,LANDSCAPING,EMERGENCY,COMPLETED,14097.1,636.06,2025-05-25,9
WO-6DE8NIRUIIJX,CA-CA-00000005,,2024-01-26,STRUCTURAL,LOW,DEFERRED,5215.77,,,69
WO-BP758DIDR4JW,CA-CA-00000005,,2024-01-08,PLUMBING,HIGH,COMPLETED,11305.35,7994.86,2024-01-28,20
WO-GJM138B9HD7V,CA-CA-00000005,,2024-02-10,LANDSCAPING,MEDIUM,COMPLETED,2667.72,8421.24,2024-02-24,14
WO-JCWRR48PE4N8,CA-CA-00000005,,2024-02-12,HVAC,LOW,COMPLETED,7152.58,4409.01,2024-02-14,2
WO-GIMYPMPOB705,CA-CA-00000005,,2024-02-20,PLUMBING,HIGH,COMPLETED,7183.42,495.81,2024-03-05,14
WO-CVFQGS33AEFZ,CA-CA-00000005,,2024-03-13,ROOFING,LOW,DEFERRED,3246.57,,,72
WO-T5QD4KVMHC65,CA-CA-00000005,,2024-03-03,GENERAL,MEDIUM,COMPLETED,5643.47,9785.58,2024-03-18,15
WO-BY10JF081TQ7,CA-CA-00000005,,2024-03-15,ROOFING,LOW,COMPLETED,5003.54,8915.8,2024-03-24,9
WO-T3Q259EQX62N,CA-CA-00000005,,2024-03-10,GENERAL,EMERGENCY,COMPLETED,11876.93,11437.61,2024-03-27,17
WO-3STO8978YMAB,CA-CA-00000005,,2024-03-12,ROOFING,EMERGENCY,COMPLETED,5950.39,8185.54,2024-03-14,2
WO-A0I7DR92TEY8,CA-CA-00000005,,2024-03-20,ROOFING,MEDIUM,COMPLETED,8558.37,5051.97,2024-03-29,9
WO-6E6PSW8DCHPC,CA-CA-00000005,,2024-04-16,GENERAL,LOW,COMPLETED,1186.89,7253.41,2024-04-21,5
WO-CWPPQ00KAZWN,CA-CA-00000005,,2024-05-21,GENERAL,MEDIUM,DEFERRED,12901.71,,,13
WO-TH6PT16RQYHY,CA-CA-00000005,,2024-05-15,GENERAL,MEDIUM,DEFERRED,5246.36,,,51
WO-S4BS46U04PEF,CA-CA-00000005,,2024-06-12,ROOFING,HIGH,COMPLETED,13189.93,3860.39,2024-07-02,20
WO-CZO3YZVGSXCW,CA-CA-00000005,,2024-07-22,PLUMBING,MEDIUM,OPEN,3631.7,,,35
WO-QNUFSIWEU95R,CA-CA-00000005,,2024-07-23,ROOFING,LOW,COMPLETED,12367.39,4899.96,2024-08-04,12
WO-63IOSE7NS413,CA-CA-00000005,,2024-07-25,PLUMBING,LOW,DEFERRED,9431.61,,,49
WO-CBFP2HK11N7I,CA-CA-00000005,,2024-07-20,GENERAL,EMERGENCY,COMPLETED,6932.25,488.74,2024-08-02,13
WO-MNX9W7ZLIJDZ,CA-CA-00000005,,2024-08-03,STRUCTURAL,MEDIUM,COMPLETED,4924.53,2171.62,2024-08-12,9
WO-0Q605ZQBM4WM,CA-CA-00000005,,2024-09-20,STRUCTURAL,MEDIUM,COMPLETED,4341.4,7207.81,2024-09-22,2
WO-6VXJ2OJC0KV5,CA-CA-00000005,,2024-09-08,GENERAL,MEDIUM,COMPLETED,7094.22,11408.67,2024-09-28,20
WO-GFKY0UAGAO6Q,CA-CA-00000005,,2024-09-14,PLUMBING,EMERGENCY,COMPLETED,13079.62,2677.45,2024-09-21,7
WO-8LCR41UYBFJA,CA-CA-00000005,,2024-09-18,HVAC,HIGH,COMPLETED,5300.57,11980.8,2024-09-26,8
WO-3MZD0XPN9TZN,CA-CA-00000005,,2024-09-11,HVAC,LOW,OPEN,10416.25,,,42
WO-EUL237FTG291,CA-CA-00000005,,2024-10-01,ELECTRICAL,MEDIUM,COMPLETED,5152.54,976.43,2024-10-04,3
WO-SXNNGNMTB1IJ,CA-CA-00000005,,2024-10-10,GENERAL,MEDIUM,COMPLETED,6024.28,10047.65,2024-10-18,8
WO-ALP7PKX3F78F,CA-CA-00000005,,2024-10-17,ROOFING,MEDIUM,COMPLETED,12874.06,4427.54,2024-10-28,11
WO-VHRQUOG99BP2,CA-CA-00000005,,2024-10-15,STRUCTURAL,LOW,COMPLETED,11243.04,4882.54,2024-10-28,13
WO-MUTXMN95PBVW,CA-CA-00000005,,2024-10-23,GENERAL,LOW,COMPLETED,14203.15,11559.98,2024-10-28,5
WO-NK0G8UQNEIV5,CA-CA-00000005,,2024-11-06,ROOFING,MEDIUM,COMPLETED,8759.34,656.06,2024-11-26,20
WO-7YKSH1EC799U,CA-CA-00000005,,2024-11-11,PLUMBING,LOW,COMPLETED,11770.01,1229.31,2024-11-29,18
WO-NHEHGCCKP53H,CA-CA-00000005,,2024-11-23,PLUMBING,MEDIUM,COMPLETED,7762.92,11267.47,2024-12-03,10
WO-1K9XYJZYMUV5,CA-CA-00000005,,2024-12-13,LANDSCAPING,HIGH,COMPLETED,8860.09,5672.68,2024-12-16,3
WO-85SE8J9WIAWN,CA-CA-00000005,,2024-12-27,ELEVATOR,MEDIUM,COMPLETED,2961.92,9603.4,2024-12-28,1
WO-WSE212O72WUF,CA-CA-00000005,,2024-12-06,HVAC,HIGH,COMPLETED,13692.48,971.69,2024-12-24,18
WO-TP7RU17E2KS2,CA-CA-00000005,,2025-01-10,ELECTRICAL,HIGH,COMPLETED,6609.69,1768.41,2025-01-26,16
WO-BAWUZXMKEZH0,CA-CA-00000005,,2025-01-15,HVAC,EMERGENCY,COMPLETED,9654.47,7818.01,2025-01-30,15
WO-D0FA259F7SFP,CA-CA-00000005,,2025-01-21,GENERAL,MEDIUM,DEFERRED,4280.51,,,74
WO-25HYCQ73T9UL,CA-CA-00000005,,2025-03-06,PLUMBING,MEDIUM,OPEN,8427.59,,,107
WO-77YRHQ1YJEWQ,CA-CA-00000005,,2025-03-02,PLUMBING,MEDIUM,COMPLETED,5681.5,4603.75,2025-03-15,13
WO-KPBKRADL31SU,CA-CA-00000005,,2025-04-15,HVAC,HIGH,COMPLETED,6907.84,4036.75,2025-04-19,4
WO-YT2LZW4214O6,CA-CA-00000005,,2025-04-06,LANDSCAPING,HIGH,COMPLETED,5941.61,11070.64,2025-04-18,12
WO-Z0F6Z5DMEYF4,CA-CA-00000005,,2025-06-09,LANDSCAPING,MEDIUM,COMPLETED,13103.71,10284.93,2025-06-12,3
WO-M5TY4C5PS7VB,CA-CA-00000005,,2025-06-04,LANDSCAPING,MEDIUM,DEFERRED,1357.86,,,213
WO-J5YU679TUY1V,CA-WA-00000006,,2024-01-05,PLUMBING,HIGH,COMPLETED,12572.48,9749.06,2024-01-22,17
WO-4M76UE0TB5A4,CA-WA-00000006,,2024-01-10,LANDSCAPING,EMERGENCY,COMPLETED,1721.03,10867.64,2024-01-12,2
WO-Z7BZOXIHS2EV,CA-WA-00000006,,2024-02-10,PLUMBING,HIGH,COMPLETED,503.69,1994.03,2024-02-20,10
WO-GX15CYNR70W0,CA-WA-00000006,,2024-03-19,ELEVATOR,MEDIUM,COMPLETED,5870.74,11885.18,2024-03-21,2
WO-PY01QIL7U7UJ,CA-WA-00000006,,2024-07-23,PLUMBING,EMERGENCY,COMPLETED,5531.68,4920.29,2024-08-05,13
WO-GXG5R01NXRCA,CA-WA-00000006,,2024-07-07,LANDSCAPING,HIGH,COMPLETED,7298.75,5720.1,2024-07-24,17
WO-CMN33HKTKESP,CA-WA-00000006,,2024-09-13,GENERAL,LOW,COMPLETED,6697.18,2908.03,2024-09-20,7
WO-V16702LZZW3Q,CA-WA-00000006,,2024-11-27,PLUMBING,MEDIUM,COMPLETED,9703.56,839.32,2024-12-04,7
WO-9TQKW9D1JVVN,CA-WA-00000006,,2024-11-22,LANDSCAPING,LOW,COMPLETED,1760.4,4826.68,2024-12-12,20
WO-MO23ZGT6GT17,CA-WA-00000006,,2024-12-15,PLUMBING,MEDIUM,COMPLETED,1340.33,11320.04,2024-12-22,7
WO-190Z82CTU1ZV,CA-WA-00000006,,2024-12-14,ROOFING,HIGH,COMPLETED,12376.21,7519.77,2024-12-29,15
WO-ITFV31J89N6D,CA-WA-00000006,,2025-01-05,STRUCTURAL,MEDIUM,COMPLETED,12501.07,5756.96,2025-01-19,14
WO-9M1LR19JA93M,CA-WA-00000006,,2025-01-15,LANDSCAPING,EMERGENCY,COMPLETED,1203.08,491.09,2025-01-21,6
WO-6IEB63KJXOMA,CA-WA-00000006,,2025-02-13,STRUCTURAL,LOW,COMPLETED,2026.81,5295.19,2025-03-02,17
WO-ZVI2M7N9WLV2,CA-WA-00000006,,2025-03-03,GENERAL,LOW,COMPLETED,12557.87,2446.92,2025-03-12,9
WO-YKBXZNUBKGZU,CA-WA-00000006,,2025-05-08,GENERAL,MEDIUM,COMPLETED,9978.47,6335.98,2025-05-20,12
WO-UZX7QU63777D,CA-WA-00000006,,2025-05-02,HVAC,MEDIUM,COMPLETED,11383.36,7403.49,2025-05-10,8
WO-RZQD14SHVW9S,CA-VA-00000007,,2024-01-15,LANDSCAPING,MEDIUM,COMPLETED,6573.25,1414.38,2024-01-24,9
WO-N3DNQ1JRS9IP,CA-VA-00000007,,2024-08-28,ELECTRICAL,EMERGENCY,COMPLETED,6994.02,3239.48,2024-09-12,15
WO-A3JW96U79FGK,CA-VA-00000007,,2024-10-14,PLUMBING,LOW,COMPLETED,8624.24,566.35,2024-10-26,12
WO-JEL1YYK3Y6E2,CA-VA-00000007,,2024-11-15,ELECTRICAL,HIGH,COMPLETED,10872.13,11281.8,2024-11-24,9
WO-RSE10EJI0W75,CA-VA-00000007,,2024-11-01,ELECTRICAL,MEDIUM,COMPLETED,7461.8,7836.77,2024-11-15,14
WO-GCH4YB7CURYH,CA-VA-00000007,,2025-02-26,STRUCTURAL,HIGH,OPEN,8473.54,,,140
WO-6O8UT8MLPVCR,CA-VA-00000007,,2025-03-23,HVAC,MEDIUM,COMPLETED,14743.66,1573.24,2025-04-03,11
WO-5V84V85NXCUD,CA-VA-00000007,,2025-05-18,PLUMBING,LOW,DEFERRED,8950.84,,,22
WO-CXLPR1ECYOO5,CA-VA-00000007,,2025-06-26,HVAC,EMERGENCY,COMPLETED,6992.79,2531.7,2025-07-15,19
WO-XQ7PX08VCCJ0,CA-NY-00000008,,2024-01-15,ROOFING,LOW,COMPLETED,5910.2,9134.92,2024-02-01,17
WO-8FZH32550G1R,CA-NY-00000008,,2024-05-24,LANDSCAPING,MEDIUM,COMPLETED,1728.09,6963.94,2024-05-30,6
WO-5MJTLRCMC78F,CA-NY-00000008,,2024-06-26,ELECTRICAL,MEDIUM,COMPLETED,5775.48,6498.05,2024-07-16,20
WO-X7WE3PZVCN1R,CA-NY-00000008,,2024-06-16,GENERAL,MEDIUM,COMPLETED,13367.75,4210.4,2024-06-30,14
WO-LZS752LEY3LL,CA-NY-00000008,,2024-08-24,LANDSCAPING,MEDIUM,OPEN,832.61,,,10
