delinquency_id,caid,snapshot_date,unit_id,days_delinquent,amount_owed,aging_bucket,lien_filed,attorney_referred
DL-X6ZMN627KHKBONHP,CA-NV-00000001,2024-09-01,U-J16DVTJA0ASS,30,235.39,DAYS_1_30,False,False
DL-2402S3FP637VBCHH,CA-NV-00000001,2024-10-01,U-WEBNVG5VMF60,30,235.39,DAYS_1_30,False,False
DL-I0FJ6607BY37P6PW,CA-NV-00000001,2024-11-01,U-WEBNVG5VMF60,60,470.78,DAYS_31_60,False,False
DL-JGP43UMWTSH9EWKW,CA-NV-00000001,2024-11-01,U-UUIJNWPAYTXW,30,235.39,DAYS_1_30,False,False
DL-HCGOQVPJPNCC7JM6,CA-NV-00000001,2024-12-01,U-WEBNVG5VMF60,90,706.17,DAYS_61_90,True,False
DL-5NJJ3IQMX6JERDBH,CA-NV-00000001,2025-01-01,U-AVB3K3QMVIFI,30,235.39,DAYS_1_30,False,False
DL-7IENSIFQY1OLNJ9P,CA-NV-00000001,2025-01-01,U-088O98BV78HU,30,235.39,DAYS_1_30,False,False
DL-VQA2M9G76MDYSIHW,CA-NV-00000001,2025-01-01,U-WEBNVG5VMF60,120,941.56,DAYS_91_120,True,True
DL-6V1D5H0EL4FJVE3A,CA-NV-00000001,2025-01-01,U-TRFZWKXXJVE3,30,235.39,DAYS_1_30,False,False
DL-X627676IK6FXSSD5,CA-NV-00000001,2025-02-01,U-0E0VGNXB5JTB,30,235.39,DAYS_1_30,False,False
DL-U58GC9K9BYEB80SL,CA-NV-00000001,2025-02-01,U-TRFZWKXXJVE3,60,470.78,DAYS_31_60,False,False
DL-IIY4FEA3FB3VMZPV,CA-NV-00000001,2025-02-01,U-B7V1W4K2TCZS,30,235.39,DAYS_1_30,False,False
DL-2RSYDNGSBN8E8GEV,CA-NV-00000001,2025-03-01,U-0E0VGNXB5JTB,60,470.78,DAYS_31_60,False,False
DL-NDVQW6EWASHK41Y0,CA-NV-00000001,2025-03-01,U-TRFZWKXXJVE3,90,706.17,DAYS_61_90,True,False
DL-PU5GVZJN6B4363H7,CA-NV-00000001,2025-03-01,U-B7V1W4K2TCZS,60,470.78,DAYS_31_60,False,False
DL-H3JEAL49LNRLMLD9,CA-NV-00000001,2025-04-01,U-TRFZWKXXJVE3,120,941.56,DAYS_91_120,True,True
DL-5DV4VOUE3G87RURZ,CA-NV-00000001,2025-06-01,U-M2L44Y9IK01L,30,235.39,DAYS_1_30,False,False
DL-8509GJY8FRB7K13J,CA-TX-00000002,2024-01-01,U-YMX9DJOYOHAZ,30,259.58,DAYS_1_30,False,False
DL-FP7F6HAFEZZH6PGR,CA-TX-00000002,2024-01-01,U-Z2EI9212PGYM,30,259.58,DAYS_1_30,False,False
DL-FH0W6DTPN0B99LW9,CA-TX-00000002,2024-02-01,U-YMX9DJOYOHAZ,60,519.16,DAYS_31_60,False,False
DL-0JY3YM9FIC8T5W73,CA-TX-00000002,2024-02-01,U-H20RAPE6WTLR,30,259.58,DAYS_1_30,False,False
DL-XR904RM0KUOYP0T1,CA-TX-00000002,2024-02-01,U-S9DWD7OI0PES,30,259.58,DAYS_1_30,False,False
DL-96970S9JT6UGWGD6,CA-TX-00000002,2024-02-01,U-Z2EI9212PGYM,60,519.16,DAYS_31_60,False,False
DL-JLYGPM087T3KQS01,CA-TX-00000002,2024-03-01,U-YMX9DJOYOHAZ,90,778.74,DAYS_61_90,True,False
DL-7O0ENN6HSB8G0540,CA-TX-00000002,2024-03-01,U-GJE2AB2RVNDF,30,259.58,DAYS_1_30,False,False
DL-DS76TDO0O3ODWD38,CA-TX-00000002,2024-03-01,U-Z2EI9212PGYM,90,778.74,DAYS_61_90,True,False
DL-5Q064890VA59I7C3,CA-TX-00000002,2024-04-01,U-YMX9DJOYOHAZ,120,1038.32,DAYS_91_120,True,True
DL-AZYFLBSMKFULA8OY,CA-TX-00000002,2024-04-01,U-GJE2AB2RVNDF,60,519.16,DAYS_31_60,False,False
DL-4IP2F2A3ZTWS6GFL,CA-TX-00000002,2024-04-01,U-Z2EI9212PGYM,120,1038.32,DAYS_91_120,True,True
DL-NVCW8818QV9S2F8I,CA-TX-00000002,2024-04-01,U-IWF3KM2KQL0H,30,259.58,DAYS_1_30,False,False
DL-KCG9LPPH8030K9YI,CA-TX-00000002,2024-04-01,U-6LTHET25LZSE,30,259.58,DAYS_1_30,False,False
DL-5ZE6HG58RA2X0SB2,CA-TX-00000002,2024-05-01,U-YMX9DJOYOHAZ,150,1297.9,DAYS_OVER_120,True,True
DL-5AAL731AE1FILV2S,CA-TX-00000002,2024-05-01,U-I8QOAGSUSMES,30,259.58,DAYS_1_30,False,False
DL-GGJARW07PJRC62LC,CA-TX-00000002,2024-05-01,U-18QQVAECW9YI,30,259.58,DAYS_1_30,False,False
DL-ET7PUP4YB9BY17VU,CA-TX-00000002,2024-05-01,U-Z2EI9212PGYM,150,1297.9,DAYS_OVER_120,True,True
DL-6TFDM8CNA3SUHPXZ,CA-TX-00000002,2024-05-01,U-TLQ5V4FTQ3TQ,30,259.58,DAYS_1_30,False,False
DL-B4K17VMRHRCVBI7F,CA-TX-00000002,2024-05-01,U-IWF3KM2KQL0H,60,519.16,DAYS_31_60,False,False
DL-RQH4JU9LEQ9UE0UK,CA-TX-00000002,2024-05-01,U-6LTHET25LZSE,60,519.16,DAYS_31_60,False,False
DL-6IFEKK4XSXTHL38I,CA-TX-00000002,2024-06-01,U-TLQ5V4FTQ3TQ,60,519.16,DAYS_31_60,False,False
DL-6GNHO974KIV9RQ8S,CA-TX-00000002,2024-08-01,U-V07OXK8C1GRA,30,259.58,DAYS_1_30,False,False
DL-NPC80Q2GJ4T0S53O,CA-TX-00000002,2024-09-01,U-H20RAPE6WTLR,30,259.58,DAYS_1_30,False,False
DL-I2ZVBZKL3P9TGILL,CA-TX-00000002,2024-09-01,U-QMMU7JAE58HU,30,259.58,DAYS_1_30,False,False
DL-1Y6TSWD2SHV6V3S8,CA-TX-00000002,2024-09-01,U-S9RYLLWB7SJW,30,259.58,DAYS_1_30,False,False
DL-PKWM3PY82PQ4BAHE,CA-TX-00000002,2024-09-01,U-GJE2AB2RVNDF,30,259.58,DAYS_1_30,False,False
DL-LBZR9I6R2R0AINYF,CA-TX-00000002,2024-09-01,U-RDU4XSZJNVC7,30,259.58,DAYS_1_30,False,False
DL-35AHTYZK6HYPV8SB,CA-TX-00000002,2024-09-01,U-DS1EEURXHW0I,30,259.58,DAYS_1_30,False,False
DL-377GXHVDD71BK3SX,CA-TX-00000002,2024-09-01,U-6RVDH8UZB7KR,30,259.58,DAYS_1_30,False,False
DL-EJU5W1OV8D0LMWNI,CA-TX-00000002,2024-10-01,U-18QQVAECW9YI,30,259.58,DAYS_1_30,False,False
DL-5RA8SEAXGHKTIGVH,CA-TX-00000002,2024-10-01,U-H20RAPE6WTLR,60,519.16,DAYS_31_60,False,False
DL-VLZNY4EGU8YYCEKY,CA-TX-00000002,2024-10-01,U-QMMU7JAE58HU,60,519.16,DAYS_31_60,False,False
DL-ZENM3F6U3K7AS4SR,CA-TX-00000002,2024-10-01,U-S9RYLLWB7SJW,60,519.16,DAYS_31_60,False,False
DL-JLHCAQGXHBPK3CQC,CA-TX-00000002,2024-10-01,U-GJE2AB2RVNDF,60,519.16,DAYS_31_60,False,False
DL-NQ9QSZ6UWWYL048L,CA-TX-00000002,2024-10-01,U-RDU4XSZJNVC7,60,519.16,DAYS_31_60,False,False
DL-O6YEZIYP9KUMWM29,CA-TX-00000002,2024-10-01,U-6RVDH8UZB7KR,60,519.16,DAYS_31_60,False,False
DL-HONZPCA7LX3SWE6X,CA-TX-00000002,2024-11-01,U-18QQVAECW9YI,60,519.16,DAYS_31_60,False,False
DL-L5NINGI3QVUQE8RS,CA-TX-00000002,2024-11-01,U-QMMU7JAE58HU,90,778.74,DAYS_61_90,True,False
DL-OM0QLL375PHDP0BV,CA-TX-00000002,2024-11-01,U-GJE2AB2RVNDF,90,778.74,DAYS_61_90,True,False
DL-19H5FSMI39IK6G9L,CA-TX-00000002,2024-11-01,U-Z2EI9212PGYM,30,259.58,DAYS_1_30,False,False
DL-OHHWFMDYNWMUNFSI,CA-TX-00000002,2024-11-01,U-RDU4XSZJNVC7,90,778.74,DAYS_61_90,True,False
DL-0CH3HKAFZ1130RLN,CA-TX-00000002,2024-11-01,U-6RVDH8UZB7KR,90,778.74,DAYS_61_90,True,False
DL-W9KO99LQWC8JFLTD,CA-TX-00000002,2024-12-01,U-18QQVAECW9YI,90,778.74,DAYS_61_90,True,False
DL-BL6MPAVG8HOUAO7G,CA-TX-00000002,2024-12-01,U-6NKWFG3MWU4C,30,259.58,DAYS_1_30,False,False
DL-LPXL0AS61E78KFH7,CA-TX-00000002,2024-12-01,U-GJE2AB2RVNDF,120,1038.32,DAYS_91_120,True,True
DL-NZRCJEBZTQGTGCF4,CA-TX-00000002,2024-12-01,U-VUH17J8QO09V,30,259.58,DAYS_1_30,False,False
DL-X71VV4ZW2IWKUEU3,CA-TX-00000002,2024-12-01,U-6RVDH8UZB7KR,120,1038.32,DAYS_91_120,True,True
DL-7N5J9IVGUA09MOVC,CA-TX-00000002,2025-01-01,U-V07OXK8C1GRA,30,259.58,DAYS_1_30,False,False
DL-QX4HRCE7AC08E17H,CA-TX-00000002,2025-01-01,U-EC8RA484NL65,30,259.58,DAYS_1_30,False,False
DL-2G0PRQAHS8HM9NWP,CA-TX-00000002,2025-01-01,U-6NKWFG3MWU4C,60,519.16,DAYS_31_60,False,False
DL-IFCLCH1GQDD4R857,CA-TX-00000002,2025-01-01,U-WJWGABTGDJZ0,30,259.58,DAYS_1_30,False,False
DL-VPCBKNIBSPQY9HC8,CA-TX-00000002,2025-01-01,U-S9RYLLWB7SJW,30,259.58,DAYS_1_30,False,False
DL-7ZAZK2BM5D1PTRE5,CA-TX-00000002,2025-01-01,U-GJE2AB2RVNDF,150,1297.9,DAYS_OVER_120,True,True
DL-9IB1BAE5TWM4Y75G,CA-TX-00000002,2025-01-01,U-VUH17J8QO09V,60,519.16,DAYS_31_60,False,False
DL-0ANYJUG556AL3CH6,CA-TX-00000002,2025-01-01,U-VK0UCC1M3O55,30,259.58,DAYS_1_30,False,False
DL-UPE4GUITFHCJ6X08,CA-TX-00000002,2025-01-01,U-6RVDH8UZB7KR,150,1297.9,DAYS_OVER_120,True,True
DL-FD3LKQRN3SRJRS4G,CA-TX-00000002,2025-02-01,U-V07OXK8C1GRA,60,519.16,DAYS_31_60,False,False
DL-YM2J09B3O2IE5I7R,CA-TX-00000002,2025-02-01,U-GJE2AB2RVNDF,180,1557.48,DAYS_OVER_120,True,True
DL-GS16REFPYMP0USD7,CA-TX-00000002,2025-02-01,U-VK0UCC1M3O55,60,519.16,DAYS_31_60,False,False
DL-14HC6SUN9ZF3IRDK,CA-TX-00000002,2025-02-01,U-6RVDH8UZB7KR,180,1557.48,DAYS_OVER_120,True,True
DL-Z88WSO141D86BYL1,CA-TX-00000002,2025-03-01,U-V07OXK8C1GRA,90,778.74,DAYS_61_90,True,False
DL-4JW7SR6JWL4GFM2X,CA-TX-00000002,2025-03-01,U-S9DWD7OI0PES,30,259.58,DAYS_1_30,False,False
DL-RRX23ISX0CZTY9VL,CA-TX-00000002,2025-03-01,U-L48C1CQG433E,30,259.58,DAYS_1_30,False,False
DL-4CTS8YAYNUYTEKVM,CA-TX-00000002,2025-03-01,U-TLQ5V4FTQ3TQ,30,259.58,DAYS_1_30,False,False
DL-PPE139J1KD3BFNFV,CA-TX-00000002,2025-03-01,U-1UYZPD2TSXTV,30,259.58,DAYS_1_30,False,False
DL-K93QSNWPXEOV28YP,CA-TX-00000002,2025-03-01,U-VK0UCC1M3O55,90,778.74,DAYS_61_90,True,False
DL-7G5IU4MTBQF555SB,CA-TX-00000002,2025-03-01,U-6RVDH8UZB7KR,210,1817.06,DAYS_OVER_120,True,True
DL-5VX6IZEULE3BBJE3,CA-TX-00000002,2025-04-01,U-V07OXK8C1GRA,120,1038.32,DAYS_91_120,True,True
DL-00Y26M6LQEMGI5WZ,CA-TX-00000002,2025-04-01,U-S9DWD7OI0PES,60,519.16,DAYS_31_60,False,False
DL-7IN226AAEYRSOUEG,CA-TX-00000002,2025-04-01,U-7SUUDQFJ6IJK,30,259.58,DAYS_1_30,False,False
DL-T7TXYXEK025A33DP,CA-TX-00000002,2025-04-01,U-VK0UCC1M3O55,120,1038.32,DAYS_91_120,True,True
DL-25K9Y3JNZ1IRGZ1S,CA-TX-00000002,2025-04-01,U-VIAC2E4QXGNR,30,259.58,DAYS_1_30,False,False
DL-ZX6Y3P5PWL9X4A6M,CA-TX-00000002,2025-05-01,U-7SUUDQFJ6IJK,60,519.16,DAYS_31_60,False,False
DL-IUXF8WE1DJ6FSE9U,CA-TX-00000002,2025-05-01,U-VK0UCC1M3O55,150,1297.9,DAYS_OVER_120,True,True
DL-7HSDJC00CMI01DNY,CA-TX-00000002,2025-06-01,U-7SUUDQFJ6IJK,90,778.74,DAYS_61_90,True,False
DL-YF4LIZRRPFZIA7I8,CA-TX-00000003,2024-01-01,U-YJCKT1ELOU83,30,377.26,DAYS_1_30,False,False
DL-6LID76YWWPXT7V39,CA-TX-00000003,2024-01-01,U-Y89ORVSCYOZP,30,377.26,DAYS_1_30,False,False
DL-BEV3NJCNY4QQ8J2X,CA-TX-00000003,2024-02-01,U-Y89ORVSCYOZP,60,754.52,DAYS_31_60,False,False
DL-6TFR2BON2NQKXZPD,CA-TX-00000003,2024-03-01,U-Y89ORVSCYOZP,90,1131.78,DAYS_61_90,True,False
DL-BFRI4P0H54WFMJGL,CA-TX-00000003,2024-04-01,U-T1YJFE8UDTTJ,30,377.26,DAYS_1_30,False,False
DL-BR0ADL1OSC05N063,CA-TX-00000003,2024-04-01,U-Y89ORVSCYOZP,120,1509.04,DAYS_91_120,True,True
DL-WO68XVJ8UXJICWMI,CA-TX-00000003,2024-05-01,U-T1YJFE8UDTTJ,60,754.52,DAYS_31_60,False,False
DL-UUUGF4Q2SZD7MRLW,CA-TX-00000003,2024-06-01,U-9FKXZUU80MB1,30,377.26,DAYS_1_30,False,False
DL-D1P4YB5Y7KKLUNB3,CA-TX-00000003,2024-06-01,U-T1YJFE8UDTTJ,90,1131.78,DAYS_61_90,True,False
DL-D0LLS5N9CMVVZDHO,CA-TX-00000003,2024-07-01,U-T1YJFE8UDTTJ,120,1509.04,DAYS_91_120,True,True
DL-ENMFHBG81A8K649K,CA-TX-00000003,2024-10-01,U-GZPL1QWEEHWJ,30,377.26,DAYS_1_30,False,False
DL-AD9WWJ0G8H2KB6D8,CA-TX-00000003,2024-10-01,U-2Y8RGYBXKPM2,30,377.26,DAYS_1_30,False,False
DL-QGM1XJ8Z7AF8XX4C,CA-TX-00000003,2024-11-01,U-GZPL1QWEEHWJ,60,754.52,DAYS_31_60,False,False
DL-MTK0V1NUSUIZGOC8,CA-TX-00000003,2024-12-01,U-GZPL1QWEEHWJ,90,1131.78,DAYS_61_90,True,False
DL-84M2Y2BE2N1N338N,CA-TX-00000003,2025-01-01,U-GZPL1QWEEHWJ,120,1509.04,DAYS_91_120,True,True
DL-JVVW5SQF4OJTYNRK,CA-TX-00000003,2025-02-01,U-GZPL1QWEEHWJ,150,1886.3,DAYS_OVER_120,True,True
DL-02OADHNDDU0Z6OIZ,CA-TX-00000003,2025-02-01,U-MNTFVGE2L4ZJ,30,377.26,DAYS_1_30,False,False
DL-K3AIVSLRC79W2RG9,CA-TX-00000003,2025-02-01,U-TEA7187F8TSX,30,377.26,DAYS_1_30,False,False
DL-GXKYU7MORJYKX665,CA-TX-00000003,2025-03-01,U-T1YJFE8UDTTJ,30,377.26,DAYS_1_30,False,False
DL-A94XZCBRTZY7AFTB,CA-TX-00000003,2025-03-01,U-9UWS44C68AU9,30,377.26,DAYS_1_30,False,False
DL-UDFRRNN2GINETOME,CA-TX-00000003,2025-03-01,U-TEA7187F8TSX,60,754.52,DAYS_31_60,False,False
DL-R1OEJ377RM77TJFM,CA-TX-00000003,2025-04-01,U-T1YJFE8UDTTJ,60,754.52,DAYS_31_60,False,False
DL-JBH8X18GDW1ZYBFQ,CA-TX-00000003,2025-04-01,U-1VGLL42JZNTM,30,377.26,DAYS_1_30,False,False
DL-15GKLLR87121PDC3,CA-TX-00000003,2025-05-01,U-UXK0AREC2JWJ,30,377.26,DAYS_1_30,False,False
DL-SEVGBHY0XBIV74YL,CA-TX-00000003,2025-05-01,U-IXAW63DW4C3E,30,377.26,DAYS_1_30,False,False
DL-0UZNA6PYM5H13NE5,CA-TX-00000003,2025-06-01,U-IXAW63DW4C3E,60,754.52,DAYS_31_60,False,False
DL-GJ8HXWV9AWL608W1,CA-TX-00000004,2024-01-01,U-IXV6CKMALQ5U,30,364.93,DAYS_1_30,False,False
DL-XQC5CIQSXC4NPAYA,CA-TX-00000004,2024-01-01,U-0QRAQIK3OMD4,30,364.93,DAYS_1_30,False,False
DL-GF4OC0BOL9083E91,CA-TX-00000004,2024-01-01,U-OS0765ICAUTJ,30,364.93,DAYS_1_30,False,False
DL-45RXIXA98VSZHUZT,CA-TX-00000004,2024-02-01,U-6V1MZB3I4FIE,30,364.93,DAYS_1_30,False,False
DL-CNUE2NFT8DUU7VWG,CA-TX-00000004,2024-02-01,U-WDC112HXRJM4,30,364.93,DAYS_1_30,False,False
DL-QLKQ75CLIDH8ZP6M,CA-TX-00000004,2024-02-01,U-IXV6CKMALQ5U,60,729.86,DAYS_31_60,False,False
DL-79ES7M52O6ZS3C59,CA-TX-00000004,2024-02-01,U-OJSYT5WSGRX3,30,364.93,DAYS_1_30,False,False
DL-89VS9UIHQAL4NF13,CA-TX-00000004,2024-02-01,U-DEG3ZGARFI44,30,364.93,DAYS_1_30,False,False
DL-T9KKT52A4M58IT5T,CA-TX-00000004,2024-02-01,U-0QRAQIK3OMD4,60,729.86,DAYS_31_60,False,False
DL-SWYA64VY7ABAIAQ1,CA-TX-00000004,2024-02-01,U-92V4DUSGEHN0,30,364.93,DAYS_1_30,False,False
DL-WROXFPWXZYN14D5O,CA-TX-00000004,2024-02-01,U-UBFN9KR2FVB6,30,364.93,DAYS_1_30,False,False
DL-QXYUSSOXFWL8Q27T,CA-TX-00000004,2024-02-01,U-OEFUKPV8LYMJ,30,364.93,DAYS_1_30,False,False
DL-LW8IEXUBHLA7JEDH,CA-TX-00000004,2024-03-01,U-IXV6CKMALQ5U,90,1094.79,DAYS_61_90,True,False
DL-NQ1KHHYS5RLZZX1W,CA-TX-00000004,2024-03-01,U-B9OI0D4DMC2R,30,364.93,DAYS_1_30,False,False
DL-CRUBNE1UK84WR5YC,CA-TX-00000004,2024-03-01,U-OJSYT5WSGRX3,60,729.86,DAYS_31_60,False,False
DL-HLSPI5XDQ2P86ONX,CA-TX-00000004,2024-03-01,U-JI1OAHNOX8FK,30,364.93,DAYS_1_30,False,False
DL-I3N3BRM3KBR78L0T,CA-TX-00000004,2024-03-01,U-0V5DTAEGRY58,30,364.93,DAYS_1_30,False,False
DL-GQ4VDKOO6HPZPHD8,CA-TX-00000004,2024-03-01,U-DEG3ZGARFI44,60,729.86,DAYS_31_60,False,False
DL-T8NTE32ZPIRU9GLS,CA-TX-00000004,2024-03-01,U-0QRAQIK3OMD4,90,1094.79,DAYS_61_90,True,False
DL-04ILPDM67YL8NWVX,CA-TX-00000004,2024-03-01,U-92V4DUSGEHN0,60,729.86,DAYS_31_60,False,False
DL-GDIRSS6MSZVMP369,CA-TX-00000004,2024-04-01,U-JVNY1KCVEN3V,30,364.93,DAYS_1_30,False,False
DL-OOKGD705HLO7G4SF,CA-TX-00000004,2024-04-01,U-B9OI0D4DMC2R,60,729.86,DAYS_31_60,False,False
DL-4RAEXYMBQPU3634U,CA-TX-00000004,2024-04-01,U-NFFYKPL3CHO3,30,364.93,DAYS_1_30,False,False
DL-QRM3J8BCQ930CSOB,CA-TX-00000004,2024-04-01,U-2LR9P6HJB2JT,30,364.93,DAYS_1_30,False,False
DL-96T5HBB9J0FND7YN,CA-TX-00000004,2024-04-01,U-6YTIPA877K71,30,364.93,DAYS_1_30,False,False
DL-GSJJOWTQB7T3W54M,CA-TX-00000004,2024-04-01,U-JI1OAHNOX8FK,60,729.86,DAYS_31_60,False,False
DL-8UPZ96XTZ42JSTGR,CA-TX-00000004,2024-04-01,U-0V5DTAEGRY58,60,729.86,DAYS_31_60,False,False
DL-0RKS6JFULSGUW7Q9,CA-TX-00000004,2024-04-01,U-0QRAQIK3OMD4,120,1459.72,DAYS_91_120,True,True
DL-RVT3RKICCOXSE1IQ,CA-TX-00000004,2024-04-01,U-EH81A4RKGJZO,30,364.93,DAYS_1_30,False,False
DL-ZKOJKJ3RN48YSO6P,CA-TX-00000004,2024-05-01,U-6V1MZB3I4FIE,30,364.93,DAYS_1_30,False,False
DL-99OYO6GLOKQPD37B,CA-TX-00000004,2024-05-01,U-BD2SCEJCY127,30,364.93,DAYS_1_30,False,False
DL-R8I372E7L6BXDA2X,CA-TX-00000004,2024-05-01,U-6YTIPA877K71,60,729.86,DAYS_31_60,False,False
DL-8AQDGCHNEXSL5SJY,CA-TX-00000004,2024-05-01,U-ZP97BMZRR45E,30,364.93,DAYS_1_30,False,False
DL-VER3LIE8FSW1QT3N,CA-TX-00000004,2024-05-01,U-JI1OAHNOX8FK,90,1094.79,DAYS_61_90,True,False
DL-KFV3X4V22H1T4L5J,CA-TX-00000004,2024-05-01,U-0V5DTAEGRY58,90,1094.79,DAYS_61_90,True,False
DL-EEB9ZG0AVNEYSU36,CA-TX-00000004,2024-05-01,U-0QRAQIK3OMD4,150,1824.65,DAYS_OVER_120,True,True
DL-GHHHUKB4X3T9IRX2,CA-TX-00000004,2024-05-01,U-EH81A4RKGJZO,60,729.86,DAYS_31_60,False,False
DL-MS98A5EZ22KC6IGW,CA-TX-00000004,2024-06-01,U-6V1MZB3I4FIE,60,729.86,DAYS_31_60,False,False
DL-AN1HR6XBLG8DWIIH,CA-TX-00000004,2024-06-01,U-JC2R07LP7DFJ,30,364.93,DAYS_1_30,False,False
DL-G0J7EZ41MYQ5M2MV,CA-TX-00000004,2024-06-01,U-JI1OAHNOX8FK,120,1459.72,DAYS_91_120,True,True
DL-YRSGOHUQ2G3HBJ6Z,CA-TX-00000004,2024-06-01,U-R5RUP13WPPBM,30,364.93,DAYS_1_30,False,False
DL-6NZ51GV6MRD1996O,CA-TX-00000004,2024-06-01,U-QC2K9YKIPUT7,30,364.93,DAYS_1_30,False,False
DL-W778JQ50JM7D3Z72,CA-TX-00000004,2024-06-01,U-0V5DTAEGRY58,120,1459.72,DAYS_91_120,True,True
DL-XZS69C3FIC8ZRDMN,CA-TX-00000004,2024-06-01,U-EH81A4RKGJZO,90,1094.79,DAYS_61_90,True,False
DL-9FIY2HMQ8PCLT6VI,CA-TX-00000004,2024-07-01,U-JVNY1KCVEN3V,30,364.93,DAYS_1_30,False,False
DL-K6EXIUNB1AP1FPCW,CA-TX-00000004,2024-07-01,U-6YTIPA877K71,30,364.93,DAYS_1_30,False,False
DL-XILM07ISA6BSGMW8,CA-TX-00000004,2024-07-01,U-JC2R07LP7DFJ,60,729.86,DAYS_31_60,False,False
DL-CJTZVAD3KTYUYEJI,CA-TX-00000004,2024-07-01,U-JI1OAHNOX8FK,150,1824.65,DAYS_OVER_120,True,True
DL-C21GDPUXUS5YTFCP,CA-TX-00000004,2024-07-01,U-R5RUP13WPPBM,60,729.86,DAYS_31_60,False,False
DL-2VLYBUI8OLKVAEYT,CA-TX-00000004,2024-07-01,U-0V5DTAEGRY58,150,1824.65,DAYS_OVER_120,True,True
DL-SEUR1IBKSY5D4C1Z,CA-TX-00000004,2024-07-01,U-EH81A4RKGJZO,120,1459.72,DAYS_91_120,True,True
DL-XAX9HCON13GBV3OX,CA-TX-00000004,2024-08-01,U-VL9PTK4GC4RY,30,364.93,DAYS_1_30,False,False
DL-ZYTZIBQ8ODEIPEZI,CA-TX-00000004,2024-08-01,U-NFFYKPL3CHO3,30,364.93,DAYS_1_30,False,False
DL-YQ7820XWA2UWIWTJ,CA-TX-00000004,2024-08-01,U-JI1OAHNOX8FK,180,2189.58,DAYS_OVER_120,True,True
DL-Z7793XMN9WYSVMFJ,CA-TX-00000004,2024-08-01,U-R5RUP13WPPBM,90,1094.79,DAYS_61_90,True,False
DL-0T9APHCLBDD0AMJP,CA-TX-00000004,2024-08-01,U-0V5DTAEGRY58,180,2189.58,DAYS_OVER_120,True,True
DL-RMD0YUINOMU3VJB0,CA-TX-00000004,2024-09-01,U-BD2SCEJCY127,30,364.93,DAYS_1_30,False,False
DL-Y0QH1GIL2T4MROKS,CA-TX-00000004,2024-09-01,U-VL9PTK4GC4RY,60,729.86,DAYS_31_60,False,False
DL-NJZEH77U42U9QIL0,CA-TX-00000004,2024-09-01,U-JC2R07LP7DFJ,30,364.93,DAYS_1_30,False,False
DL-BLI65AYYZH94EHIM,CA-TX-00000004,2024-09-01,U-JY32HOG585I8,30,364.93,DAYS_1_30,False,False
DL-GNS3DDJSZP2LXY86,CA-TX-00000004,2024-09-01,U-VA8X8L008UHB,30,364.93,DAYS_1_30,False,False
DL-8I29UT79MC5D4ZNW,CA-TX-00000004,2024-09-01,U-JI1OAHNOX8FK,210,2554.51,DAYS_OVER_120,True,True
DL-EX02O5EYVD6LTPKZ,CA-TX-00000004,2024-09-01,U-0V5DTAEGRY58,210,2554.51,DAYS_OVER_120,True,True
DL-JMTTMFUQMBK8BUA5,CA-TX-00000004,2024-09-01,U-OS0765ICAUTJ,30,364.93,DAYS_1_30,False,False
DL-XJA85AAX3XKMRJV6,CA-TX-00000004,2024-09-01,U-MEIUR9211U64,30,364.93,DAYS_1_30,False,False
