reserve_id,caid,snapshot_date,current_balance,fully_funded_target,percent_funded,annual_contribution,last_study_date,study_type
RF-01AALPTDXDH3,CA-CA-00000009,2024-04-01,1938277.77,2735197.2,70.86,147894.28,2020-10-10,STANDARD
RF-9CZ200MGRXPV,CA-CA-00000009,2024-07-01,1935168.73,2735197.2,70.75,116955.58,,INFORMAL
RF-9FX3FFHDM1QS,CA-CA-00000009,2024-10-01,1928496.15,2735197.2,70.51,208407.53,2023-04-10,INFORMAL
RF-5QITBWC8I1FV,CA-CA-00000009,2025-01-01,1940536.61,2735197.2,70.95,100101.99,2023-10-10,INFORMAL
RF-01131O1MYTS6,CA-CA-00000009,2025-04-01,1972570.11,2735197.2,72.12,157659.19,2023-07-09,STANDARD
RF-5HEDO1NO92DM,CA-AZ-00000010,2024-01-01,2387827.82,3826056.43,62.41,288906.39,,INFORMAL
RF-61L3UIKF702C,CA-AZ-00000010,2024-04-01,2450150.99,3826056.43,64.04,240922.96,,INFORMAL
RF-7F8T61UL4NHY,CA-AZ-00000010,2024-07-01,2444713.73,3826056.43,63.9,261623.09,,STANDARD
RF-5DNJFYU0T65Y,CA-AZ-00000010,2024-10-01,2560966.75,3826056.43,66.93,144386.78,,STANDARD
RF-8SLQF4FUWJT3,CA-AZ-00000010,2025-01-01,2337814.14,3826056.43,61.1,259024.48,2021-05-31,STANDARD
RF-QZYXWB14WKKM,CA-AZ-00000010,2025-04-01,2567902.27,3826056.43,67.12,292119.19,,STANDARD
RF-PPP27YHKCD2O,CA-TX-00000011,2024-01-01,688963.64,841811.97,81.84,43432.97,2022-07-10,INFORMAL
RF-TQEXEVM2RSL0,CA-TX-00000011,2024-04-01,714184.78,841811.97,84.84,57496.2,2020-12-03,STANDARD
RF-MFSUCHYMLJMZ,CA-TX-00000011,2024-07-01,717188.96,841811.97,85.2,52617.84,2020-10-25,INFORMAL
RF-9L9U3WV8NS3O,CA-TX-00000011,2024-10-01,707473.55,841811.97,84.04,59591.47,2023-02-21,INFORMAL
RF-D1KQTT2VKYK7,CA-TX-00000011,2025-01-01,718792.07,841811.97,85.39,60539.82,2021-08-23,INFORMAL
RF-V4H1HZ8MTB0X,CA-TX-00000011,2025-04-01,717957.51,841811.97,85.29,61686.17,2022-05-14,STANDARD
RF-SXV667OVIQUC,CA-FL-00000012,2024-01-01,491415.49,793491.74,61.93,35484.59,2021-12-01,INFORMAL
RF-FSQKVA8A9JI7,CA-FL-00000012,2024-04-01,493032.74,793491.74,62.13,63158.53,2022-04-24,INFORMAL
RF-TDHGG3SPUH3C,CA-FL-00000012,2024-07-01,484107.35,793491.74,61.01,56557.3,2022-06-26,INFORMAL
RF-BWYV5KEEF92U,CA-FL-00000012,2024-10-01,459698.87,793491.74,57.93,48974.48,2021-08-27,STANDARD
RF-8R5MC46TLXKV,CA-FL-00000012,2025-01-01,464513.75,793491.74,58.54,56858.34,2022-12-07,STANDARD
RF-KZVDD4XFP4RX,CA-FL-00000012,2025-04-01,474201.04,793491.74,59.76,46133.11,2023-07-22,INFORMAL
RF-3X0ZFQ0BDZSP,CA-AZ-00000013,2024-01-01,176101.16,679823.22,25.9,44254.16,2023-02-24,INFORMAL
RF-5KCF0MWWVX4T,CA-AZ-00000013,2024-04-01,164340.32,679823.22,24.17,28862.42,2021-11-23,INFORMAL
RF-61WM966TU0D2,CA-AZ-00000013,2024-07-01,160929.35,679823.22,23.67,48093.82,2022-01-02,STANDARD
RF-NQ97QAMHBCRZ,CA-AZ-00000013,2024-10-01,169961.97,679823.22,25.0,54161.71,2020-10-28,INFORMAL
RF-P9X2IIECCB5C,CA-AZ-00000013,2025-01-01,165202.9,679823.22,24.3,40643.54,2023-08-21,INFORMAL
RF-KDROW9ASWW4K,CA-AZ-00000013,2025-04-01,154952.22,679823.22,22.79,23298.5,2023-10-05,STANDARD
RF-JUMB121KJPUT,CA-FL-00000014,2024-01-01,3179626.28,3863910.89,82.29,131303.3,2021-07-02,INFORMAL
RF-GH8B8FI57VGH,CA-FL-00000014,2024-04-01,3293437.72,3863910.89,85.24,173841.67,2021-12-23,INFORMAL
RF-BGHXAV26YIDQ,CA-FL-00000014,2024-07-01,3307569.91,3863910.89,85.6,238167.82,2020-12-17,INFORMAL
RF-B6QED7Q49IM9,CA-FL-00000014,2024-10-01,3270709.3,3863910.89,84.65,204248.89,2023-08-09,STANDARD
RF-4YPKPG7RSEQB,CA-FL-00000014,2025-01-01,3323008.08,3863910.89,86.0,193850.86,2024-05-05,STANDARD
RF-6JOYOF970NAS,CA-FL-00000014,2025-04-01,3247048.62,3863910.89,84.04,175689.89,2021-04-29,INFORMAL
RF-ZCYZJ3VO6K6F,CA-NY-00000015,2024-01-01,2982278.31,3690437.41,80.81,238154.28,2023-03-16,STANDARD
RF-SV9TVKSX7GX4,CA-NY-00000015,2024-04-01,2978339.45,3690437.41,80.7,185748.86,2020-04-03,STANDARD
RF-ZA0LGW287WGV,CA-NY-00000015,2024-07-01,3080106.9,3690437.41,83.46,172132.65,2021-09-25,STANDARD
RF-UP74NSXSFQN9,CA-NY-00000015,2024-10-01,2997809.06,3690437.41,81.23,201195.27,2023-09-24,INFORMAL
RF-UW5PI6VE445G,CA-NY-00000015,2025-01-01,2973593.28,3690437.41,80.58,123298.51,2021-12-13,INFORMAL
RF-5I9Y6XU82OG1,CA-NY-00000015,2025-04-01,2980152.96,3690437.41,80.75,275676.06,2024-09-29,STANDARD
RF-3PSSY0GK7GIT,CA-IL-00000016,2024-01-01,1547016.48,3449198.64,44.85,129515.23,2023-03-04,INFORMAL
RF-BLETWL2XE978,CA-IL-00000016,2024-04-01,1693705.22,3449198.64,49.1,227945.34,,INFORMAL
RF-ZS3D1NBS55H4,CA-IL-00000016,2024-07-01,1484853.29,3449198.64,43.05,274984.02,,STANDARD
RF-DCZWTISGPV4N,CA-IL-00000016,2024-10-01,1669991.74,3449198.64,48.42,137467.95,,INFORMAL
RF-7U4FVDROQLRT,CA-IL-00000016,2025-01-01,1582790.54,3449198.64,45.89,263299.49,2024-06-25,INFORMAL
RF-F3J4VX03FOIV,CA-IL-00000016,2025-04-01,1556521.59,3449198.64,45.13,163099.72,,INFORMAL
RF-L2BID1VC3CF4,CA-CA-00000017,2024-01-01,2515024.07,3926064.36,64.06,245808.92,,INFORMAL
RF-2RAA6JIWAMKB,CA-CA-00000017,2024-04-01,2505006.48,3926064.36,63.8,227715.61,2023-06-09,INFORMAL
RF-CQAQOQTW0RYC,CA-CA-00000017,2024-07-01,2587901.59,3926064.36,65.92,299624.82,2023-09-12,STANDARD
RF-RPZJU1S5IUWH,CA-CA-00000017,2024-10-01,2545358.31,3926064.36,64.83,296419.24,2022-10-13,INFORMAL
RF-LR04TOHJ0W6W,CA-CA-00000017,2025-01-01,2563187.01,3926064.36,65.29,169078.44,2023-08-27,INFORMAL
RF-V2A8B292K6E7,CA-CA-00000017,2025-04-01,2548626.38,3926064.36,64.92,292113.95,,STANDARD
RF-WW19BQH16INI,CA-CO-00000018,2024-01-01,1701218.82,2438032.27,69.78,142729.19,2021-11-19,STANDARD
RF-POZSY26QBR2V,CA-CO-00000018,2024-04-01,1637172.8,2438032.27,67.15,166203.26,2021-11-05,STANDARD
RF-F7KM0YB7CDAQ,CA-CO-00000018,2024-07-01,1660162.82,2438032.27,68.09,127538.75,2021-06-20,STANDARD
RF-BFMANAIS8G6B,CA-CO-00000018,2024-10-01,1746400.27,2438032.27,71.63,133420.52,2023-09-05,INFORMAL
RF-SAZIFXO30ENP,CA-CO-00000018,2025-01-01,1735219.5,2438032.27,71.17,78372.0,2024-07-03,STANDARD
RF-SYA0E5R25ZU9,CA-CO-00000018,2025-04-01,1731994.64,2438032.27,71.04,167619.46,2022-05-06,STANDARD
RF-F6YUP1NZXJII,CA-IL-00000019,2024-01-01,1785535.87,2523990.33,70.74,181180.72,2020-01-12,STANDARD
RF-J3JHZYBEGONO,CA-IL-00000019,2024-04-01,1762037.22,2523990.33,69.81,186184.72,2022-09-15,INFORMAL
RF-UPJR64OT3GLY,CA-IL-00000019,2024-07-01,1763101.9,2523990.33,69.85,128566.24,2022-04-27,STANDARD
RF-CY4M4EW7JLKL,CA-IL-00000019,2024-10-01,1810079.04,2523990.33,71.71,162544.0,2024-01-26,STANDARD
RF-YWJE79KPHS7O,CA-IL-00000019,2025-01-01,1775719.27,2523990.33,70.35,131266.18,2021-07-04,INFORMAL
RF-15CAKJ58Q1RT,CA-IL-00000019,2025-04-01,1838312.68,2523990.33,72.83,168693.01,2024-08-22,INFORMAL
RF-8GNCPMRZ2PBM,CA-VA-00000020,2024-01-01,391203.49,765373.89,51.11,33561.88,,INFORMAL
RF-IRGHWUCIFN3T,CA-VA-00000020,2024-04-01,387875.36,765373.89,50.68,43069.48,2020-07-01,INFORMAL
RF-Z7H4HQZ6A460,CA-VA-00000020,2024-07-01,388450.53,765373.89,50.75,30263.71,,INFORMAL
RF-L2SNJKNY4JWT,CA-VA-00000020,2024-10-01,399854.54,765373.89,52.24,35540.67,2022-04-06,INFORMAL
RF-VJ9XJM05MXAN,CA-VA-00000020,2025-01-01,410754.8,765373.89,53.67,57478.53,2024-06-20,INFORMAL
RF-OYXM9JA6EQOF,CA-VA-00000020,2025-04-01,406341.22,765373.89,53.09,25538.75,2022-03-29,INFORMAL
RF-C652V23S19DR,CA-TX-00000021,2024-01-01,526030.33,1143789.28,45.99,72120.82,2021-04-12,STANDARD
RF-78URXHTQNIVW,CA-TX-00000021,2024-04-01,541839.08,1143789.28,47.37,83595.07,,INFORMAL
RF-XWJS0ICNEXR5,CA-TX-00000021,2024-07-01,557581.78,1143789.28,48.75,45667.78,2020-07-13,STANDARD
RF-XMSMFXC40L5D,CA-TX-00000021,2024-10-01,570590.69,1143789.28,49.89,56539.68,2022-01-02,STANDARD
RF-NY7YA9G56JGQ,CA-TX-00000021,2025-01-01,553832.99,1143789.28,48.42,87644.57,,INFORMAL
RF-WNQ2PIRBELPW,CA-TX-00000021,2025-04-01,574063.94,1143789.28,50.19,38027.31,2024-08-07,INFORMAL
RF-FC1M0GFLMAI9,CA-TX-00000022,2024-01-01,2699842.35,4498378.14,60.02,355303.15,2021-11-13,INFORMAL
RF-XWNCAR2WAB58,CA-TX-00000022,2024-04-01,2664183.04,4498378.14,59.23,310161.29,,INFORMAL
RF-HNGH5BM452VG,CA-TX-00000022,2024-07-01,2714796.17,4498378.14,60.35,284525.69,2023-12-11,INFORMAL
RF-MIDGYAWOJ9Y0,CA-TX-00000022,2024-10-01,2703879.64,4498378.14,60.11,230035.86,2023-06-26,INFORMAL
RF-R52E3I28YT7V,CA-TX-00000022,2025-01-01,2747231.28,4498378.14,61.07,299963.26,2023-09-02,INFORMAL
RF-H1I9XZYNYVHQ,CA-TX-00000022,2025-04-01,2902167.68,4498378.14,64.52,152036.46,2023-06-04,STANDARD
RF-DXGQ49JTLBQN,CA-NC-00000023,2024-01-01,1608337.89,2571045.75,62.56,84049.51,2020-05-24,INFORMAL
RF-BPK4X7UR9OB9,CA-NC-00000023,2024-04-01,1536127.59,2571045.75,59.75,131530.93,2022-04-29,INFORMAL
RF-NS5AI1J0I3TY,CA-NC-00000023,2024-07-01,1534514.97,2571045.75,59.68,142383.33,2020-11-08,INFORMAL
RF-7QX91HAEWEON,CA-NC-00000023,2024-10-01,1504567.66,2571045.75,58.52,171734.52,2020-10-24,INFORMAL
RF-8ASF5XZOIJJM,CA-NC-00000023,2025-01-01,1574962.93,2571045.75,61.26,96435.38,2023-10-23,INFORMAL
RF-7DQ3SNAHZNSZ,CA-NC-00000023,2025-04-01,1536039.31,2571045.75,59.74,83952.95,2024-01-08,INFORMAL
RF-F8SCZVDPWCT3,CA-FL-00000024,2024-01-01,315014.78,1443948.55,21.82,94541.73,2023-03-23,INFORMAL
RF-XKD1BRDVMOB2,CA-FL-00000024,2024-04-01,241601.31,1443948.55,16.73,81417.16,2022-08-07,STANDARD
RF-I0U2UWNGO1KW,CA-FL-00000024,2024-07-01,252690.83,1443948.55,17.5,50939.87,2021-03-26,INFORMAL
RF-23LI25Z150SB,CA-FL-00000024,2024-10-01,196684.76,1443948.55,13.62,47770.87,2020-12-30,STANDARD
RF-SGYDDLI7M9NB,CA-FL-00000024,2025-01-01,195273.77,1443948.55,13.52,109713.38,2021-03-31,INFORMAL
RF-KZBYTHZTBAHX,CA-FL-00000024,2025-04-01,218502.33,1443948.55,15.13,44356.5,2024-01-29,STANDARD
RF-FSU1909BR60P,CA-FL-00000025,2024-01-01,834578.35,2405466.81,34.7,97612.9,2023-04-15,STANDARD
RF-5NPQJV4IZJTG,CA-FL-00000025,2024-04-01,787502.28,2405466.81,32.74,88973.06,2022-07-01,STANDARD
RF-YIQ050X4UJ80,CA-FL-00000025,2024-07-01,734453.85,2405466.81,30.53,174394.33,2022-11-17,STANDARD
RF-HGBCTLR4TNQX,CA-FL-00000025,2024-10-01,770350.91,2405466.81,32.03,91364.0,2021-12-01,STANDARD
RF-U5WYQZU2ALLZ,CA-FL-00000025,2025-01-01,775407.69,2405466.81,32.24,89426.08,2024-01-14,INFORMAL
RF-4N9S38DGXSTY,CA-FL-00000025,2025-04-01,755535.72,2405466.81,31.41,105284.44,2023-09-24,STANDARD
RF-KOTW3X73US0U,CA-CA-00000026,2024-01-01,732350.47,3742860.58,19.57,265499.36,2021-03-04,INFORMAL
RF-5IXXL5UJ51ER,CA-CA-00000026,2024-04-01,748049.07,3742860.58,19.99,179971.35,2022-02-28,INFORMAL
RF-VFPWALNIFOCX,CA-CA-00000026,2024-07-01,746537.99,3742860.58,19.95,215657.03,2021-10-13,STANDARD
RF-BXIG53IVUKCT,CA-CA-00000026,2024-10-01,774334.66,3742860.58,20.69,296289.68,2023-12-27,INFORMAL
RF-ECQF1TNF4AGA,CA-CA-00000026,2025-01-01,738236.39,3742860.58,19.72,259342.73,2023-04-28,STANDARD
RF-7YDJSOFV8SW6,CA-CA-00000026,2025-04-01,642061.04,3742860.58,17.15,151318.71,2022-12-28,INFORMAL
RF-UZ35H5UL43GI,CA-PA-00000027,2024-01-01,976373.81,1293582.95,75.48,60525.07,2022-01-15,INFORMAL
RF-JL8QU2UQXW3N,CA-PA-00000027,2024-04-01,980562.52,1293582.95,75.8,90305.48,2021-06-09,STANDARD
RF-T8ZKSLH7XV9R,CA-PA-00000027,2024-07-01,995846.02,1293582.95,76.98,89226.95,2023-05-16,INFORMAL
RF-F3R6R4EGB51W,CA-PA-00000027,2024-10-01,996230.37,1293582.95,77.01,90825.39,2022-01-17,STANDARD
RF-3GDEWPS5QY8U,CA-PA-00000027,2025-01-01,994133.3,1293582.95,76.85,64642.21,2022-07-22,INFORMAL
RF-KV13XU5T05YD,CA-PA-00000027,2025-04-01,989036.34,1293582.95,76.46,74709.92,,INFORMAL
RF-61O2DUCNYIOZ,CA-FL-00000028,2024-01-01,347654.6,1719964.32,20.21,67872.08,2020-05-14,SIRS
RF-GLIOAEBRIYZB,CA-FL-00000028,2024-04-01,336769.02,1719964.32,19.58,55619.4,2020-06-15,SIRS
RF-H2YGNDWVYNG8,CA-FL-00000028,2024-07-01,333257.48,1719964.32,19.38,56234.76,2023-01-18,SIRS
RF-WCTF70GO9BH6,CA-FL-00000028,2024-10-01,288151.57,1719964.32,16.75,109448.41,2023-10-03,SIRS
RF-K1WA3DE1CPYR,CA-FL-00000028,2025-01-01,288040.43,1719964.32,16.75,83169.73,2023-08-29,SIRS
RF-IV8FW3H666K0,CA-FL-00000028,2025-04-01,337942.0,1719964.32,19.65,56648.69,2023-01-05,SIRS
RF-AWYH1GXGSCGU,CA-MA-00000029,2024-01-01,1380456.57,1956773.56,70.55,133271.8,2023-05-14,STANDARD
RF-XIOG7AGGXAPQ,CA-MA-00000029,2024-04-01,1369111.72,1956773.56,69.97,82473.42,2023-06-28,INFORMAL
RF-2ZJ2MT9CLWCS,CA-MA-00000029,2024-07-01,1376981.01,1956773.56,70.37,145525.7,,STANDARD
RF-32Z1XFDD1FBS,CA-MA-00000029,2024-10-01,1411474.85,1956773.56,72.13,116973.59,2022-05-14,STANDARD
RF-M39IUNGQ9UHY,CA-MA-00000029,2025-01-01,1376615.07,1956773.56,70.35,145167.63,2023-05-07,INFORMAL
RF-CEU82KGPZC7U,CA-MA-00000029,2025-04-01,1402410.2,1956773.56,71.67,59734.53,2022-07-14,INFORMAL
RF-Q0FVYKENZT08,CA-NC-00000030,2024-01-01,749290.43,2250057.06,33.3,166114.76,2021-02-15,STANDARD
RF-JR1P378ERK83,CA-NC-00000030,2024-04-01,746770.05,2250057.06,33.19,108686.49,2021-02-06,INFORMAL
RF-PXHWFOE8NARD,CA-NC-00000030,2024-07-01,757951.91,2250057.06,33.69,106436.61,2023-06-29,INFORMAL
RF-ICMHWH0OP9HE,CA-NC-00000030,2024-10-01,727546.36,2250057.06,32.33,146202.32,2020-12-26,INFORMAL
RF-370H511K0KJ9,CA-NC-00000030,2025-01-01,779337.2,2250057.06,34.64,108559.94,2023-07-10,INFORMAL
RF-HN3MSHF1MERK,CA-NC-00000030,2025-04-01,700010.43,2250057.06,31.11,72511.7,2022-08-22,STANDARD
RF-ZWZ8I5PRO1G5,CA-FL-00000031,2024-01-01,2003677.51,2986198.09,67.1,101421.97,2022-02-21,SIRS
RF-2055JY5GVTCR,CA-FL-00000031,2024-04-01,2100133.6,2986198.09,70.33,177805.2,,SIRS
RF-P7FOEUB2HWST,CA-FL-00000031,2024-07-01,2056068.23,2986198.09,68.85,105473.35,,SIRS
RF-MZC11DI2B9JC,CA-FL-00000031,2024-10-01,2105428.13,2986198.09,70.51,142246.52,2023-09-10,SIRS
RF-WFS5MZWQBQGS,CA-FL-00000031,2025-01-01,2004610.88,2986198.09,67.13,96187.11,2023-01-31,SIRS
RF-OQHKAYE58RD0,CA-FL-00000031,2025-04-01,2095060.31,2986198.09,70.16,156011.12,,SIRS
RF-XL1R6HUA2XS9,CA-MA-00000032,2024-01-01,2304288.79,4581182.51,50.3,322127.37,2023-04-06,INFORMAL
RF-56D0RLM5D6CV,CA-MA-00000032,2024-04-01,2358108.27,4581182.51,51.47,349236.11,,INFORMAL
RF-7OIFH4352KDE,CA-MA-00000032,2024-07-01,2235600.43,4581182.51,48.8,346115.86,2020-12-06,STANDARD
RF-61WN2AK8236Y,CA-MA-00000032,2024-10-01,2354250.94,4581182.51,51.39,316496.84,2022-09-16,INFORMAL
RF-WYWUE90FKRB1,CA-MA-00000032,2025-01-01,2401635.3,4581182.51,52.42,316623.93,2021-06-09,INFORMAL
RF-E6H5CQRLZ8U8,CA-MA-00000032,2025-04-01,2204983.23,4581182.51,48.13,227127.66,2021-12-14,STANDARD
RF-F2LLZ1CBQHCS,CA-CO-00000033,2024-01-01,957138.73,1432112.5,66.83,75722.86,,INFORMAL
RF-BC4Z5AFLR0N0,CA-CO-00000033,2024-04-01,965577.91,1432112.5,67.42,49410.89,2021-10-24,STANDARD
RF-RC5XLMXBDK0T,CA-CO-00000033,2024-07-01,926142.57,1432112.5,64.67,65849.98,,STANDARD
RF-BBCGQD9W9MHR,CA-CO-00000033,2024-10-01,934076.61,1432112.5,65.22,111593.23,2022-01-15,INFORMAL
RF-Z25G4NXUNRGD,CA-CO-00000033,2025-01-01,942778.17,1432112.5,65.83,97754.37,2022-12-14,STANDARD
RF-N9O37XG5X4X3,CA-CO-00000033,2025-04-01,925678.77,1432112.5,64.64,90416.7,2023-09-19,STANDARD
RF-5HLCK5U9NS42,CA-FL-00000034,2024-01-01,1103248.8,1919696.3,57.47,60025.28,2022-09-18,STANDARD
RF-BLNS965M5T5D,CA-FL-00000034,2024-04-01,1117733.19,1919696.3,58.22,146165.3,2020-12-21,STANDARD
RF-XM1XV210CVJK,CA-FL-00000034,2024-07-01,1146522.28,1919696.3,59.72,104506.05,2022-03-15,INFORMAL
RF-8ZTR0H2FZYV8,CA-FL-00000034,2024-10-01,1161944.15,1919696.3,60.53,138758.36,2021-01-06,STANDARD
RF-YROSTNMSA206,CA-FL-00000034,2025-01-01,1207525.97,1919696.3,62.9,59601.17,,INFORMAL
RF-R59I250GQQF0,CA-FL-00000034,2025-04-01,1141809.36,1919696.3,59.48,63062.79,2024-04-29,STANDARD
RF-X2NVYZXVHSHL,CA-WA-00000035,2024-01-01,2195661.03,2694363.93,81.49,99806.99,2020-01-30,INFORMAL
RF-AQLJD6AA0Z2S,CA-WA-00000035,2024-04-01,2213087.84,2694363.93,82.14,204259.56,2022-03-31,STANDARD
RF-OHQ2GP09096S,CA-WA-00000035,2024-07-01,2253137.53,2694363.93,83.62,196901.62,2023-02-03,INFORMAL
RF-MEHHO2NDLXRF,CA-WA-00000035,2024-10-01,2191266.52,2694363.93,81.33,117186.56,2023-06-19,INFORMAL
RF-WIIWFOGLPUDJ,CA-WA-00000035,2025-01-01,2262874.57,2694363.93,83.99,182842.34,2022-08-26,INFORMAL
RF-8546ZE3OUCI0,CA-WA-00000035,2025-04-01,2264924.0,2694363.93,84.06,138594.51,2024-02-14,INFORMAL
RF-D818RM3A19IY,CA-NY-00000036,2024-01-01,1924477.03,2520824.17,76.34,86680.23,2020-05-02,STANDARD
RF-F79GTZ7AQ45K,CA-NY-00000036,2024-04-01,2016466.88,2520824.17,79.99,178734.93,2023-04-13,STANDARD
