caid,risk_profile
CA-CA-00000230,MODERATE
CA-FL-00000231,HEALTHY
CA-TX-00000232,MODERATE
CA-TX-00000233,HEALTHY
CA-AZ-00000234,HEALTHY
CA-AZ-00000235,HEALTHY
CA-CA-00000236,STRESSED
CA-CA-00000237,HEALTHY
CA-TX-00000238,HEALTHY
CA-CA-00000239,MODERATE
CA-CA-00000240,HEALTHY
CA-CO-00000241,HEALTHY
CA-IL-00000242,STRESSED
CA-FL-00000243,MODERATE
CA-IL-00000244,HEALTHY
CA-CA-00000245,HEALTHY
CA-CA-00000246,MODERATE
CA-CA-00000247,HEALTHY
CA-WA-00000248,HEALTHY
CA-FL-00000249,HEALTHY
CA-TX-00000250,MODERATE
CA-FL-00000251,HEALTHY
CA-TX-00000252,STRESSED
CA-FL-00000253,STRESSED
CA-AZ-00000254,HEALTHY
CA-CA-00000255,MODERATE
CA-FL-00000256,MODERATE
CA-VA-00000257,HEALTHY
CA-NY-00000258,HEALTHY
CA-TX-00000259,HEALTHY
CA-OH-00000260,HEALTHY
CA-IL-00000261,MODERATE
CA-VA-00000262,HEALTHY
CA-NC-00000263,HEALTHY
CA-CA-00000264,STRESSED
CA-FL-00000265,STRESSED
CA-WA-00000266,HEALTHY
CA-NV-00000267,MODERATE
CA-CA-00000268,STRESSED
CA-TX-00000269,HEALTHY
CA-GA-00000270,MODERATE
CA-CO-00000271,HEALTHY
CA-FL-00000272,STRESSED
CA-AZ-00000273,MODERATE
CA-NV-00000274,STRESSED
CA-GA-00000275,HEALTHY
CA-AZ-00000276,HEALTHY
CA-CA-00000277,HEALTHY
CA-VA-00000278,HEALTHY
CA-NC-00000279,HEALTHY
CA-TX-00000280,HEALTHY
CA-OH-00000281,HEALTHY
CA-CO-00000282,STRESSED
CA-CO-00000283,STRESSED
CA-CA-00000284,HEALTHY
CA-NY-00000285,STRESSED
CA-TX-00000286,HEALTHY
CA-IL-00000287,HEALTHY
CA-IL-00000288,HEALTHY
CA-VA-00000289,STRESSED
CA-FL-00000290,MODERATE
CA-VA-00000291,STRESSED
CA-FL-00000292,MODERATE
CA-FL-00000293,MODERATE
CA-AZ-00000294,HEALTHY
CA-FL-00000295,STRESSED
CA-FL-00000296,HEALTHY
CA-FL-00000297,MODERATE
CA-TX-00000298,HEALTHY
CA-TX-00000299,HEALTHY
CA-IL-00000300,MODERATE
