unit_id,caid,unit_number,unit_type,square_footage,bedrooms,occupancy_status,parcel_id
U-J16DVTJA0ASS,CA-NV-00000001,157,SINGLE_FAMILY,1491.0,3,OWNER_OCCUPIED,29-7980-767
U-JTUW9OHTUGUR,CA-NV-00000001,158,TOWNHOME,3016.0,2,RENTED,94-2951-865
U-QZFHOMTZZF8A,CA-NV-00000001,159,SINGLE_FAMILY,1245.0,3,OWNER_OCCUPIED,43-4633-479
U-V07OXK8C1GRA,CA-TX-00000002,100,SINGLE_FAMILY,2772.0,2,OWNER_OCCUPIED,76-4795-729
U-YMX9DJOYOHAZ,CA-TX-00000002,101,SINGLE_FAMILY,2901.0,2,RENTED,54-6693-935
U-I8QOAGSUSMES,CA-TX-00000002,102,TOWNHOME,2853.0,4,OWNER_OCCUPIED,58-8923-888
U-18QQVAECW9YI,CA-TX-00000002,103,SINGLE_FAMILY,2096.0,3,OWNER_OCCUPIED,41-5706-195
U-Y3C7RM6J8Y6R,CA-TX-00000002,104,TOWNHOME,1641.0,4,OWNER_OCCUPIED,41-6833-259
U-EC8RA484NL65,CA-TX-00000002,105,SINGLE_FAMILY,1775.0,3,VACANT,45-7518-327
U-B2RTSOYG9ZQY,CA-TX-00000002,106,SINGLE_FAMILY,,2,OWNER_OCCUPIED,88-5254-291
U-IQWNRHZN4KGE,CA-TX-00000002,107,TOWNHOME,1586.0,4,RENTED,81-8081-976
U-H20RAPE6WTLR,CA-TX-00000002,108,TOWNHOME,2975.0,1,OWNER_OCCUPIED,37-5166-587
U-QMMU7JAE58HU,CA-TX-00000002,109,SINGLE_FAMILY,1364.0,5,OWNER_OCCUPIED,75-8987-893
U-6NKWFG3MWU4C,CA-TX-00000002,110,TOWNHOME,1584.0,2,RENTED,87-7479-377
U-270SQG4EIJ00,CA-TX-00000002,111,TOWNHOME,2276.0,2,OWNER_OCCUPIED,80-1881-126
U-S9DWD7OI0PES,CA-TX-00000002,112,TOWNHOME,793.0,3,RENTED,70-8654-991
U-TE8TVQ05PXT6,CA-TX-00000002,113,TOWNHOME,1580.0,4,OWNER_OCCUPIED,43-3551-410
U-A34MQA78RAPK,CA-TX-00000002,114,SINGLE_FAMILY,679.0,3,OWNER_OCCUPIED,65-7467-355
U-ZX3HCWS2WYJX,CA-TX-00000002,115,SINGLE_FAMILY,1751.0,2,RENTED,47-2808-752
U-WJWGABTGDJZ0,CA-TX-00000002,116,TOWNHOME,1267.0,1,OWNER_OCCUPIED,73-7084-574
U-L48C1CQG433E,CA-TX-00000002,117,SINGLE_FAMILY,1669.0,2,VACANT,14-4263-571
U-S9RYLLWB7SJW,CA-TX-00000002,118,SINGLE_FAMILY,863.0,4,OWNER_OCCUPIED,91-8113-432
U-GJE2AB2RVNDF,CA-TX-00000002,119,SINGLE_FAMILY,3183.0,2,VACANT,17-1979-464
U-Z2EI9212PGYM,CA-TX-00000002,120,SINGLE_FAMILY,811.0,3,OWNER_OCCUPIED,99-9029-294
U-TLQ5V4FTQ3TQ,CA-TX-00000002,121,SINGLE_FAMILY,2722.0,2,OWNER_OCCUPIED,
U-1IZXTNSRTWLX,CA-TX-00000002,122,TOWNHOME,2793.0,3,OWNER_OCCUPIED,32-1512-306
U-RDU4XSZJNVC7,CA-TX-00000002,123,SINGLE_FAMILY,2662.0,4,RENTED,91-1994-469
U-32CWT04CHSDI,CA-TX-00000002,124,TOWNHOME,1441.0,3,OWNER_OCCUPIED,32-7802-864
U-1UYZPD2TSXTV,CA-TX-00000002,125,SINGLE_FAMILY,1940.0,3,VACANT,62-8054-945
U-VUH17J8QO09V,CA-TX-00000002,126,TOWNHOME,1886.0,1,VACANT,50-1355-890
U-7SUUDQFJ6IJK,CA-TX-00000002,127,TOWNHOME,2980.0,4,RENTED,71-3832-599
U-VK0UCC1M3O55,CA-TX-00000002,128,SINGLE_FAMILY,3117.0,4,OWNER_OCCUPIED,16-5993-636
U-LULZFY981UDP,CA-TX-00000002,129,SINGLE_FAMILY,1256.0,2,OWNER_OCCUPIED,16-9980-508
U-DS1EEURXHW0I,CA-TX-00000002,130,TOWNHOME,,3,OWNER_OCCUPIED,21-2843-787
U-PMLVAK9W9PFB,CA-TX-00000002,131,TOWNHOME,1467.0,3,OWNER_OCCUPIED,20-2841-857
U-IWF3KM2KQL0H,CA-TX-00000002,132,SINGLE_FAMILY,1709.0,3,OWNER_OCCUPIED,98-1301-485
U-JCHZJQ8CXX6M,CA-TX-00000002,133,SINGLE_FAMILY,1848.0,4,OWNER_OCCUPIED,58-9331-826
U-6RVDH8UZB7KR,CA-TX-00000002,134,SINGLE_FAMILY,725.0,2,OWNER_OCCUPIED,40-9212-382
U-W563BTKF6XDN,CA-TX-00000002,135,SINGLE_FAMILY,3158.0,4,RENTED,83-3502-536
U-6LTHET25LZSE,CA-TX-00000002,136,TOWNHOME,1244.0,3,OWNER_OCCUPIED,18-9732-836
U-G4FBL98K03W0,CA-TX-00000002,137,SINGLE_FAMILY,1419.0,2,OWNER_OCCUPIED,88-5372-720
U-VIAC2E4QXGNR,CA-TX-00000002,138,SINGLE_FAMILY,1576.0,1,RENTED,
U-8IYHHG8PWY55,CA-TX-00000002,139,TOWNHOME,821.0,3,RENTED,60-9784-637
U-SQ3B9SO0USWB,CA-TX-00000003,100,SINGLE_FAMILY,2280.0,4,RENTED,31-7921-401
U-Y6QXDSGV6TOL,CA-TX-00000003,101,SINGLE_FAMILY,,3,RENTED,68-2477-356
U-Y62ZEEQNSN2S,CA-TX-00000003,102,TOWNHOME,2201.0,3,OWNER_OCCUPIED,52-3459-266
U-GZPL1QWEEHWJ,CA-TX-00000003,103,SINGLE_FAMILY,2692.0,3,OWNER_OCCUPIED,40-4553-702
U-QPVA5KW3HGBM,CA-TX-00000003,104,TOWNHOME,782.0,3,RENTED,21-1803-211
U-9FKXZUU80MB1,CA-TX-00000003,105,TOWNHOME,2202.0,4,RENTED,18-5797-582
U-E4LOHHCU9TD0,CA-TX-00000003,106,SINGLE_FAMILY,1826.0,2,RENTED,83-6797-232
U-SWRGVZ9AAWE4,CA-TX-00000003,107,TOWNHOME,2348.0,2,OWNER_OCCUPIED,91-4478-111
U-YJCKT1ELOU83,CA-TX-00000003,108,SINGLE_FAMILY,2034.0,4,OWNER_OCCUPIED,14-3224-593
U-W6TM2O04K0LT,CA-TX-00000003,109,SINGLE_FAMILY,2008.0,3,RENTED,29-5595-960
U-MNTFVGE2L4ZJ,CA-TX-00000003,110,SINGLE_FAMILY,1623.0,2,RENTED,77-5953-279
U-NBHDS26FMR5L,CA-TX-00000003,111,SINGLE_FAMILY,1052.0,4,VACANT,26-4361-841
U-QZSA7YVDQBSX,CA-TX-00000003,112,SINGLE_FAMILY,3015.0,3,OWNER_OCCUPIED,35-4154-393
U-T1YJFE8UDTTJ,CA-TX-00000003,113,TOWNHOME,1810.0,3,OWNER_OCCUPIED,53-9856-554
U-EQYDBPGVV4ZW,CA-TX-00000003,114,SINGLE_FAMILY,1461.0,3,RENTED,69-3159-195
U-DLX1Q8F6JNG7,CA-TX-00000003,115,TOWNHOME,1980.0,3,OWNER_OCCUPIED,54-8842-572
U-KMUSOZDUCKQV,CA-TX-00000003,116,SINGLE_FAMILY,1648.0,3,VACANT,53-4411-933
U-2P2TIXC7URVQ,CA-TX-00000003,117,TOWNHOME,2473.0,2,VACANT,23-7208-435
U-XCHFU131XQKW,CA-TX-00000003,118,TOWNHOME,1492.0,3,OWNER_OCCUPIED,96-5989-545
U-9UWS44C68AU9,CA-TX-00000003,119,TOWNHOME,1805.0,4,OWNER_OCCUPIED,60-6212-828
U-OPHGFT4MPK5E,CA-TX-00000003,120,TOWNHOME,,3,OWNER_OCCUPIED,94-8155-239
U-E346Z7WQP3NI,CA-TX-00000003,121,SINGLE_FAMILY,680.0,3,RENTED,74-5411-520
U-BBRNU8C0S41K,CA-TX-00000003,122,TOWNHOME,2793.0,4,OWNER_OCCUPIED,94-2279-800
U-W6TAQ6ULM9KG,CA-TX-00000003,123,TOWNHOME,3097.0,3,RENTED,17-8752-692
U-UXK0AREC2JWJ,CA-TX-00000003,124,SINGLE_FAMILY,1106.0,3,RENTED,94-8317-478
U-JZR25MDF7FR9,CA-TX-00000003,125,SINGLE_FAMILY,1624.0,3,RENTED,83-6653-155
U-1EGOK01TNZRF,CA-TX-00000003,126,TOWNHOME,698.0,2,RENTED,50-9687-799
U-DTM4VXJJ2JVQ,CA-TX-00000003,127,SINGLE_FAMILY,1640.0,3,OWNER_OCCUPIED,53-3947-420
U-Y3ADDQHKGAD7,CA-TX-00000003,128,SINGLE_FAMILY,1538.0,5,OWNER_OCCUPIED,25-2415-976
U-N1X2GDGKXCQ9,CA-TX-00000003,129,SINGLE_FAMILY,1974.0,2,RENTED,17-7271-497
U-9J3GC9HOXDTP,CA-TX-00000003,130,TOWNHOME,1085.0,4,RENTED,19-2153-685
U-1ARXABOFLOAZ,CA-TX-00000003,131,TOWNHOME,2608.0,2,RENTED,18-9849-331
U-NY2ET9MKB9XN,CA-TX-00000003,132,SINGLE_FAMILY,2042.0,1,OWNER_OCCUPIED,92-4327-280
U-8XKODYR5PGBA,CA-TX-00000003,133,SINGLE_FAMILY,1626.0,3,OWNER_OCCUPIED,49-9186-646
U-8AMMZOHXS75T,CA-TX-00000003,134,TOWNHOME,1604.0,4,OWNER_OCCUPIED,93-1312-582
U-IXAW63DW4C3E,CA-TX-00000003,135,SINGLE_FAMILY,3171.0,2,RENTED,96-7586-432
U-9UE421VMEFOZ,CA-TX-00000003,136,SINGLE_FAMILY,2446.0,2,OWNER_OCCUPIED,90-7162-896
U-ARAGDX5O31YH,CA-TX-00000003,137,SINGLE_FAMILY,2792.0,3,OWNER_OCCUPIED,98-1616-710
U-ZWD3KPUG99W5,CA-TX-00000003,138,SINGLE_FAMILY,2728.0,2,RENTED,45-1869-298
U-2Y8RGYBXKPM2,CA-TX-00000003,139,SINGLE_FAMILY,827.0,2,OWNER_OCCUPIED,30-1476-596
U-CIQUP06IDIIO,CA-TX-00000003,140,SINGLE_FAMILY,1553.0,1,OWNER_OCCUPIED,65-3374-321
U-GNQGMJMBUKDQ,CA-TX-00000003,141,TOWNHOME,2057.0,2,OWNER_OCCUPIED,91-3784-691
U-D4R9V4K00ILU,CA-TX-00000003,142,SINGLE_FAMILY,3073.0,4,RENTED,63-1724-141
U-0SPO3ZDRC1YO,CA-TX-00000003,143,TOWNHOME,2118.0,2,OWNER_OCCUPIED,71-5994-265
U-40AQ15O2NQW4,CA-TX-00000003,144,TOWNHOME,,4,OWNER_OCCUPIED,
U-1ZWUHYWM7S6N,CA-TX-00000003,145,TOWNHOME,,2,OWNER_OCCUPIED,56-3871-763
U-U1EMTX015Z11,CA-TX-00000003,146,SINGLE_FAMILY,1745.0,3,OWNER_OCCUPIED,57-6656-563
U-S3QT36QNYY95,CA-TX-00000003,147,TOWNHOME,2525.0,1,OWNER_OCCUPIED,19-2791-268
U-EFFH8AOY7RP0,CA-TX-00000003,148,TOWNHOME,,2,OWNER_OCCUPIED,76-6503-521
U-X2RXTTQU6L2I,CA-TX-00000003,149,TOWNHOME,1830.0,3,OWNER_OCCUPIED,68-3725-733
U-ZK94YXFIBLEJ,CA-TX-00000003,150,SINGLE_FAMILY,2953.0,3,RENTED,28-7109-559
U-TEA7187F8TSX,CA-TX-00000003,151,SINGLE_FAMILY,1837.0,5,RENTED,95-3409-918
U-MERBYEAWHMLV,CA-TX-00000003,152,TOWNHOME,2806.0,2,VACANT,12-2369-651
U-Y89ORVSCYOZP,CA-TX-00000003,153,TOWNHOME,699.0,2,OWNER_OCCUPIED,81-2435-320
U-0OPF060O4VFK,CA-TX-00000003,154,TOWNHOME,2801.0,5,OWNER_OCCUPIED,58-2449-106
U-WJGQU6H3KR3K,CA-TX-00000003,155,TOWNHOME,2673.0,3,OWNER_OCCUPIED,
U-FKXWEXKG6XB1,CA-TX-00000003,156,SINGLE_FAMILY,923.0,3,OWNER_OCCUPIED,65-5225-743
U-93N0AJUFQYMB,CA-TX-00000003,157,TOWNHOME,2108.0,1,OWNER_OCCUPIED,19-9419-298
U-1VGLL42JZNTM,CA-TX-00000003,158,SINGLE_FAMILY,1210.0,3,OWNER_OCCUPIED,53-3671-204
U-FHG6W3STT1EQ,CA-TX-00000003,159,SINGLE_FAMILY,,4,RENTED,49-6940-242
U-6V1MZB3I4FIE,CA-TX-00000004,100,TOWNHOME,971.0,2,RENTED,12-8934-875
U-BD2SCEJCY127,CA-TX-00000004,101,TOWNHOME,1469.0,2,OWNER_OCCUPIED,45-6698-460
U-42WSC31TZ8G1,CA-TX-00000004,102,SINGLE_FAMILY,,3,RENTED,70-7004-814
U-P8GMNHIE9EDE,CA-TX-00000004,103,SINGLE_FAMILY,1830.0,3,OWNER_OCCUPIED,24-7304-390
U-VL9PTK4GC4RY,CA-TX-00000004,104,TOWNHOME,2663.0,3,OWNER_OCCUPIED,96-2392-222
U-OZ906GNHH4OI,CA-TX-00000004,105,SINGLE_FAMILY,2694.0,2,RENTED,44-7557-464
U-Y89SFQERI7B0,CA-TX-00000004,106,TOWNHOME,2690.0,3,VACANT,96-6356-256
U-WDC112HXRJM4,CA-TX-00000004,107,TOWNHOME,779.0,5,RENTED,67-6153-973
U-PBGX25FPLO1U,CA-TX-00000004,108,TOWNHOME,2918.0,3,OWNER_OCCUPIED,30-9301-157
U-JVNY1KCVEN3V,CA-TX-00000004,109,TOWNHOME,2047.0,2,OWNER_OCCUPIED,62-6755-157
U-IXV6CKMALQ5U,CA-TX-00000004,110,SINGLE_FAMILY,1742.0,1,OWNER_OCCUPIED,
U-NOU3DYMS1MWN,CA-TX-00000004,111,TOWNHOME,2685.0,3,VACANT,78-4507-394
U-B9OI0D4DMC2R,CA-TX-00000004,112,TOWNHOME,964.0,3,OWNER_OCCUPIED,65-9846-420
U-OJSYT5WSGRX3,CA-TX-00000004,113,SINGLE_FAMILY,1747.0,4,OWNER_OCCUPIED,65-1981-634
U-NFFYKPL3CHO3,CA-TX-00000004,114,SINGLE_FAMILY,1700.0,3,OWNER_OCCUPIED,29-4144-128
U-2LR9P6HJB2JT,CA-TX-00000004,115,SINGLE_FAMILY,822.0,5,OWNER_OCCUPIED,
U-LKC86Y5O44IU,CA-TX-00000004,116,SINGLE_FAMILY,1144.0,3,RENTED,77-5125-608
U-IE3LVO0IPFG8,CA-TX-00000004,117,SINGLE_FAMILY,1691.0,4,OWNER_OCCUPIED,99-2850-424
U-RIJ2FRNLX6B0,CA-TX-00000004,118,TOWNHOME,873.0,3,RENTED,80-7302-416
U-6YTIPA877K71,CA-TX-00000004,119,TOWNHOME,1306.0,4,OWNER_OCCUPIED,92-7656-908
U-JC2R07LP7DFJ,CA-TX-00000004,120,SINGLE_FAMILY,,2,RENTED,51-8426-811
U-1XGPXAHKUDIZ,CA-TX-00000004,121,SINGLE_FAMILY,1182.0,4,RENTED,50-8397-589
U-JY32HOG585I8,CA-TX-00000004,122,SINGLE_FAMILY,3156.0,3,RENTED,35-5289-818
U-BWVF8GUAS173,CA-TX-00000004,123,SINGLE_FAMILY,1569.0,3,OWNER_OCCUPIED,44-5717-864
U-NPHH30GG2B9I,CA-TX-00000004,124,TOWNHOME,1667.0,2,RENTED,11-8682-236
U-9OHNPVCUB7QM,CA-TX-00000004,125,TOWNHOME,3100.0,3,RENTED,
U-KON8UUJS75EL,CA-TX-00000004,126,TOWNHOME,1230.0,2,OWNER_OCCUPIED,73-5603-865
U-7K5W1JL6L91F,CA-TX-00000004,127,TOWNHOME,2452.0,1,OWNER_OCCUPIED,14-8704-366
U-ZP97BMZRR45E,CA-TX-00000004,128,SINGLE_FAMILY,1813.0,2,OWNER_OCCUPIED,44-4479-697
U-SUOC1Y5AYYOV,CA-TX-00000004,129,SINGLE_FAMILY,1975.0,2,OWNER_OCCUPIED,94-8861-564
U-VA8X8L008UHB,CA-TX-00000004,130,TOWNHOME,1973.0,3,RENTED,87-7248-194
U-JI1OAHNOX8FK,CA-TX-00000004,131,TOWNHOME,1920.0,4,OWNER_OCCUPIED,22-7020-624
U-R5RUP13WPPBM,CA-TX-00000004,132,SINGLE_FAMILY,1568.0,3,RENTED,77-9596-185
U-QC2K9YKIPUT7,CA-TX-00000004,133,TOWNHOME,2741.0,2,OWNER_OCCUPIED,82-5151-463
U-V1A0Q24BOZL0,CA-TX-00000004,134,TOWNHOME,2492.0,3,OWNER_OCCUPIED,33-4458-289
U-0V5DTAEGRY58,CA-TX-00000004,135,SINGLE_FAMILY,2643.0,2,RENTED,98-7471-923
U-DEG3ZGARFI44,CA-TX-00000004,136,TOWNHOME,1002.0,2,OWNER_OCCUPIED,12-2908-270
U-0QRAQIK3OMD4,CA-TX-00000004,137,SINGLE_FAMILY,2352.0,4,RENTED,80-5764-137
U-OS0765ICAUTJ,CA-TX-00000004,138,TOWNHOME,2588.0,2,OWNER_OCCUPIED,67-8147-121
U-KGMIH6MV4XEK,CA-TX-00000004,139,SINGLE_FAMILY,2357.0,4,RENTED,70-3654-736
U-K0YEHVDO9KHB,CA-TX-00000004,140,SINGLE_FAMILY,,4,OWNER_OCCUPIED,74-1523-926
U-MEIUR9211U64,CA-TX-00000004,141,SINGLE_FAMILY,3125.0,3,RENTED,66-8489-961
U-92V4DUSGEHN0,CA-TX-00000004,142,SINGLE_FAMILY,2722.0,3,RENTED,56-6482-938
U-EH81A4RKGJZO,CA-TX-00000004,143,SINGLE_FAMILY,1655.0,2,RENTED,39-3260-921
U-OOQ42NBFA37D,CA-TX-00000004,144,TOWNHOME,1323.0,2,OWNER_OCCUPIED,
U-6CWZXSKOYTK0,CA-TX-00000004,145,SINGLE_FAMILY,682.0,4,RENTED,28-7618-556
U-5WWPM3X15DTO,CA-TX-00000004,146,SINGLE_FAMILY,1166.0,3,OWNER_OCCUPIED,75-6115-633
U-1FB2VI109DCN,CA-TX-00000004,147,TOWNHOME,2101.0,2,RENTED,67-5881-686
U-Q929U6WTVMK2,CA-TX-00000004,148,SINGLE_FAMILY,1223.0,3,OWNER_OCCUPIED,51-9461-696
U-3NDZ3CC5RQNS,CA-TX-00000004,149,SINGLE_FAMILY,2775.0,3,RENTED,91-7937-550
U-0PFSRQ8STZQB,CA-TX-00000004,150,TOWNHOME,2939.0,2,VACANT,62-2807-223
U-UBFN9KR2FVB6,CA-TX-00000004,151,TOWNHOME,1533.0,2,RENTED,
U-CBRLQMN44EEW,CA-TX-00000004,152,TOWNHOME,2489.0,2,RENTED,89-7711-496
U-6MBYPJDFAW1L,CA-TX-00000004,153,SINGLE_FAMILY,2941.0,1,VACANT,16-9548-293
U-SAXT8JH34UDT,CA-TX-00000004,154,TOWNHOME,3062.0,1,RENTED,
U-GATND9TKG1F8,CA-TX-00000004,155,TOWNHOME,891.0,3,OWNER_OCCUPIED,
U-KDF6J76BIVIS,CA-TX-00000004,156,SINGLE_FAMILY,1121.0,2,OWNER_OCCUPIED,18-8932-129
U-W6ATVD1XEUQ4,CA-TX-00000004,157,TOWNHOME,1233.0,2,VACANT,78-7942-668
U-B38WXGC7JJY9,CA-TX-00000004,158,TOWNHOME,1521.0,3,OWNER_OCCUPIED,78-2145-407
U-OEFUKPV8LYMJ,CA-TX-00000004,159,SINGLE_FAMILY,2504.0,2,RENTED,36-8533-713
U-L6E7VAAGUZRO,CA-CA-00000005,6B,CONDO_UNIT,2473.0,3,OWNER_OCCUPIED,86-6864-496
U-G1ZAQ7QHAK7M,CA-CA-00000005,6E,CONDO_UNIT,1555.0,2,OWNER_OCCUPIED,45-9074-820
U-ZHH3O5URTXUY,CA-CA-00000005,37C,CONDO_UNIT,,2,OWNER_OCCUPIED,82-4734-635
U-0J4A8YWY5APY,CA-CA-00000005,4F,CONDO_UNIT,2316.0,2,RENTED,56-9474-877
U-BZB7TLOM539I,CA-CA-00000005,28B,CONDO_UNIT,1456.0,2,OWNER_OCCUPIED,22-1456-591
U-PA274IR833SI,CA-CA-00000005,5H,CONDO_UNIT,2478.0,3,OWNER_OCCUPIED,14-7183-420
U-6Y2C2BVPDCB4,CA-CA-00000005,26B,CONDO_UNIT,2333.0,2,OWNER_OCCUPIED,11-8428-493
U-QPWDXYASVDAZ,CA-CA-00000005,38D,CONDO_UNIT,1166.0,3,OWNER_OCCUPIED,89-8284-290
U-I2CLP81L51FL,CA-CA-00000005,22E,CONDO_UNIT,683.0,3,RENTED,40-9308-938
U-44PHH62MYZ9V,CA-CA-00000005,22F,CONDO_UNIT,2364.0,2,OWNER_OCCUPIED,15-9125-324
U-7WYQHR133NO3,CA-CA-00000005,1F,CONDO_UNIT,,2,OWNER_OCCUPIED,66-4185-746
U-V1BBHG5ZMTGA,CA-CA-00000005,17B,CONDO_UNIT,,3,OWNER_OCCUPIED,24-6544-315
U-KI3X79955CF7,CA-CA-00000005,13D,CONDO_UNIT,2182.0,2,OWNER_OCCUPIED,15-4098-974
