fee_schedule_id,caid,effective_date,expiration_date,monthly_assessment,frequency,late_fee_amount,late_fee_threshold_days
FS-MAEEWBE06L3U,CA-FL-00000073,2024-01-01,,415.6,MONTHLY,25,15
FS-UPC85EDIEKOP,CA-FL-00000074,2024-01-01,,747.67,MONTHLY,25,15
FS-4XY6ZNKM6LNU,CA-CA-00000075,2024-01-01,,478.79,MONTHLY,25,15
FS-8DOO2EBCJT7D,CA-AZ-00000076,2024-01-01,,215.94,MONTHLY,25,15
FS-H6GY9T3G47OG,CA-CA-00000077,2024-01-01,,732.02,MONTHLY,25,15
FS-W9MNTBTDRVDX,CA-CA-00000078,2024-01-01,,301.5,MONTHLY,25,15
FS-PK6VHM016DYD,CA-FL-00000079,2024-01-01,,482.08,MONTHLY,25,15
FS-16BBMM7ZYN02,CA-TX-00000080,2024-01-01,,429.51,MONTHLY,25,15
FS-KLTA0D875PO5,CA-PA-00000081,2024-01-01,,161.22,MONTHLY,25,15
FS-V7LZWYX151H1,CA-NY-00000082,2024-01-01,,302.08,MONTHLY,25,15
FS-Z54G2Q0HGEAW,CA-CA-00000083,2024-01-01,,192.7,MONTHLY,25,15
FS-CO2KBO7Z0K77,CA-AZ-00000084,2024-01-01,,237.68,MONTHLY,25,15
FS-A53TERWRV8ST,CA-WA-00000085,2024-01-01,,216.68,MONTHLY,25,15
FS-LYO1PHSIXT4M,CA-FL-00000086,2024-01-01,,399.55,MONTHLY,25,15
FS-UYI3LOEG94ER,CA-WA-00000087,2024-01-01,,424.43,MONTHLY,25,15
FS-FXCIF6YBK9FB,CA-VA-00000088,2024-01-01,,912.71,MONTHLY,25,15
FS-P0QHC0L2D4HO,CA-OH-00000089,2024-01-01,,746.08,MONTHLY,25,15
FS-PIP4AXB3AJAV,CA-TX-00000090,2024-01-01,,233.08,MONTHLY,25,15
FS-EJY0ZD6UDKNE,CA-NC-00000091,2024-01-01,,204.14,MONTHLY,25,15
FS-MNJNLTI7P0NZ,CA-NC-00000092,2024-01-01,,329.27,MONTHLY,25,15
FS-2VVKO1X42ZD7,CA-FL-00000093,2024-01-01,,166.18,MONTHLY,25,15
FS-GMJX9S3K2J8L,CA-TX-00000094,2024-01-01,,449.83,MONTHLY,25,15
FS-Z7ULVOKEHZAQ,CA-NY-00000095,2024-01-01,,391.15,MONTHLY,25,15
FS-5MWPES0CJ14Z,CA-NV-00000096,2024-01-01,,242.77,MONTHLY,25,15
FS-53FJRH4JXHQ3,CA-CA-00000097,2024-01-01,,266.64,MONTHLY,25,15
FS-58P011K1WVVK,CA-WA-00000098,2024-01-01,,818.7,MONTHLY,25,15
FS-J2X1N61IHXL1,CA-FL-00000099,2024-01-01,,274.69,MONTHLY,25,15
FS-NM0WE3E9SH14,CA-FL-00000100,2024-01-01,,306.65,MONTHLY,25,15
FS-TNE58VQVAVBP,CA-TX-00000101,2024-01-01,,141.5,MONTHLY,25,15
FS-M0FBZN9K7PP2,CA-TX-00000102,2024-01-01,,467.11,MONTHLY,25,15
FS-9RDAJDDMVCO0,CA-TX-00000103,2024-01-01,,380.68,MONTHLY,25,15
FS-OXZQCFP693PL,CA-CO-00000104,2024-01-01,,583.46,MONTHLY,25,15
FS-TBH4JOUK9S44,CA-NV-00000105,2024-01-01,,493.99,MONTHLY,25,15
FS-5GPKBVOE04Z6,CA-NY-00000106,2024-01-01,,341.06,MONTHLY,25,15
FS-O1QR34A9SIM4,CA-CA-00000107,2024-01-01,,188.91,MONTHLY,25,15
FS-BBTPGWWJXL11,CA-FL-00000108,2024-01-01,,272.19,MONTHLY,25,15
FS-2CJAFCO8XF1C,CA-AZ-00000109,2024-01-01,,228.42,MONTHLY,25,15
FS-L2E2GISK4TLN,CA-NC-00000110,2024-01-01,,331.3,MONTHLY,25,15
FS-MQDZCEP2EVRE,CA-NV-00000111,2024-01-01,,349.05,MONTHLY,25,15
FS-ZAYUNWC5A44U,CA-NC-00000112,2024-01-01,,372.56,MONTHLY,25,15
FS-MGF9M4O5B8W3,CA-FL-00000113,2024-01-01,,146.93,MONTHLY,25,15
FS-ZHZ7X7Q69D9M,CA-TX-00000114,2024-01-01,,804.98,MONTHLY,25,15
FS-WNOZE3IQJ75A,CA-WA-00000115,2024-01-01,,243.26,MONTHLY,25,15
FS-OJ7B2FE0SZM7,CA-NC-00000116,2024-01-01,,217.64,MONTHLY,25,15
FS-V037YY7VMYBM,CA-CO-00000117,2024-01-01,,854.21,MONTHLY,25,15
FS-VGJHPUIDXDX3,CA-GA-00000118,2024-01-01,,295.41,MONTHLY,25,15
FS-6AJ6Z93VQNRY,CA-TX-00000119,2024-01-01,,787.27,MONTHLY,25,15
FS-L9EMBA1OGCXH,CA-CA-00000120,2024-01-01,,587.15,MONTHLY,25,15
FS-N8PZ5IZWLNTM,CA-NC-00000121,2024-01-01,,945.93,MONTHLY,25,15
FS-U2NO3LMNJNFG,CA-IL-00000122,2024-01-01,,890.96,MONTHLY,25,15
FS-3CEAA5MV4RYA,CA-NY-00000123,2024-01-01,,530.19,MONTHLY,25,15
FS-P1K20CMCM6QC,CA-VA-00000124,2024-01-01,,372.44,MONTHLY,25,15
FS-M8RMUILSBIJG,CA-TX-00000125,2024-01-01,,343.08,MONTHLY,25,15
FS-30K61OVGW1DG,CA-IL-00000126,2024-01-01,,408.18,MONTHLY,25,15
FS-Q5G7MMOG5TXQ,CA-FL-00000127,2024-01-01,,198.16,MONTHLY,25,15
FS-HU1JPU3FJFCW,CA-IL-00000128,2024-01-01,,346.74,MONTHLY,25,15
FS-BK0OS3SX8XZD,CA-NV-00000129,2024-01-01,,765.52,MONTHLY,25,15
FS-3STHR6SAKSLG,CA-NV-00000130,2024-01-01,,151.36,MONTHLY,25,15
FS-XEFR69Q0JRGS,CA-FL-00000131,2024-01-01,,362.01,MONTHLY,25,15
FS-U6LEKNFHREVB,CA-VA-00000132,2024-01-01,,114.9,MONTHLY,25,15
FS-WJIVSDP2TUO2,CA-IL-00000133,2024-01-01,,526.51,MONTHLY,25,15
FS-GD51TQNNHQJY,CA-GA-00000134,2024-01-01,,349.58,MONTHLY,25,15
FS-YHBMYJCTJVFP,CA-IL-00000135,2024-01-01,,845.42,MONTHLY,25,15
FS-S73CE2BI6G5O,CA-FL-00000136,2024-01-01,,291.67,MONTHLY,25,15
FS-7KY8E4REQCQF,CA-CA-00000137,2024-01-01,,868.15,MONTHLY,25,15
FS-EGMCWPI4EILN,CA-FL-00000138,2024-01-01,,160.79,MONTHLY,25,15
FS-NAB977PS21XO,CA-OH-00000139,2024-01-01,,268.39,MONTHLY,25,15
FS-HFSMAN30UKQE,CA-MA-00000140,2024-01-01,,372.78,MONTHLY,25,15
FS-AUOVOFBLDWXI,CA-WA-00000141,2024-01-01,,319.57,MONTHLY,25,15
FS-14JGYRFAISAG,CA-IL-00000142,2024-01-01,,282.06,MONTHLY,25,15
FS-P3Z1FZS8NRMC,CA-TX-00000143,2024-01-01,,98.93,MONTHLY,25,15
FS-RS3T6ARCZCSD,CA-FL-00000144,2024-01-01,,276.98,MONTHLY,25,15
FS-13S6OJS7K3Q7,CA-CA-00000145,2024-01-01,,167.6,MONTHLY,25,15
FS-X43L8HCQQ5PS,CA-TX-00000146,2024-01-01,,695.54,MONTHLY,25,15
FS-N0Y3R4POLHPO,CA-TX-00000147,2024-01-01,,640.99,MONTHLY,25,15
FS-ASTX0CRI8E3O,CA-AZ-00000148,2024-01-01,,257.82,MONTHLY,25,15
FS-2411N0OK5Y03,CA-IL-00000149,2024-01-01,,238.75,MONTHLY,25,15
FS-J1NXMHNV25RE,CA-GA-00000150,2024-01-01,,384.34,MONTHLY,25,15
FS-41FL5C7U676R,CA-CA-00000151,2024-01-01,,279.36,MONTHLY,25,15
FS-OBH6OR0L07SL,CA-FL-00000152,2024-01-01,,746.93,MONTHLY,25,15
FS-K6RGR2SCNXSF,CA-TX-00000153,2024-01-01,,251.86,MONTHLY,25,15
FS-HFVWFA1BYQOL,CA-TX-00000154,2024-01-01,,330.36,MONTHLY,25,15
FS-1A5HZG4ZML8U,CA-NV-00000155,2024-01-01,,237.28,MONTHLY,25,15
FS-UEFVOELU1SP1,CA-NV-00000156,2024-01-01,,432.28,MONTHLY,25,15
FS-Q0YXI6KYAUW9,CA-IL-00000157,2024-01-01,,275.37,MONTHLY,25,15
FS-Y0HEIZLPDVOT,CA-TX-00000158,2024-01-01,,388.66,MONTHLY,25,15
FS-3MJS53DRX3RD,CA-AZ-00000159,2024-01-01,,181.24,MONTHLY,25,15
FS-GFU3RAFII2RS,CA-FL-00000160,2024-01-01,,177.19,MONTHLY,25,15
FS-6VP9TU0MR5I0,CA-GA-00000161,2024-01-01,,461.83,MONTHLY,25,15
FS-Q4L9TGFF3O99,CA-PA-00000162,2024-01-01,,581.35,MONTHLY,25,15
FS-00C73R0JMEJC,CA-FL-00000163,2024-01-01,,222.02,MONTHLY,25,15
FS-HJ5RYDJKZ2C6,CA-NV-00000164,2024-01-01,,304.26,MONTHLY,25,15
FS-SMIEX1Z6D1HC,CA-TX-00000165,2024-01-01,,212.14,MONTHLY,25,15
FS-3ESEZ0C3TJJZ,CA-CO-00000166,2024-01-01,,535.23,MONTHLY,25,15
FS-U41CDZ885LDJ,CA-FL-00000167,2024-01-01,,685.55,MONTHLY,25,15
FS-PYGZKDIJKT3N,CA-IL-00000168,2024-01-01,,353.18,MONTHLY,25,15
FS-RZJT65WNBSBG,CA-MA-00000169,2024-01-01,,237.25,MONTHLY,25,15
FS-V8PN0SW4H198,CA-AZ-00000170,2024-01-01,,233.18,MONTHLY,25,15
FS-A5K6KDJED9KV,CA-IL-00000171,2024-01-01,,260.25,MONTHLY,25,15
FS-MPMY9R17YEH0,CA-MA-00000172,2024-01-01,,70.0,MONTHLY,25,15
FS-PBF8B61M03ZD,CA-PA-00000173,2024-01-01,,148.63,MONTHLY,25,15
FS-VPB9A59CHU6N,CA-TX-00000174,2024-01-01,,408.02,MONTHLY,25,15
FS-JD7ZAH31VH3L,CA-IL-00000175,2024-01-01,,433.05,MONTHLY,25,15
FS-JXNEW8WUZ97W,CA-CA-00000176,2024-01-01,,347.63,MONTHLY,25,15
FS-2IKAQH0VV16T,CA-NV-00000177,2024-01-01,,336.89,MONTHLY,25,15
FS-VTKD83RB8OH2,CA-CO-00000178,2024-01-01,,313.01,MONTHLY,25,15
FS-17261EBBL3W1,CA-NY-00000179,2024-01-01,,562.1,MONTHLY,25,15
FS-QV5AAKVAU76V,CA-CA-00000180,2024-01-01,,298.37,MONTHLY,25,15
FS-93NYPM3RGLHC,CA-GA-00000181,2024-01-01,,273.49,MONTHLY,25,15
FS-E1G1GWUWM07Z,CA-MA-00000182,2024-01-01,,199.0,MONTHLY,25,15
FS-QFTCZHMNI28M,CA-VA-00000183,2024-01-01,,140.42,MONTHLY,25,15
FS-AK3SIWBFJAXQ,CA-TX-00000184,2024-01-01,,611.62,MONTHLY,25,15
FS-FV1QYVY70HJQ,CA-CA-00000185,2024-01-01,,281.67,MONTHLY,25,15
FS-OFR9RGEWB126,CA-CA-00000186,2024-01-01,,157.0,MONTHLY,25,15
FS-R7PGZ1F2BFCB,CA-CA-00000187,2024-01-01,,458.62,MONTHLY,25,15
FS-NDDD1KJ3X8V7,CA-CA-00000188,2024-01-01,,187.66,MONTHLY,25,15
FS-9USTEH4KDYKJ,CA-TX-00000189,2024-01-01,,878.69,MONTHLY,25,15
FS-AAM0ZOCCMGP6,CA-FL-00000190,2024-01-01,,494.61,MONTHLY,25,15
FS-6N0L6S7R8A39,CA-WA-00000191,2024-01-01,,284.28,MONTHLY,25,15
FS-1Q66HR182JPV,CA-CA-00000192,2024-01-01,,841.39,MONTHLY,25,15
FS-4PAF6CRRNS73,CA-CA-00000193,2024-01-01,,588.93,MONTHLY,25,15
FS-S3AHR9FFN94W,CA-IL-00000194,2024-01-01,,207.48,MONTHLY,25,15
FS-VOGKE8U9KPR9,CA-AZ-00000195,2024-01-01,,326.62,MONTHLY,25,15
FS-2QN4JBYDFRFO,CA-NC-00000196,2024-01-01,,672.0,MONTHLY,25,15
FS-A6L1Y66NKFNF,CA-TX-00000197,2024-01-01,,191.65,MONTHLY,25,15
FS-00UYAG9ECZF7,CA-NY-00000198,2024-01-01,,540.74,MONTHLY,25,15
FS-DWZ84RCL0M8R,CA-FL-00000199,2024-01-01,,417.39,MONTHLY,25,15
FS-MPMVQNYXEFBQ,CA-CA-00000200,2024-01-01,,326.1,MONTHLY,25,15
FS-3569226MLOWW,CA-GA-00000201,2024-01-01,,741.71,MONTHLY,25,15
FS-QBSC4S28R8IX,CA-CA-00000202,2024-01-01,,456.85,MONTHLY,25,15
FS-8X5K7L9PKV8G,CA-OH-00000203,2024-01-01,,323.26,MONTHLY,25,15
FS-BXC1QQY9MR0R,CA-FL-00000204,2024-01-01,,453.19,MONTHLY,25,15
FS-85VG2W5TX28M,CA-VA-00000205,2024-01-01,,226.44,MONTHLY,25,15
FS-84V46KIPJRTC,CA-TX-00000206,2024-01-01,,487.32,MONTHLY,25,15
FS-4GCPEE5ZTWH1,CA-FL-00000207,2024-01-01,,231.68,MONTHLY,25,15
FS-OFK5MTP609I7,CA-CA-00000208,2024-01-01,,419.48,MONTHLY,25,15
FS-8856RMRTF4E0,CA-CA-00000209,2024-01-01,,583.73,MONTHLY,25,15
FS-UARGWZRF4AMV,CA-NC-00000210,2024-01-01,,425.43,MONTHLY,25,15
FS-6WJ1NMSJMYJ9,CA-CA-00000211,2024-01-01,,623.68,MONTHLY,25,15
FS-B96TCTO8Q8VL,CA-CA-00000212,2024-01-01,,280.48,MONTHLY,25,15
FS-I90L3BGMWWOA,CA-TX-00000213,2024-01-01,,531.99,MONTHLY,25,15
FS-W1HSNJQ48RGR,CA-WA-00000214,2024-01-01,,203.32,MONTHLY,25,15
FS-YQB3OJ8SZ41K,CA-VA-00000215,2024-01-01,,233.09,MONTHLY,25,15
FS-2JVSNOT8TPW6,CA-TX-00000216,2024-01-01,,272.88,MONTHLY,25,15
FS-ODEEFCQ6IFBB,CA-GA-00000217,2024-01-01,,330.08,MONTHLY,25,15
FS-E0PHES54L2XP,CA-CA-00000218,2024-01-01,,197.02,MONTHLY,25,15
FS-WL4M8KB62BQE,CA-FL-00000219,2024-01-01,,592.88,MONTHLY,25,15
FS-SAPM3XP7P9M9,CA-FL-00000220,2024-01-01,,352.62,MONTHLY,25,15
FS-7QVSRFI6306K,CA-NV-00000221,2024-01-01,,274.51,MONTHLY,25,15
FS-KNDHGCDT6M3I,CA-VA-00000222,2024-01-01,,333.9,MONTHLY,25,15
FS-7QRIYBTP2Y2O,CA-AZ-00000223,2024-01-01,,225.36,MONTHLY,25,15
FS-92O15C0ZY0ZT,CA-GA-00000224,2024-01-01,,454.18,MONTHLY,25,15
FS-814JR7V9ZT70,CA-GA-00000225,2024-01-01,,216.31,MONTHLY,25,15
FS-LET0UISM6FW1,CA-CO-00000226,2024-01-01,,122.56,MONTHLY,25,15
FS-WQKK6KOBBEL1,CA-CO-00000227,2024-01-01,,138.52,MONTHLY,25,15
FS-4PFA153II33U,CA-GA-00000228,2024-01-01,,583.66,MONTHLY,25,15
FS-IPDUTUGE6KG7,CA-TX-00000229,2024-01-01,,621.75,MONTHLY,25,15
FS-RCWKURZ88WPC,CA-CA-00000230,2024-01-01,,412.22,MONTHLY,25,15
FS-C4EPLEK54GSQ,CA-FL-00000231,2024-01-01,,342.47,MONTHLY,25,15
FS-2ZQJZEHJI515,CA-TX-00000232,2024-01-01,,135.46,MONTHLY,25,15
FS-1RE0W3N8AY59,CA-TX-00000233,2024-01-01,,279.05,MONTHLY,25,15
FS-DB0CP4A5HFDE,CA-AZ-00000234,2024-01-01,,357.02,MONTHLY,25,15
FS-TYPQRO15T589,CA-AZ-00000235,2024-01-01,,226.33,MONTHLY,25,15
FS-U3SXH15HMAHV,CA-CA-00000236,2024-01-01,,223.32,MONTHLY,25,15
FS-9ZUT5DQVUCFX,CA-CA-00000237,2024-01-01,,159.77,MONTHLY,25,15
FS-8VS32G0Q2E4A,CA-TX-00000238,2024-01-01,,505.78,MONTHLY,25,15
FS-S034QW87JJG8,CA-CA-00000239,2024-01-01,,756.13,MONTHLY,25,15
FS-R653K9RSI1U6,CA-CA-00000240,2024-01-01,,471.16,MONTHLY,25,15
FS-8POWUEMCU2XJ,CA-CO-00000241,2024-01-01,,278.5,MONTHLY,25,15
FS-PRKWKYZNUHH2,CA-IL-00000242,2024-01-01,,371.65,MONTHLY,25,15
FS-I5STNJHH2WTM,CA-FL-00000243,2024-01-01,,332.68,MONTHLY,25,15
FS-NVJGJ7WT4PC4,CA-IL-00000244,2024-01-01,,834.48,MONTHLY,25,15
FS-MU8E5CIHU5PV,CA-CA-00000245,2024-01-01,,80.0,MONTHLY,25,15
FS-3SW3N26YBTZ4,CA-CA-00000246,2024-01-01,,431.56,MONTHLY,25,15
FS-FDHKR876XBJ8,CA-CA-00000247,2024-01-01,,336.94,MONTHLY,25,15
FS-7MTCFVXSL5FT,CA-WA-00000248,2024-01-01,,266.73,MONTHLY,25,15
FS-KGADH26V6ENZ,CA-FL-00000249,2024-01-01,,318.4,MONTHLY,25,15
FS-3KUT7UBBS1ZS,CA-TX-00000250,2024-01-01,,230.64,MONTHLY,25,15
FS-8LN5U2KQA07Y,CA-FL-00000251,2024-01-01,,292.79,MONTHLY,25,15
FS-TH0GPAO9PVBU,CA-TX-00000252,2024-01-01,,270.99,MONTHLY,25,15
FS-BKTZWNZL2NHI,CA-FL-00000253,2024-01-01,,390.1,MONTHLY,25,15
FS-74WJE9ZZE6UU,CA-AZ-00000254,2024-01-01,,307.9,MONTHLY,25,15
FS-NFBFPB0Y0DUE,CA-CA-00000255,2024-01-01,,315.38,MONTHLY,25,15
FS-YVQEM9ES2ZTK,CA-FL-00000256,2024-01-01,,500.86,MONTHLY,25,15
FS-99H0F03HR9YS,CA-VA-00000257,2024-01-01,,487.23,MONTHLY,25,15
FS-C14DNA1C3CJM,CA-NY-00000258,2024-01-01,,497.14,MONTHLY,25,15
FS-X4RJNNW6SFPA,CA-TX-00000259,2024-01-01,,320.5,MONTHLY,25,15
FS-6N3CZ526GHUE,CA-OH-00000260,2024-01-01,,499.22,MONTHLY,25,15
FS-K7W0LSCT7E67,CA-IL-00000261,2024-01-01,,627.16,MONTHLY,25,15
FS-9N71C3FD6ZMU,CA-VA-00000262,2024-01-01,,948.57,MONTHLY,25,15
FS-4FGPIT9RGZHZ,CA-NC-00000263,2024-01-01,,280.98,MONTHLY,25,15
FS-D76TEAEU1FGP,CA-CA-00000264,2024-01-01,,516.32,MONTHLY,25,15
FS-ML7Z5NYZ9VTB,CA-FL-00000265,2024-01-01,,304.08,MONTHLY,25,15
FS-Y9JKW8GS97QR,CA-WA-00000266,2024-01-01,,191.43,MONTHLY,25,15
FS-SVOHUS9NSDEZ,CA-NV-00000267,2024-01-01,,208.14,MONTHLY,25,15
FS-P6WDEM10L1QJ,CA-CA-00000268,2024-01-01,,393.54,MONTHLY,25,15
FS-T8HDBHMPAUD6,CA-TX-00000269,2024-01-01,,238.26,MONTHLY,25,15
FS-4WFB4BJKMZO4,CA-GA-00000270,2024-01-01,,511.73,MONTHLY,25,15
FS-6DS7WO0AQ5DJ,CA-CO-00000271,2024-01-01,,286.66,MONTHLY,25,15
FS-M9ZR1N6N5Y28,CA-FL-00000272,2024-01-01,,876.76,MONTHLY,25,15
FS-JRG0YI2NZJ98,CA-AZ-00000273,2024-01-01,,633.85,MONTHLY,25,15
FS-HNSK3ZPZV1JB,CA-NV-00000274,2024-01-01,,265.28,MONTHLY,25,15
FS-8PHXEM8D8R0G,CA-GA-00000275,2024-01-01,,359.65,MONTHLY,25,15
FS-Z3UOQGODWACO,CA-AZ-00000276,2024-01-01,,177.0,MONTHLY,25,15
FS-N3KNK06BXS70,CA-CA-00000277,2024-01-01,,306.21,MONTHLY,25,15
FS-PONLU42UFTK5,CA-VA-00000278,2024-01-01,,713.76,MONTHLY,25,15
FS-GV71830OQNEC,CA-NC-00000279,2024-01-01,,151.93,MONTHLY,25,15
FS-F4G0JLW1DLHZ,CA-TX-00000280,2024-01-01,,780.88,MONTHLY,25,15
FS-COCY2ULKJKLJ,CA-OH-00000281,2024-01-01,,635.93,MONTHLY,25,15
FS-H9CUP6DMFS9Q,CA-CO-00000282,2024-01-01,,500.25,MONTHLY,25,15
FS-X9EOK405AY2F,CA-CO-00000283,2024-01-01,,341.95,MONTHLY,25,15
FS-1ITOQIV5470V,CA-CA-00000284,2024-01-01,,378.95,MONTHLY,25,15
FS-FM6U6QODUJW8,CA-NY-00000285,2024-01-01,,403.64,MONTHLY,25,15
